PurchaseId,PurchaseDate,PurchaseDateTime,ProductId,CentreId,Quantity,Price,PaymentDate
15763,2012-01-04 00:00:00.000,2012-01-04 14:54:00.000,1,252,2,8.5,
16093,2012-01-07 00:00:00.000,2012-01-07 12:44:00.000,1,341,2,8.5,
17158,2012-01-13 00:00:00.000,2012-01-13 18:05:00.000,1,360,2,8.5,
17637,2012-01-17 00:00:00.000,2012-01-17 15:40:00.000,1,309,2,8.5,
17851,2012-01-19 00:00:00.000,2012-01-19 12:29:00.000,1,270,2,8.5,
18325,2012-01-23 00:00:00.000,2012-01-23 16:58:00.000,1,326,2,8.5,
18927,2012-01-29 00:00:00.000,2012-01-29 10:26:00.000,1,331,2,8.5,
19027,2012-01-30 00:00:00.000,2012-01-30 18:24:00.000,1,383,2,8.5,
19052,2012-01-31 00:00:00.000,2012-01-31 16:34:00.000,1,255,2,8.5,
19271,2012-02-01 00:00:00.000,2012-02-01 16:55:00.000,1,375,2,8.5,
19273,2012-02-01 00:00:00.000,2012-02-01 17:06:00.000,1,251,2,8.5,
19289,2012-02-01 00:00:00.000,2012-02-01 17:41:00.000,1,379,2,8.5,
19398,2012-02-01 00:00:00.000,2012-02-01 16:37:00.000,1,351,2,8.5,
19965,2012-02-09 00:00:00.000,2012-02-09 15:51:00.000,1,361,2,8.5,
20799,2012-02-18 00:00:00.000,2012-02-18 14:36:00.000,1,373,2,8.5,
20809,2012-02-18 00:00:00.000,2012-02-18 15:04:00.000,1,310,2,8.5,
21371,2012-02-24 00:00:00.000,2012-02-24 13:20:00.000,1,313,2,8.5,
22311,2012-03-06 00:00:00.000,2012-03-06 13:18:00.000,1,250,2,8.5,
22791,2012-03-09 00:00:00.000,2012-03-09 18:06:00.000,1,382,2,8.5,
23031,2012-03-12 00:00:00.000,2012-03-12 09:02:00.000,1,236,2,8.5,
23375,2012-03-13 00:00:00.000,2012-03-13 13:43:00.000,1,240,2,8.5,
23820,2012-03-14 00:00:00.000,2012-03-14 15:24:00.000,1,379,2,8.5,
24064,2012-03-15 00:00:00.000,2012-03-15 16:42:00.000,1,235,2,8.5,
24078,2012-03-15 00:00:00.000,2012-03-15 18:00:00.000,1,221,2,8.5,
24194,2012-03-16 00:00:00.000,2012-03-16 11:04:00.000,1,311,2,8.5,
24533,2012-03-19 00:00:00.000,2012-03-19 17:45:00.000,1,368,2,8.5,
25137,2012-03-22 00:00:00.000,2012-03-22 11:04:00.000,1,310,2,8.5,
25572,2012-03-25 00:00:00.000,2012-03-25 18:38:00.000,1,357,2,8.5,
25592,2012-03-26 00:00:00.000,2012-03-26 18:46:00.000,1,369,2,8.5,
26274,2012-04-01 00:00:00.000,2012-04-01 18:38:00.000,1,198,2,8.5,
26376,2012-04-02 00:00:00.000,2012-04-02 12:15:00.000,1,278,2,8.5,
27054,2012-04-10 00:00:00.000,2012-04-10 14:32:00.000,1,202,2,8.5,
27059,2012-04-10 00:00:00.000,2012-04-10 15:14:00.000,1,358,2,8.5,
28282,2012-04-21 00:00:00.000,2012-04-21 17:46:00.000,1,203,2,8.5,
28376,2012-04-22 00:00:00.000,2012-04-22 11:31:00.000,1,288,2,8.5,
28384,2012-04-23 00:00:00.000,2012-04-23 12:48:00.000,1,263,2,8.5,
29539,2012-05-08 00:00:00.000,2012-05-08 16:49:00.000,1,296,2,8.5,
