ProductId,ProductName,Animal,HabitatId,Legs,FamilyId
1,"Sammy","Snake",1,0,1
2,"Pokyo","Penguin",4,2,3
3,"Fenella","Frog",3,4,4
4,"Layla","Lemur",2,2,5
5,"Dave","Dachsund",1,4,5
6,"Kylie","Camel",5,4,5
7,"Jeremy","Jackdaw",7,2,3
8,"Faye","Fox",6,4,5
9,"Oliver","Owl",7,2,3
10,"Cleopatra","Clownfish",4,0,2
11,"Oscar","Otter",3,4,5
12,"Bob","Butterfly",7,6,6
13,"Englebert","Elephant",1,4,5
14,"Petronella","Parakeet",2,2,3
15,"Rheinhardt","Rattlesnake",5,0,1
16,"Nora","Natterjack toad",3,4,4
17,"Yoko","Yak",1,4,5
18,"Malcolm","Meerkat",1,4,5
19,"Imogen","Impala",1,4,5
