2015–16,Actual  2016–17,Interim  2017–18,Plan  2018–19,Category,Subcategory
15,15,19,21,"Accessibility Directorate of Ontario (Total)",""
9901,10131,11128,11788,"Advanced Education and Skills Development (Total)",""
883,1031,931,1099,"Agriculture, Food and Rural Affairs (Base)",""
47,0,102,100,"Agriculture, Food and Rural Affairs"," Time-Limited Investments in Infrastructure"
929,1031,1033,1199,"Agriculture, Food and Rural Affairs (Total)",""
1859,1937,2052,2013,"Attorney General (Total)",""
205,219,252,352,"Board of Internal Economy (Total)",""
4298,4439,4455,4598,"Children and Youth Services (Total)",""
102,105,108,122,"Citizenship and Immigration (Total)",""
11298,11614,12378,13313,"Children, Community and Social Services(Base)",""
0,23,9,0,"Children, Community and Social Services"," Time-Limited Investments in Affordable and Supportive Housing"
11298,11637,12387,13313,"Children, Community and Social Services(Total)",""
2565,2681,2806,3027,"Community Safety and Correctional Services (Base)",""
122,0,0,0,"Community Safety and Correctional Services"," Time-Limited Support for 2015 Pan/Parapan American Games Security"
2687,2681,2806,3027,"Community Safety and Correctional Services (Total)",""
928,1073,1026,1072,"Economic Development, Job Creation and Trade (Total)",""
25967,26580,27494,29075,"Education (Base)",""
110,-377,-460,-861,"Education"," Teachers’ Pension Plan"
26077,26204,27034,28214,"Education (Total)",""
328,456,355,375,"Energy, Northern Development and Mines (Base)",""
0,400,1247,1581,"Energy, Northern Development and Mines"," Electricity Cost Relief Programs"
860,21,0,0,"Energy, Northern Development and Mines"," Ontario Clean Energy Benefit"
44,43,188,35,"Energy, Northern Development and Mines"," Strategic Asset Management and Transformation Related to Hydro One"
1232,920,1790,1990,"Energy, Northern Development and Mines (Total)",""
503,523,783,1326,"Environment, Conservation and Parks",""
33,48,58,58,"Executive Offices (Base)",""
3,1,4,0,"Executive Offices"," Disaster Relief"
36,49,62,58,"Executive Offices (Total)",""
1048,862,885,986,"Finance (Base)",""
513,505,506,510,"Finance"," Ontario Municipal Partnership Fund"
875,838,182,183,"Finance"," Power Supply Contract Costs"
2436,2205,1573,1679,"Finance (Total)",""
8,5,6,8,"Francophone Affairs (Total)",""
602,595,619,585,"Government and Consumer Services (Total)",""
54925,55945,58290,61278,"Health and Long-Term Care (Total)",""
75,128,92,101,"Indigenous Affairs (Base)",""
5,0,22,0,"Indigenous Affairs"," One-Time Investments including Settlements"
79,128,114,101,"Indigenous Affairs (Total)",""
213,161,266,213,"Infrastructure (Base)",""
0,8,142,603,"Infrastructure"," Federal–Provincial Infrastructure Programs"
213,169,408,817,"Infrastructure (Total)",""
21,29,52,61,"International Trade (Total)",""
305,308,324,331,"Labour, Training and Skills Development (Total)",""
923,994,1051,1007,"Municipal Affairs/Housing (Base)",""
1,6,23,17,"Municipal Affairs/Housing"," Time-Limited Investments"
165,544,297,324,"Municipal Affairs/Housing"," Time-Limited Investments in Municipal, Social and Affordable Housing"
1088,1544,1371,1348,"Municipal Affairs/Housing (Total)",""
723,751,801,780,"Natural Resources and Forestry (Base)",""
95,107,117,70,"Emergency Forest Firefighting",""
818,858,919,850,"Natural Resources and Forestry (Total)",""
701,814,764,814,"Northern Development and Mines (Total)",""
20,19,30,46,"Seniors Affairs (Total)",""
26,23,28,37,"Status of Women (Total)",""
1431,1540,1568,1514,"Heritage, Sport, Tourism and Culture Industries (Base)",""
839,0,0,0,"Heritage, Sport, Tourism and Culture Industries"," Time-Limited Investments to Support 2015 Pan/Parapan American Games"
2270,1540,1568,1514,"Heritage, Sport, Tourism and Culture Industries (Total)",""
3284,3636,4199,4678,"Transportation (Base)",""
0,0,896,888,"Transportation"," Time-Limited Investments in Infrastructure"
3284,3636,5095,5566,"Transportation (Total)",""
220,233,230,347,"Treasury Board Secretariat (Base)",""
987,1002,1155,1271,"Treasury Board Secretariat"," Employee and Pensioner Benefits"
0,0,50,1325,"Treasury Board Secretariat"," Operating Contingency Fund"
0,0,0,275,"Treasury Board Secretariat"," Capital Contingency Fund"
1207,1235,1435,3218,"Treasury Board Secretariat (Total)",""
11589,11709,11965,12543,"Interest on Debt1",""
0,0,0,-1225,"Year-End Savings2",""
0,0,0,-200,"PRRT Savings",""
139663,141725,149494,158464,"Total Expense",""
