2018 Category,2021 Category
"Accessibility Directorate of Ontario (Total)","Seniors and Accessibility"
"Advanced Education and Skills Development (Total)","Education"
"Agriculture, Food and Rural Affairs (Base)","Agriculture, Food and Rural Affairs (Base)"
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs"
"Agriculture, Food and Rural Affairs (Total)","Agriculture, Food and Rural Affairs (Total)"
"Attorney General (Total)","Attorney General (Total)"
"Board of Internal Economy (Total)","Board of Internal Economy (Total)"
"Children and Youth Services (Total)","Children, Community and Social Services    (Total)"
"Citizenship and Immigration (Total)","Other"
"Children, Community and Social Services(Base)","Children, Community and Social Services    (Base)"
"Children, Community and Social Services","Children, Community and Social Services"
"Children, Community and Social Services(Total)","Children, Community and Social Services    (Total)"
"Community Safety and Correctional Services (Base)","Other"
"Community Safety and Correctional Services","Other"
"Community Safety and Correctional Services (Total)","Other"
"Economic Development, Job Creation and Trade (Total)","Economic Development, Job Creation and Trade    (Total)"
"Education (Base)","Education (Base)"
"Education","Education"
"Education (Total)","Education (Total)"
"Energy, Northern Development and Mines (Base)","Energy, Northern Development and Mines    (Base)13"
"Energy, Northern Development and Mines","Energy, Northern Development and Mines"
"Energy, Northern Development and Mines (Total)","Energy, Northern Development and Mines    (Total)"
"Environment, Conservation and Parks","Environment, Conservation and Parks"
"Executive Offices (Base)","Executive Offices (Base)"
"Executive Offices","Executive Offices"
"Executive Offices (Total)","Executive Offices (Total)"
"Finance (Base)","Finance    (Base)"
"Finance","Finance"
"Finance (Total)","Finance    (Total)"
"Francophone Affairs (Total)","Francophone Affairs (Total)"
"Government and Consumer Services (Total)","Government    and Consumer Services (Total)"
"Health and Long-Term Care (Total)","Health (Total)20"
"Indigenous Affairs (Base)","Indigenous Affairs (Base)"
"Indigenous Affairs","Indigenous Affairs"
"Indigenous Affairs (Total)","Indigenous Affairs (Total)"
"Infrastructure (Base)","Infrastructure    (Base)"
"Infrastructure","Infrastructure"
"Infrastructure (Total)","Infrastructure    (Total)"
"International Trade (Total)","Other"
"Labour, Training and Skills Development (Total)","Labour, Training and Skills Development    (Total)"
"Municipal Affairs/Housing (Base)","Municipal Affairs and Housing (Base)"
"Municipal Affairs/Housing","Municipal Affairs and Housing"
"Municipal Affairs/Housing (Total)","Municipal Affairs and Housing (Total)"
"Natural Resources and Forestry (Base)","Natural Resources and Forestry (Base)"
"Emergency Forest Firefighting","Natural Resources and Forestry"
"Natural Resources and Forestry (Total)","Natural Resources and Forestry (Total)"
"Northern Development and Mines (Total)","Energy, Northern Development and Mines    (Total)"
"Seniors Affairs (Total)","Seniors and Accessibility (Total)"
"Status of Women (Total)","Other"
"Heritage, Sport, Tourism and Culture Industries (Base)","Heritage,    Sport, Tourism and Culture Industries (Base)"
"Heritage, Sport, Tourism and Culture Industries","Heritage,    Sport, Tourism and Culture Industries"
"Heritage, Sport, Tourism and Culture Industries (Total)","Heritage,    Sport, Tourism and Culture Industries (Total)"
"Transportation (Base)","Transportation (Base)"
"Transportation","Transportation"
"Transportation (Total)","Transportation (Total)"
"Treasury Board Secretariat (Base)","Treasury Board Secretariat (Base)"
"Treasury Board Secretariat","Treasury Board Secretariat"
"Treasury Board Secretariat (Total)","Treasury Board Secretariat (Total)"
"Interest on Debt1","Interest on Debt39"
"Year-End Savings2","Other"
"PRRT Savings","Other"
"Total Expense","Total Expense"
