2014–15,Actual2015–16,Interim 2016–17,Plan 2017–18,Revenue Category,Revenue Item
29313,31141,32884,35032,"Taxation Revenue","Personal Income Tax"
21689,23455,24690,26011,"Taxation Revenue","Sales Taxes"
9557,11428,13346,13817,"Taxation Revenue","Corporations Tax"
5561,5839,5900,6002,"Taxation Revenue","Education Property  Tax2"
5415,5649,5882,6117,"Taxation Revenue","Employer Health Tax"
3366,3453,3664,3789,"Taxation Revenue","Ontario Health  Premium"
2447,2459,2602,2663,"Taxation Revenue","Gasoline Tax"
1778,2118,2688,3139,"Taxation Revenue","Land Transfer Tax"
1163,1226,1247,1291,"Taxation Revenue","Tobacco Tax"
739,751,736,746,"Taxation Revenue","Fuel Tax"
560,582,594,619,"Taxation Revenue","Beer, Wine and Spirits Taxes"
180,3247,373,405,"Taxation Revenue","Electricity Payments in  Lieu of Taxes"
507,470,457,466,"Taxation Revenue","Other Taxes"
82275,91818,95063,100097,"Total Taxation Revenue",""
12408,13089,13910,14340,"Government of Canada","Canada Health  Transfer"
4847,4984,5146,5307,"Government of Canada","Canada Social  Transfer"
1988,2363,2304,1424,"Government of Canada","Equalization"
137,146,837,2328,"Government of Canada","Infrastructure  Programs"
896,927,974,977,"Government of Canada","Labour Market  Programs"
465,455,434,412,"Government of Canada","Social Housing"
874,893,790,893,"Government of Canada","Other Federal  Payments"
21615,22857,24395,25681,"Total Government of Canada",""
1995,2234,2134,2134,"Government Business Enterprises","Ontario Lottery and  Gaming Corporation"
1831,1956,2321,2137,"Government Business Enterprises","Liquor Control Board  of Ontario"
1789,719,842,617,"Government Business Enterprises","Ontario Power  Generation Inc./Hydro One Ltd./ Brampton Distribution Holdco Inc."
5615,4909,5297,4888,"Total Government Business Enterprises",""
985,991,979,984,"Other Non-Tax Revenue","Reimbursements"
1433,1565,1721,1934,"Other Non-Tax Revenue","Vehicle and Driver  Registration Fees"
956,859,625,623,"Other Non-Tax Revenue","Electricity Debt Retirement  Charge"
950,875,739,292,"Other Non-Tax Revenue","Power Supply Contract  Recoveries"
2336,2102,1980,3006,"Other Non-Tax Revenue","Sales and Rentals"
0,0,0,1778,"Other Non-Tax Revenue","Carbon Allowance  Proceeds"
693,964,1007,984,"Other Non-Tax Revenue","Other Fees and  Licences"
217,172,129,74,"Other Non-Tax Revenue","Net Reduction of  Power Purchase Contract Liability"
275,274,278,265,"Other Non-Tax Revenue","Royalties"
1196,991,1015,1044,"Other Non-Tax Revenue","Miscellaneous Other  Non-Tax Revenue"
9041,8793,8473,10984,"Total Other Non-Tax Revenue",""
118546,128377,133228,141650,"Total Revenue",""
