Actual                2017–18,Actual                2018–19,Actual                2019–20,Current                 Outlook22020–21,Category,Subcategory
384,330,298,314,"Agriculture, Food and Rural Affairs (Base)",""
102,96,94,104,"Agriculture, Food and Rural Affairs"," Federal-Provincial Infrastructure Programs"
195,257,222,10,"Agriculture, Food and Rural Affairs"," Municipal Infrastructure Program Investments3"
312,383,518,443,"Agriculture, Food and Rural Affairs"," Demand-Driven Risk Management and Time-Limited Programs4"
993,1065,1132,870,"Agriculture, Food and Rural Affairs (Total)5",""
1700,1771,1750,1682,"Attorney General (Base)",""
42,17,192,0,"Attorney General"," Statutory Appropriations – Crown Liability and Proceedings Act, 2019"
1742,1787,1942,1682,"Attorney General (Total)",""
296,371,257,281,"Board of Internal Economy (Total)",""
16300,16841,17104,17928,"Children, Community and Social Services (Total)",""
8595,9030,9221,9395,"Colleges and Universities (Base)",""
1663,2043,1296,1274,"Colleges and Universities"," Student Financial Assistance"
209,119,2,0,"Colleges and Universities"," Time-Limited Infrastructure Funding under the Strategic Investment Fund"
10467,11192,10520,10669,"Colleges and Universities6 (Total)",""
418,356,319,363,"Economic Development, Job Creation and Trade (Base)",""
422,430,263,356,"Economic Development, Job Creation and Trade"," Time-Limited Investments"
840,786,582,719,"Economic Development, Job Creation and Trade (Total)",""
27265,28746,30181,31038,"Education (Base)",""
1659,1678,1570,1621,"Education"," Teachers’ Pension Plan"
28923,30424,31751,32659,"Education (Total)",""
1283,1362,1100,1047,"Energy, Northern Development and Mines (Base)8",""
2834,4243,5484,6209,"Energy, Northern Development and Mines"," Electricity Cost Relief Programs"
4117,5605,6584,7256,"Energy, Northern Development and Mines (Total)",""
706,464,610,669,"Environment, Conservation and Parks (Base)",""
145,223,2,0,"Environment, Conservation and Parks"," Time-Limited Investments"
851,687,612,669,"Environment, Conservation and Parks (Total)",""
37,34,32,38,"Executive Offices (Base)",""
0,0,0,2,"Executive Offices"," Time-Limited Assistance"
37,34,32,40,"Executive Offices (Total)",""
843,885,806,862,"Finance (Base)",""
0,0,0,616,"Finance"," Time-Limited Investments"
0,67,88,161,"Finance"," Investment Management Corporation of Ontario9"
506,510,503,502,"Finance"," Ontario Municipal Partnership Fund"
191,173,122,107,"Finance"," Power Supply Contract Costs"
0,0,0,2050,"Finance"," COVID‑19 Response: Support for People and Jobs Fund"
1540,1636,1520,4298,"Finance (Total)",""
6,6,5,7,"Francophone Affairs (Total)",""
668,651,626,641,"Government and Consumer Services (Base)",""
982,1012,924,1026,"Government and Consumer Services"," Realty"
1650,1664,1550,1667,"Government and Consumer Services (Total)",""
54982,57573,59293,60110,"Health (Total)",""
0,0,0,8346,"COVID‑19 Response Including COVID‑19 Health Contingency Fund10",""
940,935,908,1032,"Heritage, Sport, Tourism and Culture Industries (Base)",""
509,588,656,515,"Heritage, Sport, Tourism and Culture Industries"," Ontario Cultural Media Tax Credits"
145,40,80,0,"Heritage, Sport, Tourism and Culture Industries"," Ontario Cultural Media Tax Credits – Amounts Related to Prior Years"
1594,1562,1643,1547,"Heritage, Sport, Tourism and Culture Industries11 (Total)",""
86,75,73,82,"Indigenous Affairs (Base)",""
1122,215,14,14,"Indigenous Affairs"," One-Time Investments including Settlements"
1208,290,87,96,"Indigenous Affairs (Total)",""
227,161,81,213,"Infrastructure (Base)",""
248,352,160,310,"Infrastructure"," Federal–Provincial Infrastructure Programs"
0,0,116,128,"Infrastructure"," Waterfront Toronto Revitalization (Port Lands Flood Protection)"
0,0,0,202,"Infrastructure"," Municipal Infrastructure Program Investments12"
475,513,358,854,"Infrastructure (Total)",""
128,130,100,128,"Labour, Training and Skills Development (Base)",""
208,183,152,82,"Labour, Training and Skills Development"," Co-op Education and Apprenticeship Tax Credits13"
916,943,922,1051,"Labour, Training and Skills Development"," Demand-Driven Employment and Training Programs"
1253,1257,1173,1261,"Labour, Training and Skills Development14 (Total)",""
4163,4329,4423,4536,"Long-Term Care (Total)",""
417,475,541,482,"Municipal Affairs and Housing (Base)",""
0,0,0,1900,"Municipal Affairs and Housing"," Safe Restart Agreement"
559,636,317,256,"Municipal Affairs and Housing"," Time-Limited Investments"
392,367,341,315,"Municipal Affairs and Housing"," Social Housing Agreement – Payments to Service Managers15"
1368,1478,1199,2953,"Municipal Affairs and Housing (Total)",""
609,505,541,557,"Natural Resources and Forestry (Base)",""
117,208,136,100,"Natural Resources and Forestry"," Emergency Forest Firefighting"
726,713,677,656,"Natural Resources and Forestry (Total)",""
48,52,54,58,"Seniors and Accessibility (Base)",""
0,0,0,129,"Seniors and Accessibility"," Time-Limited Investments"
48,52,54,187,"Seniors and Accessibility (Total)",""
2561,2681,2774,2874,"Solicitor General (Total)",""
4184,4543,4957,4973,"Transportation (Base)",""
0,0,0,2000,"Transportation"," Safe Restart Agreement"
404,297,188,640,"Transportation"," Federal–Provincial Infrastructure Programs"
4588,4840,5145,7613,"Transportation (Total)",""
194,201,189,407,"Treasury Board Secretariat (Base)",""
1442,1165,1666,1389,"Treasury Board Secretariat"," Employee and Pensioner Benefits17"
0,0,0,2912,"Treasury Board Secretariat"," Operating Contingency Fund"
0,0,0,99,"Treasury Board Secretariat"," Capital Contingency Fund"
1636,1365,1855,4807,"Treasury Board Secretariat (Total)",""
11903,12384,12495,12456,"Interest on Debt18",""
154266,161135,164768,187042,"Total Expense",""
