Sector,"Total Infrastructure Expenditures 2018–19 Interim1, 2",2019–20 Plan           Investment in Capital Assets3,2019–20 Plan           Transfers and Other Infrastructure  Expenditures4,2019–20 Plan           TotalInfrastructure Expenditures
"Transportation — Transit",5146,"4,294","1,234",5527
"Transportation — Provincial Highways",2830,"2,577","177",2754
"Transportation — Other Transportation, Property and Planning",236,"189","96",284
"Health — Hospitals",2634,"2,354","3",2357
"Health — Other Health",232,"78","176",255
"Education",2993,"2,416","19",2435
"Postsecondary — Colleges and Other",657,"297","2",299
"Postsecondary — Universities",245,"–","52",52
"Social",451,"25","274",299
"Justice",406,"487","275",762
"Other Sectors5",1413,"850","749",1599
"Total Infrastructure Expenditures",17243,"13,566","3,056",16623
"Less: Other Partner Funding6",1900,"1,891","–",1891
"Total7",15344,"11,675","3,056",14732
