Actual 2016–17,Actual 2017–18,Interim22018–19,Plan2019–20,Category,Subcategory
1031,904,1065,840,"Agriculture, Food and Rural Affairs (Base)",""
0,102,97,38,"Agriculture, Food and Rural Affairs"," Time-Limited Investments in Infrastructure"
1031,1006,1162,878,"Agriculture, Food and Rural Affairs (Total)",""
1937,2041,2088,1934,"Attorney General (Total)",""
219,303,395,295,"Board of Internal Economy (Total)",""
15789,16416,17042,16666,"Children, Community and Social Services (Total)",""
1025,1005,968,782,"Economic Development, Job Creation and Trade (Total)",""
26580,27299,29080,29818,"Education (Base)",""
987,1659,1677,1732,"Education"," Teachers’ Pension Plan3"
27567,28958,30757,31550,"Education (Total)",""
1300,1387,1458,1172,"Energy, Northern Development and Mines (Base)",""
426,2834,4293,4013,"Energy, Northern Development and Mines"," Electricity Cost Relief Programs"
1726,4221,5751,5185,"Energy, Northern Development and Mines (Total)",""
652,764,688,631,"Environment, Conservation and Parks (Base)",""
0,145,295,0,"Environment, Conservation and Parks"," Time-Limited Investments"
652,909,983,631,"Environment, Conservation and Parks (Total)",""
45,48,45,40,"Executive Offices (Total)",""
862,870,915,833,"Finance (Base)",""
505,506,510,505,"Finance"," Ontario Municipal Partnership Fund"
838,191,183,125,"Finance"," Power Supply Contract Costs"
2205,1567,1608,1463,"Finance (Total)",""
5,6,6,6,"Francophone Affairs (Total)",""
716,795,714,666,"Government and Consumer Services (Total)",""
56293,59260,62158,63510,"Health and Long-Term Care (Total)",""
88,88,81,74,"Indigenous Affairs (Base)",""
40,1122,65,0,"Indigenous Affairs"," One-Time Investments including Settlements4"
128,1210,146,74,"Indigenous Affairs (Total)",""
90,71,108,390,"Infrastructure (Base)",""
8,248,344,134,"Infrastructure"," Federal–Provincial Infrastructure Programs"
97,320,453,524,"Infrastructure (Total)",""
308,317,319,306,"Labour, Training and Skills Development14 (Total)",""
978,1041,850,847,"Municipal Affairs and Housing (Base)",""
565,334,635,271,"Municipal Affairs and Housing"," Time-Limited Investments"
1544,1375,1484,1118,"Municipal Affairs and Housing (Total)",""
622,664,622,602,"Natural Resources and Forestry (Base)",""
107,117,212,70,"Natural Resources and Forestry"," Emergency Forest Firefighting"
729,781,834,672,"Natural Resources and Forestry (Total)",""
38,48,59,51,"Seniors and Accessibility (Total)",""
2683,2792,2907,2965,"Solicitor General (Total)",""
1465,1585,1552,1493,"Tourism, Culture and Sport (Base)",""
96,6,0,0,"Tourism, Culture and Sport"," Time-Limited Funding: Ontario 150 and Pan/Parapan American Games"
1561,1590,1552,1493,"Tourism, Culture and Sport (Total)",""
9000,9372,9951,9999,"Training, Colleges and Universities (Base)",""
1048,1663,2043,1372,"Training, Colleges and Universities"," Student Financial Assistance"
200,209,114,0,"Training, Colleges and Universities"," Time-Limited Infrastructure Funding under the Strategic Investment Fund"
10248,11244,12108,11371,"Training, Colleges and Universities (Total)",""
3644,4118,4460,4549,"Transportation (Base)",""
0,404,217,638,"Transportation"," Federal–Provincial Infrastructure Programs"
3644,4522,4676,5188,"Transportation (Total)",""
189,189,233,287,"Treasury Board Secretariat (Base)",""
1082,1442,1287,1352,"Treasury Board Secretariat"," Employee and Pensioner Benefits5"
0,0,200,775,"Treasury Board Secretariat"," Operating Contingency Fund"
0,0,50,325,"Treasury Board Secretariat"," Capital Contingency Fund"
1271,1631,1770,2739,"Treasury Board Secretariat (Total)",""
11709,11903,12534,13335,"Interest on Debt6",""
0,0,0,0,"Year-End Savings",""
143169,154266,162518,163444,"Total Expense",""
