Sector,Total Infrastructure Expenditures 2016–17 Interim1,2017–18 Plan          Investment  in Capital Assets2,2017–18 Plan          Transfers  and Other Infrastructure Expenditures3,2017–18 Plan          Total Infrastructure  Expenditures4
"Transportation — Transit",3806,"5,440",1736,7176
"Transportation — Provincial Highways",2137,"2,900",120,3020
"Transportation — Other Transportation,  Property and Planning",642,"172",180,352
"Health — Hospitals",2297,"2,588",295,2883
"Health — Other Health",262,"81",261,342
"Education",2000,"2,636",53,2689
"Postsecondary — Colleges and Other",721,"976",13,989
"Postsecondary — Universities",318,"–",399,399
"Social",749,"20",454,474
"Justice",243,"107",227,334
"Other Sectors5",1135,"646",973,1620
"Total Infrastructure  Expenditures",14311,"15,566",4711,20277
