2018 Revenue.Revenue Category,2018 Revenue.Revenue Item,2019 Revenue.Revenue Category,2017 Revenue.Revenue Category,2017 Revenue.Revenue Item,Revenue Category,Revenue Item,Actual                2018–19,Actual2019–20,Interim12020‑21,Plan2021–22,2020 Revenue.Actual                2017–18,2020 Revenue.Actual                2018–19,2020 Revenue.Actual                  2019–20,2020 Revenue.Current                  Outlook12020–21,2019 Revenue.Actual 2016–17,2019 Revenue.Actual    2017–18,2019 Revenue.Interim1 2018–19,2019 Revenue.Plan2019–20,2018 Revenue.2015–16,2018 Revenue.Actual2016–17,2018 Revenue.Interim2017–18,2018 Revenue.Plan2018–19,2017 Revenue.2014–15,2017 Revenue.Actual2015–16,2017 Revenue.Interim 2016–17,2017 Revenue.Plan 2017–18
"Taxation Revenue","Personal Income Tax","Taxation Revenue","Taxation Revenue","Personal Income Tax","Taxation Revenue","Personal Income Tax",35381,37743,35876,36351,32900,35381,37743,36901,30671,32900,34986,36600,31141,30671,32319,35612,29313,31141,32884,35032
"Taxation Revenue","Sales Taxes","Taxation Revenue","Taxation Revenue","Sales Taxes","Taxation Revenue","Sales Taxes",27804,28619,26042,27632,25923,27804,28619,24879,24750,25925,27919,28076,23455,24750,25954,26808,21689,23455,24690,26011
"Taxation Revenue","Corporations Tax","Taxation Revenue","Taxation Revenue","Corporations Tax","Taxation Revenue","Corporations Tax",16606,15414,11435,14389,15612,16606,15414,9941,14872,15612,15196,15171,11428,14872,15800,15137,9557,11428,13346,13817
"Taxation Revenue","Employer Health Tax","Taxation Revenue","Taxation Revenue","Employer Health Tax","Taxation Revenue","Employer Health Tax",6544,6731,6480,6445,6205,6544,6731,6346,5908,6205,6588,6837,5649,5908,6184,6554,5415,5649,5882,6117
"Taxation Revenue","Ontario Health Premium","Taxation Revenue","Taxation Revenue","Ontario Health  Premium","Taxation Revenue","Ontario Health Premium",3819,4059,3958,4141,3672,3819,4059,4007,3575,3672,3806,4021,3453,3575,3679,3914,3366,3453,3664,3789
"Taxation Revenue","Gasoline Tax","Taxation Revenue","Taxation Revenue","Gasoline Tax","Taxation Revenue","Gasoline Tax",2709,2783,2120,2421,2701,2709,2783,2379,2626,2701,2733,2766,2459,2626,2675,2699,2447,2459,2602,2663
"Taxation Revenue","Land Transfer Tax","Taxation Revenue","Taxation Revenue","Land Transfer Tax","Taxation Revenue","Land Transfer Tax",2761,3067,3481,3890,3174,2761,3067,3384,2728,3174,2679,2877,2118,2728,3091,3142,1778,2118,2688,3139
"Taxation Revenue","Tobacco Tax","Taxation Revenue","Taxation Revenue","Tobacco Tax","Taxation Revenue","Tobacco Tax",1241,1118,1103,1060,1244,1241,1118,1108,1230,1244,1267,1213,1226,1230,1251,1250,1163,1226,1247,1291
"Taxation Revenue","Fuel Tax","Taxation Revenue","Taxation Revenue","Fuel Tax","Taxation Revenue","Fuel Tax",774,807,711,814,760,774,807,672,742,760,762,776,751,742,768,784,739,751,736,746
"Taxation Revenue","Beer, Wine and Spirits Taxes","Taxation Revenue","Taxation Revenue","Beer, Wine and Spirits Taxes","Taxation Revenue","Beer, Wine and Spirits Taxes",607,582,615,618,603,607,582,593,589,601,612,618,582,589,607,638,560,582,594,619
"Taxation Revenue","Electricity Payments in Lieu of Taxes","Taxation Revenue","Taxation Revenue","Electricity Payments in  Lieu of Taxes","Taxation Revenue","Electricity Payments in Lieu of Taxes",435,505,557,454,494,435,505,486,334,494,350,488,3247,334,499,369,180,3247,373,405
"Taxation Revenue","Other Taxes","Taxation Revenue","Taxation Revenue","Other Taxes","Taxation Revenue","Other Taxes",653,623,581,605,552,653,623,561,453,552,632,540,470,453,558,563,507,470,457,466
"Government of Canada","Canada Health Transfer","Government of Canada","Government of Canada","Canada Health  Transfer","Government of Canada","Canada Health Transfer",14852,15640,16208,16737,14359,14852,15640,16252,13910,14359,14852,15646,13089,13910,14359,14934,12408,13089,13910,14340
"Government of Canada","Canada Social Transfer","Government of Canada","Government of Canada","Canada Social  Transfer","Government of Canada","Canada Social Transfer",5451,5650,5815,6005,5314,5451,5650,5832,5146,5314,5451,5653,4984,5146,5314,5486,4847,4984,5146,5307
"Government of Canada","Equalization","Government of Canada","Government of Canada","Equalization","Government of Canada","Equalization",963,0,0,0,1424,963,0,0,2304,1424,963,0,2363,2304,1424,963,1988,2363,2304,1424
"Government of Canada","Infrastructure Programs","Government of Canada","Government of Canada","Infrastructure  Programs","Government of Canada","Infrastructure Programs",605,400,1025,1086,1065,605,400,1013,732,1065,779,1043,146,732,1533,1703,137,146,837,2328
"Government of Canada","Labour Market Programs","Government of Canada","Government of Canada","Labour Market  Programs","Government of Canada","Labour Market Programs",1015,1054,1521,1316,969,1015,1054,1091,965,969,997,1036,927,965,969,998,896,927,974,977
"Government of Canada","Other Federal Payments","Government of Canada","Government of Canada","Other Federal  Payments","Government of Canada","Other Federal Payments",1420,1756,8450,1577,996,1420,1756,8434,761,996,1261,1386,893,761,1020,1235,874,893,790,893
"Other Non-Tax Revenue","Vehicle and Driver Registration Fees","Other Non-Tax Revenue","Other Non-Tax Revenue","Vehicle and Driver  Registration Fees","Other Non-Tax Revenue","Vehicle and Driver Registration Fees",1991,2055,2065,2096,1912,1991,2055,2061,1727,1912,2046,2066,1565,1727,1962,2003,1433,1565,1721,1934
"Other Non-Tax Revenue","Miscellaneous Other Non-Tax Revenue","Other Non-Tax Revenue","Other Non-Tax Revenue","Miscellaneous Other  Non-Tax Revenue","Other Non-Tax Revenue","Miscellaneous Other Non-Tax Revenue",1873,1222,1241,1322,1616,1873,1222,1377,772,1640,1923,1230,985,983,1086,1122,1196,991,1015,1044
"Other Non-Tax Revenue","Other Fees and Licences","Other Non-Tax Revenue","Other Non-Tax Revenue","Other Fees and  Licences","Other Non-Tax Revenue","Other Fees and Licences",1088,1156,1042,1208,1029,1088,1156,1105,974,1029,1005,1080,964,763,995,1003,693,964,1007,984
"Other Non-Tax Revenue","Reimbursements","Other Non-Tax Revenue","Other Non-Tax Revenue","Reimbursements","Other Non-Tax Revenue","Reimbursements",998,1005,1174,1031,1000,998,1005,961,988,1000,992,981,991,988,996,995,985,991,979,984
"Other Non-Tax Revenue","Royalties","Other Non-Tax Revenue","Other Non-Tax Revenue","Royalties","Other Non-Tax Revenue","Royalties",251,283,342,284,290,251,283,278,272,290,306,287,274,272,297,295,275,274,278,265
"Other Non-Tax Revenue","Power Supply Contract Recoveries","Other Non-Tax Revenue","Other Non-Tax Revenue","Power Supply Contract  Recoveries","Other Non-Tax Revenue","Power Supply Contract Recoveries",173,122,114,102,185,173,122,107,838,185,183,125,875,838,182,183,950,875,739,292
"Other Non-Tax Revenue","Carbon Allowance Proceeds","Other Non-Tax Revenue","Other Non-Tax Revenue","Carbon Allowance  Proceeds","Other Non-Tax Revenue","Carbon Allowance Proceeds",472,0,0,0,2401,472,0,0,0,2401,472,0,0,0,2395,1979,0,0,0,1778
"Other Non-Tax Revenue","Electricity Debt Retirement Charge","Other Non-Tax Revenue","Other Non-Tax Revenue","Electricity Debt Retirement  Charge","Other Non-Tax Revenue","Electricity Debt Retirement Charge",15,0,0,0,593,15,0,0,621,593,15,0,859,621,604,0,956,859,625,623
"Other Non-Tax Revenue","Sales and Rentals","Other Non-Tax Revenue","Other Non-Tax Revenue","Sales and Rentals","Other Non-Tax Revenue","Sales and Rentals",1477,1369,754,1402,2450,1477,1369,1045,1999,2426,1347,1590,2102,1999,2439,1409,2336,2102,1980,3006
"Taxation Revenue","Education Property Tax","Taxation Revenue","Taxation Revenue","Education Property  Tax2","Taxation Revenue","Education Property Tax",6171,6179,6000,5754,5883,6171,6179,6060,5868,5883,6005,6085,5839,5868,5968,6076,5561,5839,5900,6002
"Other Non-Tax Revenue","Net Reduction of Power Purchase Contract Liability","Other Non-Tax Revenue","Other Non-Tax Revenue","Net Reduction of  Power Purchase Contract Liability","Other Non-Tax Revenue","Net Reduction of Power Purchase Contracts",41,30,28,5,74,41,30,28,129,74,41,30,172,129,74,41,217,172,129,74
"Government of Canada","Social Housing","Government of Canada","Government of Canada","Social Housing","Government of Canada","Social Housing Agreement",394,484,331,299,419,394,484,331,441,419,386,359,455,441,412,386,465,455,434,412
