Item,2012–13,Actual            2013–14,Interim            2014–15,Plan            2015–16
"Taxation Revenue",,,"",""
"Personal Income Tax",25574,26929,"29,028","30,377"
"Sales Tax1",20957,20481,"21,740","22,982"
"Corporations Tax",12093,11423,"10,148","11,342"
"Education Property Tax2",5511,5457,"5,632","5,715"
"Employer Health Tax",5137,5283,"5,430","5,680"
"Ontario Health Premium",3067,3128,"3,350","3,458"
"Gasoline Tax",2390,2363,"2,383","2,457"
"Land Transfer Tax",1484,1614,"1,758","1,782"
"Tobacco Tax",1142,1110,"1,163","1,262"
"Fuel Tax",710,718,"738","752"
"Beer and Wine Tax",560,557,"566","575"
"Electricity Payments-In-Lieu of Taxes",324,543,"209","524"
"Other Taxes",469,360,"509","491"
"Total",79418,79966,"82,654","87,397"
"Government of Canada",,,"",""
"Canada Health Transfer",11315,11940,"12,413","13,065"
"Canada Social Transfer",4591,4689,"4,847","4,976"
"Equalization",3261,3169,"1,988","2,363"
"Infrastructure Programs",116,123,"149","308"
"Labour Market Programs",897,909,"909","914"
"Social Housing",483,474,"458","448"
"Wait Times Reduction Fund",97,96,"–","–"
"Other Federal Payments",901,877,"949","816"
"Total",21661,22277,"21,713","22,890"
"Government Business Enterprises",,,"",""
"Ontario Lottery and Gaming Corporation",1816,2009,"1,935","1,920"
"Liquor Control Board of Ontario",1721,1723,"1,811","1,880"
"Ontario Power Generation Inc./Hydro One Inc.",932,1605,"1,565","1,012"
"Total",4469,5337,"5,311","4,812"
"Other Non-Tax Revenue",,,"",""
"Reimbursements",932,962,"989","980"
"Vehicle and Driver Registration Fees",1125,1248,"1,442","1,592"
"Electricity Debt Retirement Charge",939,954,"948","865"
"Power Supply Contract Recoveries",1323,1296,"920","793"
"Sales and Rentals",1188,1160,"2,260","2,803"
"Other Fees and Licences",760,759,"914","979"
"Net Reduction of Power Purchase Contract Liability",263,243,"217","172"
"Royalties",226,242,"248","262"
"Miscellaneous Other Non-Tax Revenue3",1065,1467,"901","845"
"Total",7821,8331,"8,839","9,291"
"Total Revenue",113369,115911,"118,517","124,390"
