Actual                2017–18,Actual                2018–19,Actual                  2019–20,Current                  Outlook12020–21,Revenue Category,Revenue Item
32900,35381,37743,36901,"Taxation Revenue","Personal Income Tax"
25923,27804,28619,24879,"Taxation Revenue","Sales Taxes"
15612,16606,15414,9941,"Taxation Revenue","Corporations Tax"
5883,6171,6179,6060,"Taxation Revenue","Education Property Tax"
6205,6544,6731,6346,"Taxation Revenue","Employer Health Tax"
3672,3819,4059,4007,"Taxation Revenue","Ontario Health Premium"
2701,2709,2783,2379,"Taxation Revenue","Gasoline Tax"
3174,2761,3067,3384,"Taxation Revenue","Land Transfer Tax"
1244,1241,1118,1108,"Taxation Revenue","Tobacco Tax"
760,774,807,672,"Taxation Revenue","Fuel Tax"
603,607,582,593,"Taxation Revenue","Beer, Wine and Spirits Taxes"
494,435,505,486,"Taxation Revenue","Electricity Payments in Lieu of Taxes"
0,19,48,145,"Taxation Revenue","Ontario Portion of the Federal Cannabis Excise  Duty"
552,653,623,561,"Taxation Revenue","Other Taxes"
99723,105524,108278,97462,"Taxation Revenue","Total"
14359,14852,15640,16252,"Government of Canada","Canada Health Transfer"
5314,5451,5650,5832,"Government of Canada","Canada Social Transfer"
1424,963,0,0,"Government of Canada","Equalization"
1065,605,400,1013,"Government of Canada","Infrastructure Programs"
969,1015,1054,1091,"Government of Canada","Labour Market Programs"
419,394,484,331,"Government of Canada","Social Housing Agreement"
996,1420,1756,8434,"Government of Canada","Other Federal Payments"
314,390,414,407,"Government of Canada","Direct Transfers to Broader Public-Sector  Organizations"
24860,25090,25398,33360,"Government of Canada","Total"
2207,2276,2402,2377,"Income from Government Business Enterprises","Liquor Control Board of Ontario"
1464,772,1167,893,"Income from Government Business Enterprises","Ontario Power Generation Inc./Hydro One Ltd."
2487,2464,2309,200,"Income from Government Business Enterprises","Ontario Lottery and Gaming Corporation"
-6,-42,19,80,"Income from Government Business Enterprises","Ontario Cannabis Store"
6152,5470,5897,3550,"Income from Government Business Enterprises","Total"
8309,9237,9281,9740,"Other Non-Tax Revenue","Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges"
1912,1991,2055,2061,"Other Non-Tax Revenue","Vehicle and Driver Registration Fees"
1616,1873,1222,1377,"Other Non-Tax Revenue","Miscellaneous Other Non-Tax Revenue"
1029,1088,1156,1105,"Other Non-Tax Revenue","Other Fees and Licences"
2450,1477,1369,1045,"Other Non-Tax Revenue","Sales and Rentals"
1000,998,1005,961,"Other Non-Tax Revenue","Reimbursements"
290,251,283,278,"Other Non-Tax Revenue","Royalties"
185,173,122,107,"Other Non-Tax Revenue","Power Supply Contract Recoveries"
74,41,30,28,"Other Non-Tax Revenue","Net Reduction of Power Purchase Contracts"
593,15,0,0,"Other Non-Tax Revenue","Electricity Debt Retirement Charge"
2401,472,0,0,"Other Non-Tax Revenue","Carbon Allowance Proceeds"
19859,17616,16523,16702,"Other Non-Tax Revenue","Total"
150594,153700,156096,151074,"Total Revenue",""
