Actual 2016–17,Actual    2017–18,Interim1 2018–19,Plan2019–20,Revenue Category,Revenue Item
30671,32900,34986,36600,"Taxation Revenue","Personal Income Tax"
24750,25925,27919,28076,"Taxation Revenue","Sales Taxes"
14872,15612,15196,15171,"Taxation Revenue","Corporations Tax"
5868,5883,6005,6085,"Taxation Revenue","Education Property Tax"
5908,6205,6588,6837,"Taxation Revenue","Employer Health Tax"
3575,3672,3806,4021,"Taxation Revenue","Ontario Health Premium"
2626,2701,2733,2766,"Taxation Revenue","Gasoline Tax"
2728,3174,2679,2877,"Taxation Revenue","Land Transfer Tax"
1230,1244,1267,1213,"Taxation Revenue","Tobacco Tax"
742,760,762,776,"Taxation Revenue","Fuel Tax"
589,601,612,618,"Taxation Revenue","Beer, Wine and Spirits Taxes"
0,0,17,70,"Taxation Revenue","Ontario Portion of the Federal Cannabis Excise Duty"
334,494,350,488,"Taxation Revenue","Electricity Payments in Lieu of Taxes"
453,552,632,540,"Taxation Revenue","Other Taxes"
94346,99723,103552,106138,"Total Taxation Revenue",""
13910,14359,14852,15646,"Government of Canada","Canada Health Transfer"
5146,5314,5451,5653,"Government of Canada","Canada Social Transfer"
2304,1424,963,0,"Government of Canada","Equalization"
732,1065,779,1043,"Government of Canada","Infrastructure Programs"
965,969,997,1036,"Government of Canada","Labour Market Programs"
441,419,386,359,"Government of Canada","Social Housing Agreement"
761,996,1261,1386,"Government of Canada","Other Federal Payments"
285,314,322,330,"Government of Canada","Direct Transfers to Broader Public-Sector Organizations"
24544,24860,25011,25453,"Total Government of Canada",""
2358,2487,2311,2414,"Income from Government Business Enterprises","Ontario Lottery and Gaming Corporation"
2349,2207,2261,2339,"Income from Government Business Enterprises","Liquor Control Board of Ontario"
0,-6,-25,10,"Income from Government Business Enterprises","Ontario Cannabis Store"
860,1464,318,1058,"Income from Government Business Enterprises","Ontario Power Generation Inc./Hydro One Ltd.2"
5567,6152,4865,5821,"Total Income from Government Business Enterprises",""
988,1000,992,981,"Other Non-Tax Revenue","Reimbursements"
1727,1912,2046,2066,"Other Non-Tax Revenue","Vehicle and Driver Registration Fees"
621,593,15,0,"Other Non-Tax Revenue","Electricity Debt Retirement Charge3"
838,185,183,125,"Other Non-Tax Revenue","Power Supply Contract Recoveries"
1999,2426,1347,1590,"Other Non-Tax Revenue","Sales and Rentals4"
0,2401,472,0,"Other Non-Tax Revenue","Carbon Allowance Proceeds5"
974,1029,1005,1080,"Other Non-Tax Revenue","Other Fees and Licences"
129,74,41,30,"Other Non-Tax Revenue","Net Reduction of Power Purchase Contracts"
272,290,306,287,"Other Non-Tax Revenue","Royalties"
7957,8309,9024,9364,"Other Non-Tax Revenue","Fees, Donations and Other Revenues from Hospitals, School Boards and Colleges"
772,1640,1923,1230,"Other Non-Tax Revenue","Miscellaneous Other Non-Tax Revenue"
16277,19859,17354,16753,"Total Other Non-Tax Revenue",""
140734,150594,150782,154165,"Total Revenue",""
