Actual                2018–19,Actual2019–20,Interim12020‑21,Plan2021–22,Revenue Category,Revenue Item
35381,37743,35876,36351,"Taxation Revenue","Personal Income Tax"
27804,28619,26042,27632,"Taxation Revenue","Sales Taxes"
16606,15414,11435,14389,"Taxation Revenue","Corporations Tax"
6171,6179,6000,5754,"Taxation Revenue","Education Property Tax"
6544,6731,6480,6445,"Taxation Revenue","Employer Health Tax"
3819,4059,3958,4141,"Taxation Revenue","Ontario Health Premium"
2709,2783,2120,2421,"Taxation Revenue","Gasoline Tax"
2761,3067,3481,3890,"Taxation Revenue","Land Transfer Tax"
1241,1118,1103,1060,"Taxation Revenue","Tobacco Tax"
774,807,711,814,"Taxation Revenue","Fuel Tax"
607,582,615,618,"Taxation Revenue","Beer, Wine and Spirits Taxes"
435,505,557,454,"Taxation Revenue","Electricity Payments in Lieu of Taxes"
19,48,140,245,"Taxation Revenue","Ontario Portion of the Federal Cannabis Excise  Duty"
653,623,581,605,"Taxation Revenue","Other Taxes"
105524,108278,99099,104819,"Taxation Revenue","Total"
14852,15640,16208,16737,"Government of Canada","Canada Health Transfer"
5451,5650,5815,6005,"Government of Canada","Canada Social Transfer"
963,0,0,0,"Government of Canada","Equalization"
605,400,1025,1086,"Government of Canada","Infrastructure Programs"
1015,1054,1521,1316,"Government of Canada","Labour Market Programs"
394,484,331,299,"Government of Canada","Social Housing Agreement"
1420,1756,8450,1577,"Government of Canada","Other Federal Payments"
390,414,395,424,"Government of Canada","Direct Transfers to Broader Public-Sector  Organizations"
25090,25398,33745,27444,"Government of Canada","Total"
2276,2402,2452,2435,"Income from Government Business Enterprises","Liquor Control Board of Ontario"
772,1167,1034,670,"Income from Government Business Enterprises","Ontario Power Generation Inc./Hydro One Ltd."
2464,2309,300,1266,"Income from Government Business Enterprises","Ontario Lottery and Gaming Corporation"
-42,19,70,170,"Income from Government Business Enterprises","Ontario Cannabis Store"
5470,5897,3856,4541,"Income from Government Business Enterprises","Total"
9237,9281,8353,9758,"Other Non-Tax Revenue","Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges"
1991,2055,2065,2096,"Other Non-Tax Revenue","Vehicle and Driver Registration Fees"
1873,1222,1241,1322,"Other Non-Tax Revenue","Miscellaneous Other Non-Tax Revenue"
1088,1156,1042,1208,"Other Non-Tax Revenue","Other Fees and Licences"
1477,1369,754,1402,"Other Non-Tax Revenue","Sales and Rentals"
998,1005,1174,1031,"Other Non-Tax Revenue","Reimbursements"
251,283,342,284,"Other Non-Tax Revenue","Royalties"
173,122,114,102,"Other Non-Tax Revenue","Power Supply Contract Recoveries"
41,30,28,5,"Other Non-Tax Revenue","Net Reduction of Power Purchase Contracts"
15,0,0,0,"Other Non-Tax Revenue","Electricity Debt Retirement Charge"
472,0,0,0,"Other Non-Tax Revenue","Carbon Allowance Proceeds"
17616,16523,15113,17208,"Other Non-Tax Revenue","Total"
153700,156096,151813,154012,"Total Revenue",""
