2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,Actual                2017–18,Actual                2018–19,Actual                2019–20,Current                 Outlook22020–21,2021 Expenses.Actual                 2018–19,2021 Expenses.Actual                 2019–20,2021 Expenses.Interim2                 2020‑21,2021 Expenses.Plan                 2021–22,2019 Expenses.Actual 2016–17,2019 Expenses.Actual 2017–18,2019 Expenses.Interim22018–19,2019 Expenses.Plan2019–20,2018 Expenses.2015–16,2018 Expenses.Actual  2016–17,2018 Expenses.Interim  2017–18,2018 Expenses.Plan  2018–19,2017 Expenses.2014–15,2017 Expenses.Actual2015–16,2017 Expenses.Interim2016–17,2017 Expenses.Plan2017–18
"","","Agriculture, Food and Rural Affairs"," COVID‑19 Time-Limited Funding6","","","Agriculture, Food and Rural Affairs"," COVID‑19 Time-Limited Funding6",,,,,0,0,83,26,,,,,,,,,,,,
"","","Agriculture, Food and Rural Affairs"," Federal-Provincial Infrastructure Programs","","","Agriculture, Food and Rural Affairs"," Federal-Provincial Infrastructure Programs",102,96,94,104,96,94,0,0,,,,,,,,,,,,
"","","Agriculture, Food and Rural Affairs"," Municipal Infrastructure Program Investments3","","","Agriculture, Food and Rural Affairs"," Municipal Infrastructure Program Investments3",195,257,222,10,257,222,0,0,,,,,,,,,,,,
"","","Agriculture, Food and Rural Affairs"," Demand-Driven Risk Management and Time-Limited Programs4","","","Agriculture, Food and Rural Affairs"," Demand-Driven Risk Management and Time-Limited Programs4",312,383,518,443,383,518,392,417,,,,,,,,,,,,
"","","Attorney General"," COVID‑19 Time-Limited Funding7","","","Attorney General"," COVID‑19 Time-Limited Funding7",,,,,0,0,32,0,,,,,,,,,,,,
"","","Attorney General"," Statutory Appropriations – Crown Liability and Proceedings Act, 2019","","","Attorney General"," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",42,17,192,0,17,192,26,0,,,,,,,,,,,,
"","","Attorney General (Base)","","","","Attorney General (Base)","",1700,1771,1750,1682,1757,1734,1645,1675,1937,2041,2088,1934,,,,,,,,
"","","COVID‑19 Health Response21","","","","COVID‑19 Health Response21","",,,,,0,0,8410,5144,,,,,,,,,,,,
"","","COVID‑19 Response Including COVID‑19 Health Contingency Fund10","","","","COVID‑19 Response Including COVID‑19 Health Contingency Fund10","",0,0,0,8346,,,,,,,,,,,,,,,,
"","","Children and Youth Services (Total)","","Children and Youth Services (Total)","","","",,,,,,,,,,,,,4298,4439,4455,4598,,,,
"","","Children, Community and Social Services"," COVID‑19 Time-Limited Funding8","","","Children, Community and Social Services"," COVID‑19 Time-Limited Funding8",,,,,0,0,88,69,,,,,,,,,,,,
"","","Colleges and Universities"," COVID‑19 Time-Limited Funding9","","","Colleges and Universities"," COVID‑19 Time-Limited Funding9",,,,,0,0,0,13,,,,,,,,,,,,
"","","Colleges and Universities"," Time-Limited Infrastructure Funding under the Strategic Investment Fund","","","Colleges and Universities"," Time-Limited Infrastructure Funding under the Strategic Investment Fund",209,119,2,0,119,2,0,0,200,209,114,0,,,,,,,,
"","","Colleges and Universities"," Student Financial Assistance","","","Colleges and Universities"," Student Financial Assistance",1663,2043,1296,1274,2043,1296,895,1352,1048,1663,2043,1372,,,,,,,,
"","","Colleges and Universities (Base)","","","","Colleges and Universities (Base)","",8595,9030,9221,9395,9029,9220,9375,9313,9000,9372,9951,9999,,,,,,,,
