Actual                 2018–19,Actual                 2019–20,Interim2                 2020‑21,Plan                 2021–22,Category,Subcategory
328,297,301,311,"Agriculture, Food and Rural Affairs (Base)",""
96,94,0,0,"Agriculture, Food and Rural Affairs"," Federal–Provincial Infrastructure Programs3"
257,222,0,0,"Agriculture, Food and Rural Affairs"," Municipal Infrastructure Program Investments4"
383,518,392,417,"Agriculture, Food and Rural Affairs"," Demand-Driven Risk Management and    Time-Limited Programs5"
0,0,83,26,"Agriculture, Food and Rural Affairs"," COVID‑19 Time-Limited Funding6"
1064,1130,777,754,"Agriculture, Food and Rural Affairs (Total)",""
1757,1734,1645,1675,"Attorney General (Base)",""
17,192,26,0,"Attorney General"," Statutory Appropriations – Crown Liability and Proceedings Act, 2019"
0,0,32,0,"Attorney General"," COVID‑19 Time-Limited Funding7"
1774,1927,1703,1675,"Attorney General (Total)",""
371,257,280,273,"Board of Internal Economy (Total)",""
16782,17070,17736,17842,"Children, Community and Social Services    (Base)",""
0,0,88,69,"Children, Community and Social Services"," COVID‑19 Time-Limited Funding8"
16782,17070,17824,17911,"Children, Community and Social Services    (Total)",""
9029,9220,9375,9313,"Colleges and Universities (Base)",""
2043,1296,895,1352,"Colleges and Universities"," Student Financial Assistance"
119,2,0,0,"Colleges and Universities"," Time-Limited Infrastructure Funding under    the Strategic Investment Fund"
0,0,0,13,"Colleges and Universities"," COVID‑19 Time-Limited Funding9"
11191,10519,10270,10678,"Colleges and Universities (Total)",""
354,315,358,378,"Economic Development, Job Creation and Trade    (Base)",""
430,263,262,214,"Economic Development, Job Creation and Trade"," Time-Limited Investments"
0,0,3508,294,"Economic Development, Job Creation and Trade"," COVID‑19 Time-Limited Funding10"
783,579,4128,885,"Economic Development, Job Creation and Trade    (Total)",""
28742,30177,30561,31263,"Education (Base)",""
1678,1570,1608,1631,"Education"," Teachers’ Pension Plan"
0,0,1573,59,"Education"," COVID‑19 Time-Limited Funding12"
30420,31748,33742,32953,"Education (Total)",""
1361,1099,1034,1084,"Energy, Northern Development and Mines    (Base)13",""
4243,5484,5903,6494,"Energy, Northern Development and Mines"," Electricity Cost Relief Programs"
0,0,460,62,"Energy, Northern Development and Mines"," COVID‑19 Time-Limited Funding14"
5604,6583,7396,7640,"Energy, Northern Development and Mines    (Total)",""
459,612,628,684,"Environment, Conservation and Parks (Base)",""
223,2,0,0,"Environment, Conservation and Parks"," Time-Limited Investments"
0,0,15,2,"Environment, Conservation and Parks"," COVID‑19 Time-Limited Funding15"
682,614,643,687,"Environment, Conservation and Parks (Total)",""
33,32,38,40,"Executive Offices (Base)",""
0,0,2,0,"Executive Offices"," Time-Limited Assistance"
33,32,40,40,"Executive Offices (Total)",""
883,804,804,851,"Finance    (Base)",""
67,88,141,185,"Finance"," Investment Management Corporation of    Ontario16"
510,503,502,502,"Finance"," Ontario Municipal Partnership Fund"
173,122,114,102,"Finance"," Power Supply Contract Costs"
0,0,0,0,"Finance"," COVID‑19 Response: Support for People    and Jobs Fund"
0,0,376,35,"Finance"," COVID‑19 Time-Limited Funding17"
1633,1518,1937,1675,"Finance    (Total)",""
6,5,6,6,"Francophone Affairs (Base)",""
0,0,1,2,"Francophone Affairs"," COVID‑19 Time-Limited Funding18"
6,5,7,9,"Francophone Affairs (Total)",""
706,683,717,743,"Government    and Consumer Services (Base)",""
1012,924,1234,1145,"Government    and Consumer Services"," Realty"
0,0,407,0,"Government    and Consumer Services"," COVID‑19 Time-Limited Funding19"
1718,1607,2359,1888,"Government    and Consumer Services (Total)",""
57566,59286,61159,64017,"Health (Total)20",""
0,0,8410,5144,"COVID‑19 Health Response21",""
934,907,889,1016,"Heritage,    Sport, Tourism and Culture Industries (Base)",""
588,656,512,602,"Heritage,    Sport, Tourism and Culture Industries"," Ontario Cultural Media Tax Credits"
40,80,65,0,"Heritage,    Sport, Tourism and Culture Industries"," Ontario Cultural Media Tax Credits –    Amounts Related to Prior Years"
0,0,66,205,"Heritage,    Sport, Tourism and Culture Industries"," COVID‑19 Time-Limited Funding22"
1562,1643,1531,1824,"Heritage,    Sport, Tourism and Culture Industries (Total)",""
75,71,83,86,"Indigenous Affairs (Base)",""
215,16,165,0,"Indigenous Affairs"," One-Time Investments including Settlements"
0,0,14,4,"Indigenous Affairs"," COVID‑19 Time-Limited Funding23"
289,86,261,90,"Indigenous Affairs (Total)",""
161,81,155,365,"Infrastructure    (Base)",""
352,160,235,590,"Infrastructure"," Federal–Provincial Infrastructure    Programs24"
0,116,103,156,"Infrastructure"," Waterfront Toronto Revitalization (Port    Lands Flood Protection)"
0,0,198,200,"Infrastructure"," Municipal Infrastructure Program    Investments25"
0,0,0,234,"Infrastructure"," COVID‑19 Time-Limited Funding26"
512,358,691,1544,"Infrastructure    (Total)",""
