2015–16,Actual2016–17,Interim2017–18,Plan2018–19,Revenue Category,Revenue Item
31141,30671,32319,35612,"Taxation Revenue","Personal Income Tax"
23455,24750,25954,26808,"Taxation Revenue","Sales Taxes"
11428,14872,15800,15137,"Taxation Revenue","Corporations Tax"
5839,5868,5968,6076,"Taxation Revenue","Education Property Tax"
5649,5908,6184,6554,"Taxation Revenue","Employer Health Tax"
3453,3575,3679,3914,"Taxation Revenue","Ontario Health Premium"
2459,2626,2675,2699,"Taxation Revenue","Gasoline Tax"
2118,2728,3091,3142,"Taxation Revenue","Land Transfer Tax"
1226,1230,1251,1250,"Taxation Revenue","Tobacco Tax"
751,742,768,784,"Taxation Revenue","Fuel Tax"
582,589,607,638,"Taxation Revenue","Beer, Wine and Spirits Taxes"
0,0,0,35,"Taxation Revenue","Ontario Portion of the Federal Cannabis Excise Duty"
3247,334,499,369,"Taxation Revenue","Electricity Payments in Lieu of Taxes"
470,453,558,563,"Taxation Revenue","Other Taxes"
91818,94346,99353,103581,"Taxation Revenue","Total"
13089,13910,14359,14934,"Government of Canada","Canada Health Transfer"
4984,5146,5314,5486,"Government of Canada","Canada Social Transfer"
2363,2304,1424,963,"Government of Canada","Equalization"
146,732,1533,1703,"Government of Canada","Infrastructure Programs"
927,965,969,998,"Government of Canada","Labour Market Programs"
455,441,412,386,"Government of Canada","Social Housing"
893,761,1020,1235,"Government of Canada","Other Federal Payments"
284,285,297,301,"Government of Canada","Direct Transfers to Broader Public-Sector Organizations"
23141,24544,25328,26006,"Government of Canada","Total"
2234,2358,2509,2245,"Income from Government Business Enterprises","Ontario Lottery and Gaming Corporation"
1956,2349,2196,2234,"Income from Government Business Enterprises","Liquor Control Board of Ontario"
0,0,-8,-40,"Income from Government Business Enterprises","Ontario Cannabis Retail Corporation"
719,860,1445,853,"Income from Government Business Enterprises","Ontario Power Generation Inc./Hydro One Ltd.1"
4909,5567,6142,5292,"Income from Government Business Enterprises","Total"
991,988,996,995,"Other Non-Tax Revenue","Reimbursements"
1565,1727,1962,2003,"Other Non-Tax Revenue","Vehicle and Driver Registration Fees"
859,621,604,0,"Other Non-Tax Revenue","Electricity Debt Retirement Charge"
875,838,182,183,"Other Non-Tax Revenue","Power Supply Contract Recoveries"
2102,1999,2439,1409,"Other Non-Tax Revenue","Sales and Rentals"
0,0,2395,1979,"Other Non-Tax Revenue","Carbon Allowance Proceeds"
964,763,995,1003,"Other Non-Tax Revenue","Other Fees and Licences"
172,129,74,41,"Other Non-Tax Revenue","Net Reduction of Power Purchase Contract Liability"
274,272,297,295,"Other Non-Tax Revenue","Royalties"
7493,7957,8283,8552,"Other Non-Tax Revenue","Fees, Donations and Other Revenues from Hospitals, School Boards and Colleges"
985,983,1086,1122,"Other Non-Tax Revenue","Miscellaneous Other Non-Tax Revenue"
16280,16277,19313,17582,"Other Non-Tax Revenue","Total"
136148,140734,150136,152461,"Total Revenue",""
