2013–14,Actual 2014–15,Interim 2015–16,Plan 2016–17,Revenue Category,Revenue Item
26929,29313,30265,32167,"Taxation Revenue","Personal Income Tax"
20481,21689,23486,23976,"Taxation Revenue","Sales Tax1"
11423,9557,11368,12050,"Taxation Revenue","Corporations Tax"
5457,5561,5666,5834,"Taxation Revenue","Education Property Tax2"
5283,5415,5742,6007,"Taxation Revenue","Employer Health Tax"
3128,3366,3451,3604,"Taxation Revenue","Ontario Health Premium"
2363,2447,2468,2522,"Taxation Revenue","Gasoline Tax"
1614,1778,2093,2051,"Taxation Revenue","Land Transfer Tax"
1110,1163,1208,1221,"Taxation Revenue","Tobacco Tax"
718,739,751,790,"Taxation Revenue","Fuel Tax"
557,560,579,611,"Taxation Revenue","Beer and Wine Tax"
543,180,3232,515,"Taxation Revenue","Electricity Payments in Lieu of    Taxes"
360,507,457,471,"Taxation Revenue","Other Taxes"
79966,82275,90766,91819,"Total Taxation Revenue",""
11940,12408,13084,13858,"Government of Canada","Canada Health Transfer"
4689,4847,4984,5128,"Government of Canada","Canada Social Transfer"
3169,1988,2363,2304,"Government of Canada","Equalization"
123,137,168,1017,"Government of Canada","Infrastructure Programs"
909,896,927,989,"Government of Canada","Labour Market Programs"
474,465,448,434,"Government of Canada","Social Housing"
96,0,0,0,"Government of Canada","Wait Times Reduction Fund"
877,874,899,914,"Government of Canada","Other Federal Payments"
22277,21615,22873,24644,"Total Government of Canada",""
2009,1995,2079,1953,"Government Business Enterprises","Ontario Lottery and Gaming Corporation"
1723,1831,1938,2025,"Government Business Enterprises","Liquor Control Board of Ontario"
1605,1789,330,1049,"Government Business Enterprises","Ontario Power Generation    Inc./Hydro One Ltd./Brampton Distribution Holdco Inc."
5337,5615,4347,5027,"Total Government Business Enterprises",""
962,985,979,983,"Other Non-Tax Revenue","Reimbursements"
1248,1433,1592,1751,"Other Non-Tax Revenue","Vehicle and Driver Registration    Fees"
954,956,868,625,"Other Non-Tax Revenue","Electricity Debt Retirement    Charge"
1296,950,784,643,"Other Non-Tax Revenue","Power Supply Contract Recoveries"
1160,2336,2174,2421,"Other Non-Tax Revenue","Sales and Rentals"
0,0,0,478,"Other Non-Tax Revenue","Cap-and-Trade Proceeds"
759,693,940,987,"Other Non-Tax Revenue","Other Fees and Licences"
243,217,172,129,"Other Non-Tax Revenue","Net Reduction of Power Purchase    Contract Liability"
242,275,271,287,"Other Non-Tax Revenue","Royalties"
1467,1196,781,795,"Other Non-Tax Revenue","Miscellaneous Other Non-Tax    Revenue3"
8331,9041,8561,9099,"Total Other Non-Tax Revenue",""
115911,118546,126547,130589,"Total Revenue",""
