Column1,Column2,Column3,Column4,Column5
"Ministry Expense","2012–13","Actual 2013–14","Interim 2014–15","Plan 2015–16"
"","","","",""
"Aboriginal Affairs1","65","63","68.6","74.5"
"Agriculture, Food and Rural Affairs1","1,016","864","924.9","1,028.8"
"Attorney General","1,683","1,813","1,780.3","1,779.8"
"Board of Internal Economy2","197","199","300.9","210.5"
"Children and Youth Services","3,911","3,997","4,173.9","4,315.7"
"Citizenship, Immigration and International Trade","161","152","155.9","158.6"
"Community and Social Services","9,696","9,977","10,568.6","11,114.9"
"Community Safety and Correctional Services1","2,309","2,380","2,496.1","2,466.6"
"Economic Development, Employment and Infrastructure / Research and Innovation1","998","992","1,111.6","1,219.9"
"Education1","23,142","23,645","24,594.2","25,230.7"
"Energy1","340","311","316.9","322.9"
"Environment and Climate Change1","485","480","485.6","503.3"
"Executive Offices","30","30","44.6","33.8"
"Finance1","806","845","821.3","860.9"
"Francophone Affairs, Office of","5","5","5.6","8.4"
"Government and Consumer Services","596","594","596.6","601.9"
"Health and Long-Term Care","47,594","48,933","50,172.7","50,770.9"
"Labour","281","303","307.7","310.5"
"Municipal Affairs and Housing1","830","845","884.5","920.0"
"Natural Resources and Forestry1","694","720","724.4","720.2"
"Northern Development and Mines","718","719","757.4","756.7"
"Tourism, Culture and Sport1","1,424","1,337","1,256.5","1,274.3"
"Training, Colleges and Universities","7,337","7,572","7,741.6","7,809.7"
"Transportation","2,478","2,823","2,965.6","3,456.8"
"Treasury Board Secretariat1","588","232","424.1","490.2"
"Interest on Debt3","10,341","10,572","10,675.0","11,410.1"
"Other Expense1","4,863","5,962","5,094.9","5,541.5"
"Program Review Savings Target","–","–","–","(490)"
"Year-End Savings4","–","–","–","(1,000.00)"
"Total Expense","122,589","126,364","129,450.1","131,902.0"
"1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense.","1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense.","1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense.","1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense.","1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense."
"2 The 2014–15 amount includes projected expenses for the 2014 general election.","2 The 2014–15 amount includes projected expenses for the 2014 general election.","2 The 2014–15 amount includes projected expenses for the 2014 general election.","2 The 2014–15 amount includes projected expenses for the 2014 general election.","2 The 2014–15 amount includes projected expenses for the 2014 general election."
"3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16.","3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16.","3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16.","3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16.","3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16."
"4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans.","4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans.","4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans.","4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans.","4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans."
"Note: Numbers may not add due to rounding.","Note: Numbers may not add due to rounding.","Note: Numbers may not add due to rounding.","Note: Numbers may not add due to rounding.","Note: Numbers may not add due to rounding."
