2017FullCategory,2017FullSubcategory
"Agriculture, Food and Rural Affairs"," Time-Limited Investments in Infrastructure"
"Children, Community and Social Services"," Time-Limited Investments in Affordable and Supportive Housing"
"Community Safety and Correctional Services"," Time-Limited Support for 2015 Pan/Parapan American Games Security"
"Energy, Northern Development and Mines"," Ontario Clean Energy Benefit"
"Energy, Northern Development and Mines"," Strategic Asset Management and Transformation Related to Hydro One"
"Energy, Northern Development and Mines"," Electricity Cost Relief Programs"
"Executive Offices"," Time-Limited Assistance"
"Finance"," Ontario Municipal Partnership Fund"
"Finance"," Power Supply Contract Costs"
"Infrastructure"," Federal–Provincial Infrastructure Programs"
"Municipal Affairs/Housing"," Time-Limited Investments in Municipal, Social and Affordable Housing"
"Natural Resources and Forestry"," Emergency Forest Firefighting"
"Transportation"," Time-Limited Investments in Infrastructure"
"Treasury Board Secretariat"," Capital Contingency Fund"
"Treasury Board Secretariat"," Operating Contingency Fund"
"Treasury Board Secretariat"," Employee and Pensioner Benefits17"
"Year-End Savings",""
"Education"," Teachers’ Pension Plan"
"Municipal Affairs and Housing"," Time-Limited Investments"
"Interest on Debt18",""
"Heritage, Sport, Tourism and Culture Industries"," Time-Limited Investments to Support 2015 Pan/Parapan American Games"
"Government and Consumer Services"," Realty"
"Agriculture, Food and Rural Affairs"," COVID‑19 Time-Limited Funding6"
"Agriculture, Food and Rural Affairs"," Federal-Provincial Infrastructure Programs"
"Agriculture, Food and Rural Affairs"," Municipal Infrastructure Program Investments3"
"Agriculture, Food and Rural Affairs"," Demand-Driven Risk Management and Time-Limited Programs4"
"Attorney General"," COVID‑19 Time-Limited Funding7"
"Attorney General"," Statutory Appropriations – Crown Liability and Proceedings Act, 2019"
"COVID‑19 Health Response21",""
"COVID‑19 Response Including COVID‑19 Health Contingency Fund10",""
"Children, Community and Social Services"," COVID‑19 Time-Limited Funding8"
"Colleges and Universities"," COVID‑19 Time-Limited Funding9"
"Colleges and Universities"," Time-Limited Infrastructure Funding under the Strategic Investment Fund"
"Colleges and Universities"," Student Financial Assistance"
"Economic Development, Job Creation and Trade"," COVID‑19 Time-Limited Funding10"
"Economic Development, Job Creation and Trade"," Time-Limited Investments"
"Economic Development, Job Creation and Trade"," Time-Limited Investments"
"Education"," COVID‑19 Time-Limited Funding12"
"Emergency Forest Firefighting",""
"Energy, Northern Development and Mines"," COVID‑19 Time-Limited Funding14"
"Environment, Conservation and Parks"," COVID‑19 Time-Limited Funding15"
"Environment, Conservation and Parks"," Time-Limited Investments"
"Executive Offices"," Disaster Relief"
"Finance"," COVID‑19 Response: Support for People and Jobs Fund"
"Finance"," Time-Limited Investments"
"Finance"," Investment Management Corporation of Ontario9"
"Finance"," COVID‑19 Time-Limited Funding17"
"Francophone Affairs"," COVID‑19 Time-Limited Funding18"
"Government    and Consumer Services"," COVID‑19 Time-Limited Funding19"
"Heritage,    Sport, Tourism and Culture Industries"," COVID‑19 Time-Limited Funding22"
"Heritage, Sport, Tourism and Culture Industries"," Ontario Cultural Media Tax Credits"
"Heritage, Sport, Tourism and Culture Industries"," Ontario Cultural Media Tax Credits – Amounts Related to Prior Years"
"Indigenous Affairs"," One-Time Investments including Settlements"
"Indigenous Affairs"," COVID‑19 Time-Limited Funding23"
"Infrastructure"," Municipal Infrastructure Program Investments12"
"Infrastructure"," Waterfront Toronto Revitalization (Port Lands Flood Protection)"
"Infrastructure"," COVID‑19 Time-Limited Funding26"
"Labour, Training and Skills Development"," COVID‑19 Time-Limited Funding28"
"Labour, Training and Skills Development"," Training Tax Credits (Co-operative Education    and Apprenticeship Training)27"
"Labour, Training and Skills Development"," Demand-Driven Employment and Training Programs"
"Labour, Training and Skills Development"," Co-op Education and Apprenticeship Tax Credits13"
"Municipal Affairs and Housing"," COVID‑19 Time-Limited Funding32"
"Municipal Affairs and Housing"," Social Housing Agreement – Payments to Service Managers15"
"Municipal Affairs and Housing"," Safe Restart Agreement"
"PRRT Savings",""
"Seniors and Accessibility"," Time-Limited Investments"
"Seniors and Accessibility"," COVID‑19 Time-Limited Funding33"
"Solicitor    General"," COVID‑19 Time-Limited Funding34"
"Tourism, Culture and Sport"," Time-Limited Funding: Ontario 150 and Pan/Parapan American Games"
"Transportation"," COVID‑19 Time-Limited Funding36"
"Transportation"," Federal–Provincial Infrastructure Programs"
"Transportation"," Safe Restart Agreement"
"Treasury Board Secretariat"," COVID‑19 Time-Limited Funding38"
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)"
"Agriculture, Food and Rural Affairs","Time-Limited Assistance"
"Children, Community and Social Services","Community and Social Services (Base)"
"Community Safety and Correctional Services","Community Safety and Correctional  Services (Base)"
"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)"
"Economic Development and Growth / Research, Innovation and Science","Green Investment Fund Initiatives"
"Education","Education (Base)"
"Energy, Northern Development and Mines","Energy (Base)"
"Energy, Northern Development and Mines","Green Investment Fund Initiatives"
"Environment and Climate Change","Environment and Climate Change (Base)"
"Environment and Climate Change","Green Investment Fund Initiatives"
"Executive Offices","Executive Offices (Base)"
"Finance","Finance (Base)"
"Health and Long-Term Care","Health and Long-Term Care (Base)"
"Health and Long-Term Care","Time-Limited Investments in Affordable and Supportive Housing"
"Indigenous Relations and Reconciliation","Indigenous Relations and Reconciliation (Base)"
"Indigenous Relations and Reconciliation","Green Investment Fund Initiatives"
"Indigenous Relations and Reconciliation","One-Time Investments including Settlements"
"Infrastructure","Infrastructure (Base)"
"Municipal Affairs / Housing","Municipal Affairs / Housing (Base)"
"Municipal Affairs / Housing","Green Investment Fund Initiatives"
"Natural Resources and Forestry","Natural Resources and Forestry (Base)"
"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)"
"Transportation","Transportation (Base)"
"Transportation","Green Investment Fund Initiatives"
"Treasury Board Secretariat","Treasury Board Secretariat (Base)"
