Ministry    Expense,2013–14,Actual 2014–15,Interim 2015–16,Plan 2016–17
"Aboriginal Affairs1","63","67","74.8","77.0"
"Agriculture, Food and Rural Affairs1","800","805","943.2","915.9"
"Attorney General","1,812","1,782","1,816.5","1,867.8"
"Board of Internal Economy2","199","264","220.1","219.9"
"Children and Youth Services","3,973","4,112","4,257.6","4,346.1"
"Citizenship, Immigration and International    Trade","152","157","169.4","220.8"
"Community and Social Services","9,977","10,551","11,304.6","11,467.5"
"Community Safety and Correctional Services1","2,380","2,524","2,537.5","2,649.5"
"Economic Development, Employment and    Infrastructure / Research and Innovation1","992","1,076","1,195.4","1,177.0"
"Education1","23,645","24,630","24,801.4","25,635.8"
"Energy1","311","326","329.9","322.1"
"Environment and Climate Change1","480","486","502.6","531.4"
"Executive Offices","30","43","36.7","44.0"
"Finance1","907","951","960.6","963.1"
"Francophone Affairs, Office of","5","5","8.4","5.7"
"Government and Consumer Services","594","573","610.0","607.6"
"Health and Long-Term Care","48,933","50,039","50,785.4","51,785.2"
"Labour","303","305","307.5","309.5"
"Municipal Affairs and Housing1","845","889","916.9","900.0"
"Natural Resources and Forestry1","720","714","710.6","750.6"
"Northern Development and Mines","719","804","740.8","790.7"
"Tourism, Culture and Sport1","1,337","1,246","1,262.3","1,250.8"
"Training, Colleges and Universities","7,599","7,684","7,782.1","7,876.8"
"Transportation1","2,823","2,944","3,365.5","3,850.9"
"Treasury Board Secretariat1","222","227","220.5","316.9"
"Interest on Debt3","10,572","10,635","11,200.0","11,756.0"
"Other Expense1","5,972","5,022","5,022.8","4,056.8"
"Year-End Savings4","–","–","–","(800.0)"
"Total Expense","126,364","128,860","132,083.2","133,895.4"
"Aboriginal    Affairs - One-Time Investments including Settlements","12","3","4.5","–"
"Aboriginal    Affairs -  Green Investment Fund Initiatives","–","–","5.0","–"
"Agriculture,    Food and Rural Affairs - Time-Limited Investments in Infrastructure","132","36","21.2","–"
"Agriculture,    Food and Rural Affairs - Time-Limited Assistance","17","7","–","–"
"Community    Safety and Correctional Services - Time-Limited    Support for 2015 Pan/Parapan American Games Security","5","44","123.5","–"
"Economic    Development, Employment and Infrastructure / Research and Innovation - Green Investment Fund Initiatives","–","–","99.0","–"
"Economic    Development, Employment and Infrastructure / Research and Innovation - Federal–Provincial Infrastructure Programs","–","–","–","618.7"
"Education - Teachers’ Pension Plan1","873","564","112.0","(452.0)"
"Energy - Green Investment Fund Initiatives","–","–","108.0","–"
"Energy - Ontario Clean Energy Benefit","1,006","1,078","860.0","–"
"Energy - Strategic    Asset Management and Transformation Related to Hydro One","–","–","52.0","70.9"
"Environment    and Climate Change - Green Investment Fund Initiatives","–","–","1.0","–"
"Finance - Ontario Municipal Partnership Fund","569","542","512.5","505.0"
"Finance - Power Supply Contract Costs","1,296","920","783.6","643.1"
"Municipal    Affairs and Housing - Green    Investment Fund Initiatives","–","–","92.0","–"
"Municipal    Affairs and Housing - Time-Limited    Investments in Municipal, Social and Affordable Housing","155","153","163.1","160.3"
"Municipal    Affairs and Housing - Time-Limited Investments","208","7","0.3","–"
"Natural    Resources and Forestry - Emergency Forest Firefighting","92","78","96.1","69.8"
"Tourism,    Culture and Sport - Time-Limited    Investments to Support 2015 Pan/ Parapan American Games","332","405","871.2","88.6"
"Transportation - Green Investment Fund Initiatives","–","–","20.0","–"
"Treasury    Board Secretariat - Capital Contingency Fund","–","–","–","100.0"
"Treasury    Board Secretariat - Operating Contingency Fund","–","–","14.6","1,100.0"
"Treasury    Board Secretariat - Employee and Pensioner Benefits","1,275","1,186","1,083.2","1,152.5"
"Total Other Expense","5,972","5,022","5,022.8","4,056.8"
