2014–15,Actual2015–16,Interim2016–17,Plan2017–18,Category,SubCategory
15,15,17,20,"Accessibility Directorate of Ontario (Total)",""
7683,7655,7807,8410,"Advanced Education and Skills Development (Total)",""
805,883,971,949,"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)"
7,0,3,0,"Agriculture, Food and Rural Affairs","Time-Limited Assistance"
36,47,100,77,"Agriculture, Food and Rural Affairs","Time-Limited Investments in Infrastructure"
847,929,1074,1026,"Agriculture, Food and Rural Affairs (Total)",""
1782,1859,1942,1938,"Attorney General (Total)",""
264,205,226,226,"Board of Internal Economy1 (Total)",""
4166,4297,4447,4444,"Children, Community and Social Services",""
103,102,105,112,"Citizenship and Immigration (Total)",""
10550,11298,11697,12410,"Children, Community and Social Services","Community and Social Services (Base)"
0,0,23,9,"Children, Community and Social Services","Time-Limited Investments in Affordable and Supportive Housing"
10550,11298,11720,12419,"Children, Community and Social Services (Total)",""
2523,2565,2689,2777,"Community Safety and Correctional Services","Community Safety and Correctional  Services (Base)"
44,122,0,0,"Community Safety and Correctional Services","Time-Limited Support for 2015 Pan/Parapan American Games Security"
2567,2687,2689,2777,"Community Safety and Correctional Services (Total)",""
834,908,960,971,"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)"
0,0,99,0,"Economic Development and Growth / Research, Innovation and Science","Green Investment Fund Initiatives"
834,908,1059,971,"Economic Development and Growth / Research, Innovation and Science (Total)",""
24629,24998,25741,26518,"Education","Education (Base)"
564,110,-502,-531,"Education","Teachers’ Pension Plan2"
25194,25108,25239,25987,"Education (Total)",""
326,328,352,512,"Energy, Northern Development and Mines","Energy (Base)"
0,0,400,1438,"Energy, Northern Development and Mines","Electricity Cost Relief Programs"
0,0,108,0,"Energy, Northern Development and Mines","Green Investment Fund Initiatives"
1078,860,21,0,"Energy, Northern Development and Mines","Ontario Clean Energy Benefit"
0,44,45,100,"Energy, Northern Development and Mines","Strategic Asset Management and Transformation Related to Hydro One"
1404,1232,926,2050,"Energy, Northern Development and Mines (Total)",""
486,503,530,1023,"Environment and Climate Change","Environment and Climate Change (Base)"
0,0,1,0,"Environment and Climate Change","Green Investment Fund Initiatives"
486,503,531,1023,"Environment and Climate Change (Total)",""
36,35,44,56,"Executive Offices","Executive Offices (Base)"
0,0,1,0,"Executive Offices","Time-Limited Assistance"
36,35,46,56,"Executive Offices (Total)",""
930,1048,902,933,"Finance","Finance (Base)"
542,513,505,505,"Finance","Ontario Municipal Partnership Fund"
950,875,739,292,"Finance","Power Supply Contract Costs"
2422,2436,2146,1730,"Finance (Total)",""
5,8,5,5,"Francophone Affairs, Office of (Total)",""
567,602,614,593,"Government and Consumer Services (Total)",""
49983,51011,52201,53763,"Health and Long-Term Care","Health and Long-Term Care (Base)"
0,0,5,0,"Health and Long-Term Care","Time-Limited Investments in Affordable and Supportive Housing"
49983,51011,52206,53763,"Health and Long-Term Care (Total)",""
67,75,83,86,"Indigenous Relations and Reconciliation","Indigenous Relations and Reconciliation (Base)"
0,0,5,0,"Indigenous Relations and Reconciliation","Green Investment Fund Initiatives"
3,5,11,5,"Indigenous Relations and Reconciliation","One-Time Investments including Settlements"
71,79,99,91,"Indigenous Relations and Reconciliation (Total)",""
229,213,193,173,"Infrastructure","Infrastructure (Base)"
0,0,132,689,"Infrastructure","Federal–Provincial Infrastructure Programs"
229,213,325,862,"Infrastructure (Total)",""
17,21,31,62,"International Trade (Total)",""
305,305,310,312,"Labour (Total)",""
889,923,898,955,"Municipal Affairs / Housing","Municipal Affairs / Housing (Base)"
0,0,92,0,"Municipal Affairs / Housing","Green Investment Fund Initiatives"
7,1,7,10,"Municipal Affairs / Housing","Time-Limited Investments"
153,165,544,297,"Municipal Affairs / Housing","Time-Limited Investments in Municipal, Social and  Affordable Housing"
1050,1088,1541,1262,"Municipal Affairs / Housing (Total)",""
713,723,753,755,"Natural Resources and Forestry","Natural Resources and Forestry (Base)"
78,95,109,70,"Natural Resources and Forestry","Emergency Forest Firefighting"
791,818,862,824,"Natural Resources and Forestry (Total)",""
804,701,837,767,"Northern Development and Mines (Total)",""
17,20,20,35,"Seniors Affairs (Total)",""
20,26,23,26,"Status of Women (Total)",""
1246,1431,1455,1390,"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)"
405,839,82,0,"Tourism, Culture and Sport","Time-Limited Investments to Support 2015 Pan/Parapan  American Games"
1650,2270,1537,1390,"Tourism, Culture and Sport (Total)",""
2941,3284,3668,4214,"Transportation","Transportation (Base)"
0,0,20,0,"Transportation","Green Investment Fund Initiatives"
0,0,0,1113,"Transportation","Time-Limited Investments in Infrastructure"
2941,3284,3688,5326,"Transportation (Total)",""
237,221,240,337,"Treasury Board Secretariat","Treasury Board Secretariat (Base)"
1186,987,1163,1208,"Treasury Board Secretariat","Employee and Pensioner Benefits"
0,0,30,515,"Treasury Board Secretariat","Operating Contingency Fund"
0,0,0,100,"Treasury Board Secretariat","Capital Contingency Fund"
1423,1208,1433,2160,"Treasury Board Secretariat (Total)",""
10635,10967,11250,11581,"Interest on Debt3",""
0,0,0,-1200,"Year-End Savings4",""
128861,131891,134752,141050,"Total Expense",""
