Serial No,variable,value
123456,Model,JMC
98745,Model,ESPADA
XYZ1234,Model,LOWPROFILE
ABC7654,Model,MAXFAN
P987df,Model,LOWPROFILE
123456,Type,AxialFans
98745,Type,AxialFans
XYZ1234,Type,CarParks
ABC7654,Type,Catering
P987df,Type,CarParks
123456,Manufacture Date,01/02/2021
98745,Manufacture Date,01/03/2021
XYZ1234,Manufacture Date,01/01/2021
ABC7654,Manufacture Date,01/06/2020
P987df,Manufacture Date,01/12/2020
123456,Warranty Period,365
98745,Warranty Period,365
XYZ1234,Warranty Period,365
ABC7654,Warranty Period,365
P987df,Warranty Period,365
123456,First Service Period,90
98745,First Service Period,90
XYZ1234,First Service Period,180
ABC7654,First Service Period,90
P987df,First Service Period,90
123456,Status,Active
98745,Status, Inactive
XYZ1234,Status,Active
ABC7654,Status,Active
P987df,Status,Active
123456,Sold?, Yes
98745,Sold?, Yes
XYZ1234,Sold?, Yes
ABC7654,Sold?, Yes
P987df,Sold?, Yes
123456,Customer Code,A0001
98745,Customer Code,MID01
XYZ1234,Customer Code,EDIN001
ABC7654,Customer Code,PEN099
P987df,Customer Code,EDIN001
123456,Customer Name,ABC Tunnels plc
98745,Customer Name,Midlands Customer
XYZ1234,Customer Name,Edinburgh Customer
ABC7654,Customer Name,Penzance Customer
P987df,Customer Name,Edinburgh Customer
123456,Install Date,15/02/2021
98745,Install Date,24/03/2021
XYZ1234,Install Date,01/02/2021
ABC7654,Install Date,15/06/2020
P987df,Install Date,25/12/2020
123456,Warranty End Date,2022-02-15 00:00:00.000
98745,Warranty End Date,2022-03-24 00:00:00.000
XYZ1234,Warranty End Date,2022-02-01 00:00:00.000
ABC7654,Warranty End Date,2021-06-15 00:00:00.000
P987df,Warranty End Date,2021-12-25 00:00:00.000
123456,First Service Date,2021-05-16 00:00:00.000
98745,First Service Date,2021-06-22 00:00:00.000
XYZ1234,First Service Date,2021-07-31 00:00:00.000
ABC7654,First Service Date,2020-09-13 00:00:00.000
P987df,First Service Date,2021-03-25 00:00:00.000
123456,Transmitter Serial,000000002114ca03
98745,Transmitter Serial,NONE2
XYZ1234,Transmitter Serial,NONE5
ABC7654,Transmitter Serial,NONE3
P987df,Transmitter Serial,NONE4
123456,Transmission Method,WiFi
98745,Transmission Method,WiFi
XYZ1234,Transmission Method,
ABC7654,Transmission Method,
P987df,Transmission Method,
123456,Fan Warning,No
98745,Fan Warning,
XYZ1234,Fan Warning,
ABC7654,Fan Warning,
P987df,Fan Warning,
123456,Site Name,Colchester Lab
98745,Site Name,Barford
XYZ1234,Site Name,Princes Street Car Park
ABC7654,Site Name,The Dog and Duck
P987df,Site Name,Car Park no 2
123456,Site Address,Axle Way
98745,Site Address,Warwick
XYZ1234,Site Address,55 Princes Street
ABC7654,Site Address,Penzance
P987df,Site Address,50 Princes Street
123456,Site Post Code,CO4 5ZD
98745,Site Post Code,CV35 8EN
XYZ1234,Site Post Code,EH2 2AN
ABC7654,Site Post Code,TR18 2FA
P987df,Site Post Code,EH2 2AN
123456,Site Longitude,51.924498087619000
98745,Site Longitude,52.244688101088900
XYZ1234,Site Longitude,55.953257968043500
ABC7654,Site Longitude,50.125767566402700
P987df,Site Longitude,55.953257968043500
123456,Site Latitude,0.912674304403081
98745,Site Latitude,1.605769507071670
XYZ1234,Site Latitude,3.191055000000000
ABC7654,Site Latitude,5.532210352329940
P987df,Site Latitude,3.191055000000000
123456,Site SSID,SKY
98745,Site SSID,SKY
XYZ1234,Site SSID,
ABC7654,Site SSID,
P987df,Site SSID,
123456,Site Password,Password
98745,Site Password,PW
XYZ1234,Site Password,
ABC7654,Site Password,
P987df,Site Password,
123456,EventID,60752
98745,EventID,60753
XYZ1234,EventID,263976
ABC7654,EventID,263977
P987df,EventID,263978
