Product,Family,URL
"JMC","AxialFans",""
"CLIMA-DUCTED","AxialFans",""
"ESPADA","AxialFans",""
"JM","AxialFans",""
"JM2","AxialFans",""
"JMTS","AxialFans","https://fanselector.flaktgroup.com/Select/AxialFans/JMTS"
"JMUD","AxialFans","https://fanselector.flaktgroup.com/Select/AxialFans/JMUD"
"JMV","AxialFans","https://fanselector.flaktgroup.com/Select/AxialFans/JMV"
"KMG","AxialFans","https://fanselector.flaktgroup.com/Select/AxialFans/KMG"
"MAXCOMP","AxialFans","https://fanselector.flaktgroup.com/Select/AxialFans/MAXCOMP"
"ROPERA","AxialFans","https://fanselector.flaktgroup.com/Select/AxialFans/ROPERA"
"JMBIF","BifurcatedFans","https://fanselector.flaktgroup.com/Select/BifurcatedFans/JMBIF"
"S33","BifurcatedFans","https://fanselector.flaktgroup.com/Select/BifurcatedFans/S33"
"DAISHO","BoxFans","https://fanselector.flaktgroup.com/Select/BoxFans/DAISHO"
"ESTOC","BoxFans","https://fanselector.flaktgroup.com/Select/BoxFans/ESTOC"
"ESTOCTARGE","BoxFans","https://fanselector.flaktgroup.com/Select/BoxFans/ESTOCTARGE"
"SABINA","BoxFans","https://fanselector.flaktgroup.com/Select/BoxFans/SABINA"
"WOODS-TWINFAN","BoxFans","https://fanselector.flaktgroup.com/Select/BoxFans/WOODS-TWINFAN"
"INDUCTION-FAN","CarParks","https://fanselector.flaktgroup.com/Select/CarParks/INDUCTION-FAN"
"LOWPROFILE","CarParks","https://fanselector.flaktgroup.com/Select/CarParks/LOWPROFILE"
"SLIMLINE","CarParks","https://fanselector.flaktgroup.com/Select/CarParks/SLIMLINE"
"STANDARDPROFILE","CarParks","https://fanselector.flaktgroup.com/Select/CarParks/STANDARDPROFILE"
"EDVC","Catering","https://fanselector.flaktgroup.com/Select/Catering/EDVC"
"MAXFAN","Catering","https://fanselector.flaktgroup.com/Select/Catering/MAXFAN"
"JMTSP","FireSafetySmokeExtract","https://fanselector.flaktgroup.com/Select/FireSafetySmokeExtract/JMTSP"
"IMPEL-JM","ImpellersOnly","https://fanselector.flaktgroup.com/Select/ImpellersOnly/IMPEL-JM"
"IMPEL-JMUD","ImpellersOnly","https://fanselector.flaktgroup.com/Select/ImpellersOnly/IMPEL-JMUD"
"JM-IMPERIAL","ImpellersOnly","https://fanselector.flaktgroup.com/Select/ImpellersOnly/JM-IMPERIAL"
"JM-MARINE","Marine","https://fanselector.flaktgroup.com/Select/Marine/JM-MARINE"
"CLIMA-EC","OEM","https://fanselector.flaktgroup.com/Select/OEM/CLIMA-EC"
"JMP","OEM","https://fanselector.flaktgroup.com/Select/OEM/JMP"
"CLIMA-PLATE","PlateFans","https://fanselector.flaktgroup.com/Select/PlateFans/CLIMA-PLATE"
"WOODS-PLATE","PlateFans","https://fanselector.flaktgroup.com/Select/PlateFans/WOODS-PLATE"
"CASALS","RoofFans","https://fanselector.flaktgroup.com/Select/RoofFans/CASALS"
"ROOFHORIZ","RoofFans","https://fanselector.flaktgroup.com/Select/RoofFans/ROOFHORIZ"
"ROOFVERT","RoofFans","https://fanselector.flaktgroup.com/Select/RoofFans/ROOFVERT"
"JET-JMG","TunnelsMetro","https://fanselector.flaktgroup.com/Select/TunnelsMetro/JET-JMG"
"JET-JMTS","TunnelsMetro","https://fanselector.flaktgroup.com/Select/TunnelsMetro/JET-JMTS"
