locationid,Location (geo),Latitude,Longitude,RegionName,ProvinceName,DistrictName,District,Region,Province,regionId,provinceId,districtId
"5-1-1","Nairobi West, Nairobi, Kenya",-1308565974,3680847931,"Kenya","Nairobi","Nairobi West","1-Nairobi West","5-Kenya","1-Nairobi",5,1,1
"5-1-2","Nairobi East, Nairobi, Kenya",,,"Kenya","Nairobi","Nairobi East","2-Nairobi East","5-Kenya","1-Nairobi",5,1,2
"5-1-3","Nairobi North, Nairobi, Kenya",-1273669958,3687490082,"Kenya","Nairobi","Nairobi North","3-Nairobi North","5-Kenya","1-Nairobi",5,1,3
"5-1-4","Westlands, Nairobi, Kenya",-1268903971,3680312729,"Kenya","Nairobi","Westlands","4-Westlands","5-Kenya","1-Nairobi",5,1,4
"5-2-5","Nyandarua South, Central, Kenya",-267470002,3637939072,"Kenya","Central","Nyandarua South","5-Nyandarua South","5-Kenya","2-Central",5,2,5
"5-2-6","Nyeri North, Central, Kenya",-424010009,3695819855,"Kenya","Central","Nyeri North","6-Nyeri North","5-Kenya","2-Central",5,2,6
"5-2-10","Muranga South, Central, Kenya",-684000015,3699399948,"Kenya","Central","Muranga South","10-Muranga South","5-Kenya","2-Central",5,2,10
"5-2-7","Nyeri South, Central, Kenya",-424010009,3695819855,"Kenya","Central","Nyeri South","7-Nyeri South","5-Kenya","2-Central",5,2,7
"5-2-8","Kirinyaga, Central, Kenya",-689859986,373490181,"Kenya","Central","Kirinyaga","8-Kirinyaga","5-Kenya","2-Central",5,2,8
"5-2-9","Muranga North, Central, Kenya",-684000015,3699399948,"Kenya","Central","Muranga North","9-Muranga North","5-Kenya","2-Central",5,2,9
"5-2-11","Kiambu East (Kiambaa), Central, Kenya",,,"Kenya","Central","Kiambu East (Kiambaa)","11-Kiambu East (Kiambaa)","5-Kenya","2-Central",5,2,11
"5-2-12","Kikuyu, Central, Kenya",-1244369984,3666400146,"Kenya","Central","Kikuyu","12-Kikuyu","5-Kenya","2-Central",5,2,12
"5-2-15","Gatundu, Central, Kenya",-1049999952,3690000153,"Kenya","Central","Gatundu","15-Gatundu","5-Kenya","2-Central",5,2,15
"5-3-16","Mombasa, Coast, Kenya",-4057380199,396627388,"Kenya","Coast","Mombasa","16-Mombasa","5-Kenya","3-Coast",5,3,16
"5-3-18","Kinango, Coast, Kenya",-4134679794,3931518936,"Kenya","Coast","Kinango","18-Kinango","5-Kenya","3-Coast",5,3,18
"5-3-19","Kilifi, Coast, Kenya",-3620219946,3984952164,"Kenya","Coast","Kilifi","19-Kilifi","5-Kenya","3-Coast",5,3,19
"5-3-20","Kaloleni, Coast, Kenya",-3815863609,3963048935,"Kenya","Coast","Kaloleni","20-Kaloleni","5-Kenya","3-Coast",5,3,20
"5-3-21","Malindi, Coast, Kenya",-3229860067,4011009979,"Kenya","Coast","Malindi","21-Malindi","5-Kenya","3-Coast",5,3,21
"5-3-22","Taita, Coast, Kenya",-248009634,3932393646,"Kenya","Coast","Taita","22-Taita","5-Kenya","3-Coast",5,3,22
"5-5-38","Wajir East, North Eaatern, Kenya",,,"Kenya","North Eaatern","Wajir East","38-Wajir East","5-Kenya","5-North Eaatern",5,5,38
"5-4-23","Imenti North, Eastern, Kenya",,,"Kenya","Eastern","Imenti North","23-Imenti North","5-Kenya","4-Eastern",5,4,23
"5-6-48","Kisii Central, Nyanza, Kenya",-75,3483330154,"Kenya","Nyanza","Kisii Central","48-Kisii Central","5-Kenya","6-Nyanza",5,6,48
"5-4-24","Imenti South, Eastern, Kenya",,,"Kenya","Eastern","Imenti South","24-Imenti South","5-Kenya","4-Eastern",5,4,24
"5-4-25","Igembe, Eastern, Kenya",1178467512,3795998001,"Kenya","Eastern","Igembe","25-Igembe","5-Kenya","4-Eastern",5,4,25
"5-7-58","Trans Nzoia East, Rift Valley, Kenya",1017879963,3500202942,"Kenya","Rift Valley","Trans Nzoia East","58-Trans Nzoia East","5-Kenya","7-Rift Valley",5,7,58
"5-4-26","Tigania, Eastern, Kenya",1178467512,3795998001,"Kenya","Eastern","Tigania","26-Tigania","5-Kenya","4-Eastern",5,4,26
"5-7-72","Bomet, Rift Valley, Kenya",-78342998,3534120178,"Kenya","Rift Valley","Bomet","72-Bomet","5-Kenya","7-Rift Valley",5,7,72
"5-4-27","Embu, Eastern, Kenya",-536989987,37451931,"Kenya","Eastern","Embu","27-Embu","5-Kenya","4-Eastern",5,4,27
"5-7-69","Kericho, Rift Valley, Kenya",-371010005,352840004,"Kenya","Rift Valley","Kericho","69-Kericho","5-Kenya","7-Rift Valley",5,7,69
"5-4-28","Kitui, Eastern, Kenya",-1370059967,3800899887,"Kenya","Eastern","Kitui","28-Kitui","5-Kenya","4-Eastern",5,4,28
"5-7-66","Narok North, Rift Valley, Kenya",-1082999945,3587870026,"Kenya","Rift Valley","Narok North","66-Narok North","5-Kenya","7-Rift Valley",5,7,66
"5-4-29","Mutomo, Eastern, Kenya",-1847501516,3820858765,"Kenya","Eastern","Mutomo","29-Mutomo","5-Kenya","4-Eastern",5,4,29
"5-4-30","Mwingi, Eastern, Kenya",-934499979,3806079865,"Kenya","Eastern","Mwingi","30-Mwingi","5-Kenya","4-Eastern",5,4,30
"5-4-31","Machakos, Eastern, Kenya",-1516669989,3726670074,"Kenya","Eastern","Machakos","31-Machakos","5-Kenya","4-Eastern",5,4,31
"5-4-32","Yatta, Eastern, Kenya",-2171420097,3809514999,"Kenya","Eastern","Yatta","32-Yatta","5-Kenya","4-Eastern",5,4,32
"5-4-33","Kangundo, Eastern, Kenya",-1301198006,3734447861,"Kenya","Eastern","Kangundo","33-Kangundo","5-Kenya","4-Eastern",5,4,33
"5-4-34","Nzaui, Eastern, Kenya",-1933330059,3754999924,"Kenya","Eastern","Nzaui","34-Nzaui","5-Kenya","4-Eastern",5,4,34
"5-5-36","Wajir South, North Eaatern, Kenya",1751129985,4005411148,"Kenya","North Eaatern","Wajir South","36-Wajir South","5-Kenya","5-North Eaatern",5,5,36
"5-5-37","Wajir North, North Eaatern, Kenya",1751129985,4005411148,"Kenya","North Eaatern","Wajir North","37-Wajir North","5-Kenya","5-North Eaatern",5,5,37
"5-5-39","Wajir West, North Eaatern, Kenya",1751129985,4005411148,"Kenya","North Eaatern","Wajir West","39-Wajir West","5-Kenya","5-North Eaatern",5,5,39
"5-6-40","Siaya, Nyanza, Kenya",65899998,3428765869,"Kenya","Nyanza","Siaya","40-Siaya","5-Kenya","6-Nyanza",5,6,40
"5-6-41","Kisumu East, Nyanza, Kenya",,,"Kenya","Nyanza","Kisumu East","41-Kisumu East","5-Kenya","6-Nyanza",5,6,41
"5-6-42","Nyando, Nyanza, Kenya",-155939996,3518830872,"Kenya","Nyanza","Nyando","42-Nyando","5-Kenya","6-Nyanza",5,6,42
"5-6-43","Homabay, Nyanza, Kenya",-552680016,3445215988,"Kenya","Nyanza","Homabay","43-Homabay","5-Kenya","6-Nyanza",5,6,43
"5-6-44","Suba, Nyanza, Kenya",-507659972,3473603058,"Kenya","Nyanza","Suba","44-Suba","5-Kenya","6-Nyanza",5,6,44
"5-6-45","Rachounyo, Nyanza, Kenya",-439999998,3473899841,"Kenya","Nyanza","Rachounyo","45-Rachounyo","5-Kenya","6-Nyanza",5,6,45
"5-6-47","Rongo, Nyanza, Kenya",-755320013,3460102844,"Kenya","Nyanza","Rongo","47-Rongo","5-Kenya","6-Nyanza",5,6,47
"5-6-49","Masaba, Nyanza, Kenya",-495457411,3448082733,"Kenya","Nyanza","Masaba","49-Masaba","5-Kenya","6-Nyanza",5,6,49
