age-id,age-group,age-min,age-max,age-category,m-age-combined,dax-age-combined
1,"0-4",0,4,"Baby","0-4 Baby","0-4 Baby"
2,"5-9",5,9,"Child","5-9 Child","5-9 Child"
3,"10-14",10,14,"Child","10-14 Child","10-14 Child"
4,"15-19",15,19,"Teenager","15-19 Teenager","15-19 Teenager"
5,"20-24",20,24,"Teenager","20-24 Teenager","20-24 Teenager"
6,"25-29",25,29,"Young Adult","25-29 Young Adult","25-29 Young Adult"
7,"30-34",30,34,"Young Adult","30-34 Young Adult","30-34 Young Adult"
8,"35-39",35,39,"Adult","35-39 Adult","35-39 Adult"
9,"40-44",40,44,"Adult","40-44 Adult","40-44 Adult"
10,"45-49",45,49,"Adult","45-49 Adult","45-49 Adult"
11,"50-54",50,54,"Adult","50-54 Adult","50-54 Adult"
12,"55-59",55,59,"Adult","55-59 Adult","55-59 Adult"
13,"60-64",60,64,"Adult","60-64 Adult","60-64 Adult"
14,"65-69",65,69,"Senior","65-69 Senior","65-69 Senior"
15,"70-74",70,74,"Senior","70-74 Senior","70-74 Senior"
16,"75-79",75,79,"Senior","75-79 Senior","75-79 Senior"
17,"80-84",80,84,"Senior","80-84 Senior","80-84 Senior"
18,"85-89",85,89,"Senior","85-89 Senior","85-89 Senior"
19,"90-94",90,94,"Senior","90-94 Senior","90-94 Senior"
20,"95-99",95,99,"Senior","95-99 Senior","95-99 Senior"
21,"100+",100,100,"Senior","100+ Senior","100+ Senior"
