airline,avail_seat_km_per_week,Incident_Summary,variable,value
Aer Lingus,320906734,2,incidents_85_99,2
Aeroflot*,1197672318,82,incidents_85_99,76
Aerolineas Argentinas,385803648,7,incidents_85_99,6
Aeromexico*,596871813,8,incidents_85_99,3
Air Canada,1865253802,4,incidents_85_99,2
Air France,3004002661,20,incidents_85_99,14
Air India*,869253552,6,incidents_85_99,2
Air New Zealand*,710174817,8,incidents_85_99,3
Alaska Airlines*,965346773,10,incidents_85_99,5
Alitalia,698012498,11,incidents_85_99,7
All Nippon Airways,1841234177,10,incidents_85_99,3
American*,5228357340,38,incidents_85_99,21
Austrian Airlines,358239823,2,incidents_85_99,1
Avianca,396922563,5,incidents_85_99,5
British Airways*,3179760952,10,incidents_85_99,4
Cathay Pacific*,2582459303,2,incidents_85_99,0
China Airlines,813216487,14,incidents_85_99,12
Condor,417982610,2,incidents_85_99,2
COPA,550491507,3,incidents_85_99,3
Delta / Northwest*,6525658894,48,incidents_85_99,24
Egyptair,557699891,12,incidents_85_99,8
El Al,335448023,2,incidents_85_99,1
Ethiopian Airlines,488560643,30,incidents_85_99,25
Finnair,506464950,1,incidents_85_99,1
Garuda Indonesia,613356665,14,incidents_85_99,10
Gulf Air,301379762,4,incidents_85_99,1
Hawaiian Airlines,493877795,1,incidents_85_99,0
Iberia,1173203126,9,incidents_85_99,4
Japan Airlines,1574217531,3,incidents_85_99,3
Kenya Airways,277414794,4,incidents_85_99,2
KLM*,1874561773,8,incidents_85_99,7
Korean Air,1734522605,13,incidents_85_99,12
LAN Airlines,1001965891,3,incidents_85_99,3
Lufthansa*,3426529504,9,incidents_85_99,6
Malaysia Airlines,1039171244,6,incidents_85_99,3
Pakistan International,348563137,18,incidents_85_99,8
Philippine Airlines,413007158,9,incidents_85_99,7
Qantas*,1917428984,6,incidents_85_99,1
Royal Air Maroc,295705339,8,incidents_85_99,5
SAS*,682971852,11,incidents_85_99,5
Saudi Arabian,859673901,18,incidents_85_99,7
Singapore Airlines,2376857805,4,incidents_85_99,2
South African,651502442,3,incidents_85_99,2
Southwest Airlines,3276525770,9,incidents_85_99,1
