Column1,variable,value
American,1995,13326
Continental,1995,"$4,354"
Delta,1995,11386
Northwest,1995,"$7,762"
United,1995,13027
US Airways,1995,"$6,268"
America West,1995,"$1,443"
 --sub Network,1995,57566
Southwest,1995,2761
jetBlue,1995,$-
AirTran,1995,$-
Frontier,1995,54
Virgin America,1995,$-
 -- sub LCC,1995,2814
Alaska,1995,958
Hawaiian,1995,298
Spirit,1995,49
Allegiant,1995,$-
 -- sub Other,1995,1305
Total All Sectors,1995,61685
Total Industry,1995,69470
American,1996,13632
Continental,1996,"$4,885"
Delta,1996,11981
Northwest,1996,"$8,598"
United,1996,14247
US Airways,1996,"$6,799"
America West,1996,"$1,625"
 --sub Network,1996,61768
Southwest,1996,3269
jetBlue,1996,$-
AirTran,1996,$-
Frontier,1996,105
Virgin America,1996,$-
 -- sub LCC,1996,3374
Alaska,1996,1106
Hawaiian,1996,326
Spirit,1996,54
Allegiant,1996,$-
 -- sub Other,1996,1486
Total All Sectors,1996,66628
Total Industry,1996,75286
American,1997,14284
Continental,1997,"$5,686"
Delta,1997,12773
Northwest,1997,"$8,722"
United,1997,15069
US Airways,1997,"$7,112"
America West,1997,"$1,753"
 --sub Network,1997,65399
Southwest,1997,3639
jetBlue,1997,$-
AirTran,1997,$102
Frontier,1997,131
Virgin America,1997,$-
 -- sub LCC,1997,3871
Alaska,1997,1256
Hawaiian,1997,332
Spirit,1997,64
Allegiant,1997,$-
 -- sub Other,1997,1652
Total All Sectors,1997,70922
Total Industry,1997,79471
American,1998,14688
Continental,1998,"$6,388"
Delta,1998,13179
Northwest,1998,"$7,513"
United,1998,15202
US Airways,1998,"$7,021"
America West,1998,"$1,853"
 --sub Network,1998,65844
Southwest,1998,3964
jetBlue,1998,$-
AirTran,1998,$344
Frontier,1998,182
Virgin America,1998,$-
 -- sub LCC,1998,4490
Alaska,1998,1371
Hawaiian,1998,354
Spirit,1998,116
Allegiant,1998,$-
 -- sub Other,1998,1841
Total All Sectors,1998,72176
Total Industry,1998,80985
American,1999,14456
Continental,1999,"$6,975"
Delta,1999,13203
Northwest,1999,"$8,587"
United,1999,15441
US Airways,1999,"$6,848"
America West,1999,"$2,024"
 --sub Network,1999,67533
Southwest,1999,4499
jetBlue,1999,$-
AirTran,1999,$486
Frontier,1999,293
Virgin America,1999,$-
 -- sub LCC,1999,5279
Alaska,1999,1480
Hawaiian,1999,400
Spirit,1999,212
Allegiant,1999,$-
 -- sub Other,1999,2093
Total All Sectors,1999,74905
Total Industry,1999,84317
American,2000,16371
Continental,2000,"$8,062"
