ID,Comment,Comment ID
173252709421_10150651601824422,A. Action Center,10150651601824422_22064440
173252709421_224669990882782,i wanna WCF 5 + Skype + Lync Server.,224669990882782_3365615
173252709421_406388999421,Cool. Been waiting on Sharepoint 2010 books coming out.,406388399421_13396741
173252709421_239217773705,"I'd love a review copy of the Powershell book. I generally post on numerous sites including Amazon, my personal blogs, short spoken review at my user group (southernbirmingham.com) etc.",239217773705_9215945
173252709421_10150866189239422,A. OptionalField,10150866189239422_22856246
173252709421_10150873343949422,"I was basing my response (C - terminates the application) off of this MSDN topic ""Exceptions in Managed Threads"" @ http://msdn.microsoft.com/en-us/library/ms228965%28v=vs.100%29.aspx: ""Starting with the .NET Framework version 2.0, the common language runtime allows most unhandled exceptions in threads to proceed naturally. In most cases this means that the unhandled exception causes the application to terminate. """,10150873343949422_22903077
173252709421_10150677312389422,"D is the right answer. IKEv2 VPNs support the VPN Reconnect function of Windows 7.

The PPTP does not support the VPN Reconnect function of Windows 7.

L2TP/IPsec VPN does not support the VPN Reconnect function of Windows 7.

The SSTP VPN protocol does not support the VPN Reconnect function of Windows 7.",10150677312389422_22238984
173252709421_10150713418869422,"Hmmm, I'll send you an email to discuss. :)",10150713418869422_22416195
173252709421_10152572776799422,0000001....?.....1000000,10152572776764422_10152573289614422
173252709421_10153954383219422,Nice  thanks a lot  really love https://marketplace.computenext.com/compute/virtual-machine/country/south-africa.html|https://marketplace.computenext.com/compute/virtual-machine/country/japan.html|https://marketplace.computenext.com/compute/virtual-machine/country/slovakia.html|https://marketplace.computenext.com/compute/virtual-machine/country/indonesia.html|https://marketplace.computenext.com/compute/virtual-machine/country/norway.html|https://marketplace.computenext.com/compute/virtual-machine/country/denmark.html|https://marketplace.computenext.com/compute/virtual-machine/country/switzerland.html !,10153954383219422_10153963165224422
173252709421_278487948910957,I'm curious about this book.,278487948910957_1435382
173252709421_10150609154409422,Its A,10150609154409422_21770633
173252709421_312719638910,"wow, I would like to review this long waiting C# and .net guide if it is available again. Thanks !!",312719638910_11309569
173252709421_157432000963663,"The book covers RTM and R2. 710 pages, enjoy!",157432000963663_1668787
173252709421_10150645840684422,A,10150645840684422_22023701
