Year,American,Continental,Delta,Northwest,United,US Airways,America West,Southwest,jetBlue,AirTran,Frontier,Virgin America,Alaska,Hawaiian,Spirit,Allegiant
1995,155176.716,54310.197,130218.905,87672.56,158569.846,58679.219,19421.451,36841.098,0.0,114.722,716.894,0.0,13885.162,4677.463,669.333,0.0
1996,152796.08,54998.288,133715.498,94021.325,162844.728,57348.928,21624.599,40899.61,0.0,1467.192,1308.512,0.0,14903.822,5100.89,858.083,0.0
1997,153923.366,61940.975,138831.369,97151.683,169111.014,58499.444,23567.581,44727.922,0.0,1412.731,1810.419,0.0,15436.125,5439.742,1087.863,0.0
1998,155301.719,70635.774,142144.077,91443.996,174008.841,56882.446,24307.13,47619.112,0.0,4604.09,2174.102,0.0,16807.059,5574.683,1549.92,0.0
1999,160438.122,79433.624,144797.441,99574.9,176687.558,59247.544,25907.836,52901.1,0.0,5812.531,3386.558,0.0,17350.666,6323.539,3042.603,0.0
2000,161034.592,83770.677,147220.898,103527.138,175492.53,66630.702,27112.136,59941.22,1379.991,5916.86,4038.523,0.0,17314.825,7441.719,3864.8,109.936
2001,153227.272,81201.582,141424.772,98564.553,164850.408,66773.353,26545.945,65538.4,4259.739,6593.83,4681.184,0.0,17917.503,7923.37,4564.662,43.84
2002,172206.861177,77193.377475,131681.806777,93583.466347,148807.350406,56409.550039,26994.532884,69058.890986,8228.878506,8407.828665,5176.81946,0.0,19355.720127,6533.559637,5588.538374,162.994953
2003,165214.479987,76085.716692,120454.614229,89077.247307,136565.982751,51564.71835,27871.30037,71910.699773,13688.732976,10104.993429,6618.185702,0.0,20920.921278,7210.012459,5804.947552,600.598385
2004,174002.079436,81506.07266,129906.876915,91510.382009,145387.803956,53991.054908,30153.481475,77006.077843,18966.68046,12005.231714,8222.275346,0.0,22275.401762,7223.255599,6281.626941,1173.731421
2005,176102.289893,85674.505802,133846.693633,91915.332457,140294.029423,53430.655494,30502.839292,85353.570842,23743.782044,15383.719395,9194.742074,0.0,22295.220227,7758.645039,5648.082271,1594.446428
2006,174026.191439,93619.455643,125418.489992,85712.86899,143087.443916,77327.002575,0.0,92794.5399,28582.84978,19010.926969,10492.689662,0.0,23279.372312,8053.232213,5552.818763,2760.58522
2007,169910.78422,99141.110539,127744.601445,86287.989603,141900.231111,75834.00518,0.0,99775.533756,32148.941028,22705.938134,12585.10663,941.052622,24212.229175,9220.899654,8496.81003,3731.39838
2008,163537.18089,99157.689203,128978.258319,84445.714026,135862.160024,74149.647985,0.0,103493.655687,32466.7942,23820.59425,12131.006116,4499.002864,24221.688268,9519.583709,8217.680312,4280.30476
2009,151779.066994,94433.031736,122644.119291,75221.076154,122737.647407,70722.3182,0.0,98176.984999,32566.2097,23304.523145,10557.102848,6686.722441,23147.84881,9704.368448,7478.542246,5281.03695
2010,153245.600723,95004.335862,200782.859412,0.0,121911.734913,71583.521914,0.0,98563.120214,34760.9986,24059.771977,11026.67857,7652.015547,24436.716611,10146.371015,8076.839972,6039.68657
2011,154323.147642,100453.872405,203456.507678,0.0,118973.27536,72597.944496,0.0,103890.852722,37247.87565,24727.459109,11868.55079,9853.166602,26521.098069,12029.870099,9353.03184,6159.377794
2012,152626.802673,0.0,200879.775915,0.0,216299.364563,74204.276983,0.0,128271.501696,40095.01395,0.0,11908.591944,12527.513227,28185.008574,14695.598652,11299.098609,7297.200872
2013,154496.667169,0.0,204209.504415,0.0,212977.16664,77890.881718,0.0,130502.642486,42851.52097,0.0,10866.663156,12271.718446,30416.56364,16854.200757,13836.845494,8000.12513
2014,157598.376225,0.0,212234.999495,0.0,214061.328994,79912.567417,0.0,131259.233194,45028.134741,0.0,12539.084628,12250.278139,32434.498081,17077.793679,16400.731536,8806.300097
2015,239368.068213,0.0,220436.969032,0.0,219956.362061,0.0,0.0,140670.794452,49347.006843,0.0,15495.494516,12690.962824,35917.395827,17701.414389,21363.725769,10365.203296
2016,241732.312653,0.0,225276.441281,0.0,224652.629285,0.0,0.0,148657.618865,53705.129461,0.0,18358.681382,14578.472974,38720.546511,18350.777354,25640.652201,12125.3844
2017,243824.198011,0.0,228416.396804,0.0,234546.881195,0.0,0.0,153966.089158,56039.33907,0.0,21895.24899,15480.871728,41468.377856,18977.885873,29584.996038,13309.929863
2018,248574.160131,0.0,238588.032221,0.0,244770.592714,0.0,0.0,159920.260395,60409.377776,0.0,24443.949064,0.0,59186.490746,20147.102143,36270.227138,14580.892158
2019,248841.374873,0.0,251140.475254,0.0,253254.572206,0.0,0.0,157296.713464,63831.982654,0.0,28103.915678,0.0,59714.508542,20564.411683,41817.32655,15863.112543
