Column Name,ExplicitDataType,Data Category,Column Description,Hidden Column Flag,Type,Source Column,Table Name,Data Type,Column Type,ID,TableID,InferredName,InferredDataType,State,IsUnique,IsKey,IsNullable,Alignment,TableDetailPosition,IsDefaultLabel,IsDefaultImage,SummarizeBy,ColumnStorageID,ColumnOriginID,Expression,FormatString,IsAvailableInMDX,SortByColumnID,AttributeHierarchyID,ModifiedTime,StructureModifiedTime,RefreshedTime,SystemFlags,KeepUniqueRows,DisplayOrdinal,ErrorMessage,SourceProviderType,DisplayFolder,EncodingHint,RelatedColumnDetailsID
Product Key,6,,,True,1,Product Key,Internet Sales,Whole Number,Standard Column,568400,266,,19,1,False,False,True,1,-1,False,False,2,568404,,,0,True,,568403,2017-11-03 18:29:08.256,2017-10-28 20:31:17.830,1699-12-31 00:00:00.000,0,False,0,,,,0,
Promotion,2,,,False,1,Promotion,Promotion,Text,Standard Column,1209,1195,,19,1,False,False,True,1,-1,False,False,2,1372,,,,True,,1317,2017-01-08 23:05:07.240,2017-01-08 23:05:03.413,1699-12-31 00:00:00.000,0,False,0,,,,0,
Sales Territory Country,2,Country,,False,1,Sales Territory Country,Sales Territory,Text,Standard Column,2349,2343,,19,1,False,False,True,1,-1,False,False,2,2398,,,,True,,2379,2017-08-27 18:17:12.640,2017-01-08 23:05:03.646,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller Sales Territory Region,2,,,False,1,Reseller Sales Territory Region,Reseller,Text,Standard Column,2680,2651,,19,1,False,False,True,1,-1,False,False,2,2848,,,,True,,2738,2017-01-08 23:05:07.240,2017-01-08 23:05:03.900,1699-12-31 00:00:00.000,0,False,0,,,,0,
Year,6,,,True,1,Year,Sales and Margin Plan,Whole Number,Standard Column,471826,376482,,19,1,False,False,True,1,-1,False,False,3,471830,,,0,True,,471829,2017-10-08 23:42:31.130,2017-10-08 22:29:02.196,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Standard Cost,10,,,False,1,Product Standard Cost,Product,Fixed Decimal Number,Standard Column,407663,1995,,19,1,False,False,True,1,-1,False,False,2,407710,,,"\$#,0.00;(\$#,0.00);\$#,0.00",True,,407693,2017-08-27 23:00:56.433,2017-08-27 22:58:44.886,1699-12-31 00:00:00.000,0,False,0,,,,0,
Day Number in Calendar Year,6,,,False,1,Day Number in Calendar Year,Date,Whole Number,Standard Column,265100,648,,19,1,False,False,True,1,-1,False,False,2,265105,,,0,True,,265104,2017-07-30 11:29:00.926,2017-05-27 18:18:33.550,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Category,2,,,False,1,Product Category,Product,Text,Standard Column,2039,1995,,19,1,False,False,True,1,-1,False,False,2,2297,,,,True,,2141,2017-01-08 23:05:07.240,2017-01-08 23:05:03.586,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer Name,2,,,False,1,Customer Name,Customer,Text,Standard Column,67553,67530,,19,1,False,False,True,1,-1,False,False,2,67557,,,,True,,67556,2017-05-13 14:50:12.636,2017-05-13 14:50:12.636,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer Alternate Key,2,,,False,1,Customer Alternate Key,Customer,Text,Standard Column,566321,67530,,19,1,False,False,True,1,-1,False,False,2,566327,,,,True,,566326,2017-10-26 17:23:58.753,2017-10-26 17:23:58.753,1699-12-31 00:00:00.000,0,False,0,,,,0,
