ID,TableID,Measure Name,Measure Description,DataType,DAX Expression,FormatString,Hidden Measure Flag,State,ModifiedTime,StructureModifiedTime,KPIID,IsSimpleMeasure,ErrorMessage,DisplayFolder,DetailRowsDefinitionID,Table Name,Data Type
98691,97247,"Internet Net Sales (PYTD)","",10,"CALCULATE([Internet Net Sales],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year])-1 && 
			'Date'[Date] <= MAX('Date'[Prior Calendar Year Date])
			))","\$#,0;(\$#,0);\$#,0",False,1,2017-12-02 22:24:11.346,2017-05-14 16:36:28.983,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
103533,97247,"Reseller Net Sales (CY)","",10,"CALCULATE([Reseller Net Sales],FILTER(ALL('Date'),
	'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
	'Date'[Date] >= MIN('Date'[Date]) &&
	'Date'[Date] <= MAX('Date'[Date]))
	)","",False,1,2017-11-15 13:30:41.756,2017-05-14 18:59:35.713,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
103537,97247,"Reseller Net Sales (PY)","",10,"CALCULATE([Reseller Net Sales],FILTER(ALL('Date'),
	CONTAINS(VALUES('Date'[Prior Calendar Year Date]),'Date'[Prior Calendar Year Date],'Date'[Date])))","\$#,0;(\$#,0);\$#,0",False,1,2017-11-15 13:31:48.176,2017-05-14 19:00:16.926,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
103541,97247,"Reseller Net Sales (PYTD)","",10,"CALCULATE([Reseller Net Sales],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year])-1  &&
			'Date'[Date] <= MAX('Date'[Prior Calendar Year Date])
			))","\$#,0;(\$#,0);\$#,0",False,1,2017-12-12 00:37:54.733,2017-05-14 19:01:00.403,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
103545,97247,"Reseller Net Sales (YTD)","",10,"CALCULATE([Reseller Net Sales],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
		'Date'[Date] <= MAX('Date'[Date])))","\$#,0;(\$#,0);\$#,0",False,1,2017-12-11 23:41:31.533,2017-05-14 19:01:39.470,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
103549,97247,"Internet Sales Margin % (YTD)","",8,"CALCULATE([Internet Sales Margin %],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
		'Date'[Date] <= MAX('Date'[Date])))","0.0%;-0.0%;0.0%",False,1,2017-12-02 22:20:40.690,2017-05-14 19:03:01.210,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103553,97247,"Internet Sales Margin % (CY)","",8,"CALCULATE([Internet Sales Margin %],FILTER(ALL('Date'),
	'Date'[Calendar Year Status] = ""Current Calendar Year"" && 
	'Date'[Date] >= MIN('Date'[Date]) &&
	'Date'[Date] <= MAX('Date'[Date]))
	)","0.0%;-0.0%;0.0%",False,1,2017-11-20 20:37:12.946,2017-05-14 19:03:28.746,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103557,97247,"Internet Sales Margin % (PYTD)","",8,"CALCULATE([Internet Sales Margin %],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year]) - 1 && 
			'Date'[Date] <= MAX('Date'[Prior Calendar Year Date])
			))","0.0%;-0.0%;0.0%",False,1,2017-12-02 22:29:37.793,2017-05-14 19:04:23.566,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103561,97247,"Internet Sales Margin % (PY)","",8,"CALCULATE([Internet Sales Margin %],FILTER(ALL('Date'),
	'Date'[Calendar Year Status] = ""Prior Calendar Year"" && 
	'Date'[Calendar Year Month Number] = MAX('Date'[Calendar Year Month Number]) - 12 &&
	'Date'[Date] >= MIN('Date'[Prior Calendar Year Date]) && 'Date'[Date] <= MAX('Date'[Prior Calendar Year Date])
	))","0.0%;-0.0%;0.0%",False,1,2017-11-20 20:37:12.946,2017-05-14 19:04:54.530,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103565,97247,"AdWorks Net Sales (YTD)","",10,"CALCULATE([AdWorks Net Sales],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
		'Date'[Date] <= MAX('Date'[Date])))","\$#,0;(\$#,0);\$#,0",False,1,2017-12-04 23:54:06.966,2017-05-14 19:07:02.986,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
103569,97247,"AdWorks Net Sales (CY)","",10,"CALCULATE([AdWorks Net Sales],FILTER(ALL('Date'),
	'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
	'Date'[Date] >= MIN('Date'[Date]) &&
	'Date'[Date] <= MAX('Date'[Date]))
	)","\$#,0;(\$#,0);\$#,0",False,1,2017-12-04 23:54:29.713,2017-05-14 19:07:37.256,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
103573,97247,"AdWorks Net Sales (PYTD)","",10,"CALCULATE([AdWorks Net Sales],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year])-1 && 
			'Date'[Date] <= MAX('Date'[Prior Calendar Year Date])
			))","\$#,0;(\$#,0);\$#,0",False,1,2017-12-04 23:58:02.833,2017-05-14 19:08:01.993,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
103577,97247,"AdWorks Net Sales (PY)","",10,"CALCULATE([AdWorks Net Sales],FILTER(ALL('Date'),
	CONTAINS(VALUES('Date'[Prior Calendar Year Date]),'Date'[Prior Calendar Year Date],'Date'[Date])))","\$#,0;(\$#,0);\$#,0",False,1,2017-12-04 23:57:40.673,2017-05-14 19:08:28.390,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
103581,97247,"Internet Sales Customer Count (YTD)","",6,"CALCULATE([Internet Sales Customer Count],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
		'Date'[Date] <= MAX('Date'[Date])))","#,0",False,1,2017-12-01 23:05:18.120,2017-05-14 19:12:08.836,,False,"","",,"Date Intelligence Metrics","Whole Number"
103585,97247,"Internet Sales Customer Count (CY)","",6,"CALCULATE([Internet Sales Customer Count],FILTER(ALL('Date'),
	'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
	'Date'[Date] >= MIN('Date'[Date]) &&
	'Date'[Date] <= MAX('Date'[Date]))
	)","#,0",False,1,2017-11-13 18:29:49.540,2017-05-14 19:13:06.310,,False,"","",,"Date Intelligence Metrics","Whole Number"
103589,97247,"Internet Sales Customer Count (PY)","",6,"CALCULATE([Internet Sales Customer Count],FILTER(ALL('Date'),
	'Date'[Calendar Year] = MAX('Date'[Calendar Year])-1 && 
	'Date'[Calendar Year Month Number] = MAX('Date'[Calendar Year Month Number]) - 12 &&
	'Date'[Date] >= MIN('Date'[Prior Calendar Year Date]) && 'Date'[Date] <= MAX('Date'[Prior Calendar Year Date])
	))","#,0",False,1,2017-11-13 18:29:49.540,2017-05-14 19:13:43.126,,False,"","",,"Date Intelligence Metrics","Whole Number"
103593,97247,"Internet Sales Customer Count (PYTD)","",6,"CALCULATE([Internet Sales Customer Count],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year])-1 && 
			'Date'[Date] <= MAX('Date'[Prior Calendar Year Date])
			))","#,0",False,1,2017-12-02 22:24:25.426,2017-05-14 19:14:33.146,,False,"","",,"Date Intelligence Metrics","Whole Number"
103625,97247,"AdWorks Net Margin % (YTD)","",8,"CALCULATE([AdWorks Net Margin %],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
		'Date'[Date] <= MAX('Date'[Date])))","0.0%;-0.0%;0.0%",False,1,2017-12-04 23:56:41.353,2017-05-14 19:30:42.040,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103629,97247,"AdWorks Net Margin % (CY)","",8,"CALCULATE([AdWorks Net Margin %],FILTER(ALL('Date'),
	'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
	'Date'[Date] >= MIN('Date'[Date]) &&
	'Date'[Date] <= MAX('Date'[Date]))
	)","0.0%;-0.0%;0.0%",False,1,2017-12-04 23:54:45.766,2017-05-14 19:31:12.946,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103633,97247,"AdWorks Net Margin % (PYTD)","",8,"CALCULATE([AdWorks Net Margin %],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year])-1 && 
			'Date'[Date] <= MAX('Date'[Prior Calendar Year Date])
			))","0.0%;-0.0%;0.0%",False,1,2017-12-04 23:56:18.966,2017-05-14 19:32:05.796,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103637,97247,"AdWorks Net Margin % (PY)","",8,"CALCULATE([AdWorks Net Margin %],FILTER(ALL('Date'),
	'Date'[Calendar Year] = MAX('Date'[Calendar Year])-1 && 
	'Date'[Calendar Year Month Number] = MAX('Date'[Calendar Year Month Number]) - 12 &&
	'Date'[Date] >= MIN('Date'[Prior Calendar Year Date]) && 'Date'[Date] <= MAX('Date'[Prior Calendar Year Date])
	))","0.0%;-0.0%;0.0%",False,1,2017-12-04 23:54:55.993,2017-05-14 19:32:49.000,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103641,97247,"Reseller Net Margin % (YTD)","",8,"CALCULATE([Reseller Net Margin %],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
		'Date'[Date] <= MAX('Date'[Date])))","0.0%;-0.0%;0.0%",False,1,2017-12-11 23:53:38.413,2017-05-14 19:34:49.436,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103645,97247,"Reseller Net Margin % (CY)","",8,"CALCULATE([Reseller Net Margin %],FILTER(ALL('Date'),
	'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
	'Date'[Date] >= MIN('Date'[Date]) &&
	'Date'[Date] <= MAX('Date'[Date]))
	)","0.00%;-0.00%;0.00%",False,1,2017-12-02 22:50:34.840,2017-05-14 19:36:05.076,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103649,97247,"Reseller Net Margin % (PYTD)","",8,"CALCULATE([Reseller Net Margin %],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year])-1 && 
			'Date'[Date] <= MAX('Date'[Prior Calendar Year Date])
			))","0.0%;-0.0%;0.0%",False,1,2017-12-02 22:53:17.263,2017-05-14 19:36:47.366,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103653,97247,"Reseller Net Margin % (PY)","",8,"CALCULATE([Reseller Net Margin %],FILTER(ALL('Date'),
	CONTAINS(VALUES('Date'[Prior Calendar Year Date]),'Date'[Prior Calendar Year Date],'Date'[Date])))","0.0%;-0.0%;0.0%",False,1,2017-12-02 22:51:36.750,2017-05-14 19:37:20.250,,False,"","",,"Date Intelligence Metrics","Decimal Number"
103663,97247,"Internet Sales Var to Plan (YTD)","",10,"CALCULATE([Internet Net Sales Var to Plan],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
		'Date'[Date] <= MAX('Date'[Date])))","\$#,0.0;(\$#,0.0);\$#,0.0",False,1,2017-12-02 22:21:31.360,2017-05-14 19:40:02.073,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
103667,97247,"Internet Sales Var to Plan (CY)","",10,"CALCULATE([Internet Net Sales Var to Plan],FILTER(ALL('Date'),
	'Date'[Calendar Year] = MAX('Date'[Calendar Year]) && 
	'Date'[Date] >= MIN('Date'[Date]) &&
	'Date'[Date] <= MAX('Date'[Date]))
	)","\$#,0;(\$#,0);\$#,0",False,1,2017-10-31 18:43:32.230,2017-05-14 19:40:29.886,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
103671,97247,"Internet Sales Var to Plan (PYTD)","",10,"CALCULATE([Internet Net Sales Var to Plan],
	FILTER(ALL('Date'),'Date'[Calendar Year] = MAX('Date'[Calendar Year])-1 && 
			'Date'[Date] <= MAX('Date'[Prior Calendar Year Date])
			))","\$#,0;(\$#,0);\$#,0",False,1,2017-12-02 22:30:48.853,2017-05-14 19:40:55.110,,False,"","",,"Date Intelligence Metrics","Fixed Decimal Number"
