status,created,id,related,new related,count_failed_column,Month
succeeded,2019-02-23 00:00:00.000,11,11.0,11,2,2
failed,2019-02-22 00:00:00.000,11,11.0,11,2,2
failed,2019-02-01 00:00:00.000,33,,0,2,2
succeeded,2019-03-03 00:00:00.000,55,55.0,55,2,3
failed,2019-02-10 00:00:00.000,55,55.0,55,2,2
succeeded,2019-03-02 00:00:00.000,22,22.0,22,2,3
failed,2019-02-20 00:00:00.000,44,,0,2,2
succeeded,2019-03-01 00:00:00.000,11,11.0,11,2,3
failed,2019-02-21 00:00:00.000,11,11.0,11,2,2
failed,2019-02-19 00:00:00.000,44,,0,2,2
failed,2019-03-04 00:00:00.000,44,,0,2,3
failed,2019-02-17 00:00:00.000,22,22.0,22,2,2
failed,2019-02-21 00:00:00.000,44,,0,2,2
succeeded,2019-02-11 00:00:00.000,55,55.0,55,2,2
failed,2019-02-09 00:00:00.000,55,55.0,55,2,2
succeeded,2019-02-18 00:00:00.000,22,22.0,22,2,2
failed,2019-02-24 00:00:00.000,44,,0,2,2
