ID,ModelID,Name,IsActive,Type,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,State,RelationshipStorageID,RelationshipStorage2ID,ModifiedTime,RefreshedTime,SecurityFilteringBehavior
150,1,"a305857f-2dfe-4038-907b-e31a38bcae91",True,1,1,2,False,12,160,2,114,161,1,1,1116,,2021-10-02 18:22:30.596,2021-10-02 18:22:30.596,1
151,1,"185f807b-1341-43b4-934b-634d4e2e7a76",True,1,1,2,False,123,177,2,126,178,1,1,1118,,2021-10-02 18:22:30.483,2021-10-02 18:22:30.483,1
152,1,"a0e58bd5-9da3-4532-8520-7cf07e4f1625",True,1,1,2,False,132,194,2,135,195,1,1,1120,,2021-10-02 18:22:30.676,2021-10-02 18:22:30.676,1
153,1,"f6cd5778-5008-48f4-bcdf-62f44a727a91",True,1,1,2,False,132,202,2,138,203,1,1,1122,,2021-10-02 18:22:30.690,2021-10-02 18:22:30.690,1
154,1,"c33204cb-72af-4381-933a-ebbf4235a39b",True,1,1,2,False,144,223,2,147,224,1,1,1124,,2021-10-02 18:22:30.776,2021-10-02 18:22:30.776,1
3418,1,"791b33a4-dfbb-4703-aac7-20739724cc25",True,1,1,1,False,12,159,2,117,169,1,1,3425,,2021-10-02 18:22:32.730,2021-10-02 18:22:32.730,1
3419,1,"467a2f0e-a31a-40a4-8224-5be67d2e0847",True,1,1,1,False,123,174,2,12,156,1,1,3427,,2021-10-02 18:22:32.763,2021-10-02 18:22:32.763,1
3420,1,"b12aa744-e862-450a-ae17-6a71c5638797",True,1,1,1,False,12,157,2,129,185,1,1,3429,,2021-10-02 18:22:32.713,2021-10-02 18:22:32.713,1
3421,1,"4d6ff74f-c8ff-49ba-b60e-5704fa529daf",True,1,2,1,False,12,168,2,141,213,1,1,3431,,2021-10-10 09:22:15.140,2021-10-02 18:22:32.653,1
3422,1,"923da921-78f1-4317-9e0d-fa265f2781e4",True,1,1,1,False,12,155,2,132,188,1,1,3433,,2021-10-02 18:22:32.710,2021-10-02 18:22:32.710,1
3423,1,"d370f59c-8bac-4ad8-b1ca-2f41a241ceab",True,1,1,1,False,123,175,2,120,172,1,1,3435,,2021-10-02 18:22:32.680,2021-10-02 18:22:32.680,1
3424,1,"8e14b8f4-aeaa-43de-bf75-65ad43c938c0",True,1,1,1,False,132,189,2,144,218,1,1,3437,,2021-10-02 18:22:32.746,2021-10-02 18:22:32.746,1
