Order Number,SO - 0001878,SO - 0001970,SO - 0004258,SO - 0007884,SO - 0009947,SO - 0002295,SO - 0004085,SO - 0005556,SO - 0009263,SO - 0002591,SO - 0002549,SO - 0009598,SO - 0007606,SO - 0006503,SO - 0005413,SO - 0006260,SO - 0008661,SO - 0006821,SO - 0009674,SO - 0003251,SO - 0009328,SO - 0001756,SO - 0009848,SO - 0002077,SO - 0003891,SO - 0009608,SO - 0006531,SO - 0006094,SO - 000687,SO - 0009408,SO - 0004668,SO - 0009839,SO - 0010302,SO - 0005025,SO - 0005640,SO - 0007424,SO - 0010135,SO - 0006283,SO - 000242,SO - 0002939,SO - 000239,SO - 0006319,SO - 0008692,SO - 0009050,SO - 0007999,SO - 0007629,SO - 0008436,SO - 0001123,SO - 0003768,SO - 0004489,SO - 0008582,SO - 0002280,SO - 0003434,SO - 0006898,SO - 0001115,SO - 0009404,SO - 0007970,SO - 0006679,SO - 0007169,SO - 0003174,SO - 0002243,SO - 0005677,SO - 000893,SO - 0002641,SO - 0003739,SO - 0008454,SO - 0007416,SO - 0008485,SO - 0008717,SO - 0002697,SO - 0009272,SO - 0003349,SO - 0002159,SO - 000897,SO - 0001754,SO - 0007871,SO - 000773,SO - 0007780,SO - 000852,SO - 000378,SO - 0005686,SO - 0004246,SO - 0010506,SO - 0005645,SO - 0010134,SO - 0001193,SO - 0006517,SO - 0008272,SO - 0003133,SO - 0001176,SO - 0002987,SO - 0008635,SO - 0003966,SO - 0008631,SO - 0005845,SO - 0006754,SO - 0009783,SO - 0003281,SO - 0003917,SO - 0007071
Order Date,2017-12-14 00:00:00.000,2016-05-17 00:00:00.000,2016-08-12 00:00:00.000,2016-12-23 00:00:00.000,2017-09-09 00:00:00.000,2015-06-02 00:00:00.000,2015-10-03 00:00:00.000,2018-03-31 00:00:00.000,2017-02-23 00:00:00.000,2015-12-31 00:00:00.000,2017-06-27 00:00:00.000,2017-05-11 00:00:00.000,2018-03-16 00:00:00.000,2016-03-12 00:00:00.000,2015-09-15 00:00:00.000,2017-11-09 00:00:00.000,2016-04-01 00:00:00.000,2017-09-24 00:00:00.000,2016-08-31 00:00:00.000,2016-06-15 00:00:00.000,2017-09-21 00:00:00.000,2017-02-23 00:00:00.000,2015-08-14 00:00:00.000,2017-05-15 00:00:00.000,2018-04-12 00:00:00.000,2017-10-18 00:00:00.000,2015-09-28 00:00:00.000,2016-06-16 00:00:00.000,2015-11-26 00:00:00.000,2016-05-14 00:00:00.000,2018-06-29 00:00:00.000,2015-02-14 00:00:00.000,2015-03-30 00:00:00.000,2018-05-08 00:00:00.000,2017-02-10 00:00:00.000,2015-02-25 00:00:00.000,2015-02-25 00:00:00.000,2016-04-07 00:00:00.000,2016-09-05 00:00:00.000,2015-07-02 00:00:00.000,2015-04-30 00:00:00.000,2018-04-30 00:00:00.000,2015-11-16 00:00:00.000,2015-09-25 00:00:00.000,2016-02-10 00:00:00.000,2016-10-02 00:00:00.000,2015-02-08 00:00:00.000,2018-08-04 00:00:00.000,2017-01-07 00:00:00.000,2017-11-07 00:00:00.000,2016-08-25 00:00:00.000,2015-03-28 00:00:00.000,2016-09-30 00:00:00.000,2015-10-28 00:00:00.000,2017-10-16 00:00:00.000,2015-05-31 00:00:00.000,2016-04-19 00:00:00.000,2016-08-26 00:00:00.000,2018-05-07 00:00:00.000,2017-08-03 00:00:00.000,2018-08-05 00:00:00.000,2017-05-19 00:00:00.000,2015-01-18 00:00:00.000,2016-04-03 00:00:00.000,2017-12-24 00:00:00.000,2016-07-23 00:00:00.000,2017-08-13 00:00:00.000,2016-08-05 00:00:00.000,2016-11-16 00:00:00.000,2018-03-10 00:00:00.000,2015-02-18 00:00:00.000,2018-06-20 00:00:00.000,2016-09-19 00:00:00.000,2015-02-09 00:00:00.000,2015-03-06 00:00:00.000,2016-02-16 00:00:00.000,2015-12-09 00:00:00.000,2016-02-15 00:00:00.000,2018-07-26 00:00:00.000,2016-12-20 00:00:00.000,2017-02-05 00:00:00.000,2018-04-01 00:00:00.000,2018-07-21 00:00:00.000,2015-11-03 00:00:00.000,2018-01-08 00:00:00.000,2016-07-16 00:00:00.000,2016-05-24 00:00:00.000,2015-05-11 00:00:00.000,2015-10-18 00:00:00.000,2015-02-22 00:00:00.000,2017-05-19 00:00:00.000,2015-09-02 00:00:00.000,2016-03-25 00:00:00.000,2018-02-18 00:00:00.000,2017-11-06 00:00:00.000,2018-08-01 00:00:00.000,2016-11-28 00:00:00.000,2016-12-02 00:00:00.000,2016-05-24 00:00:00.000,2018-04-14 00:00:00.000
Customer Name Index,1,17,26,8,166,128,136,173,135,26,24,50,4,133,154,65,118,16,79,59,140,128,45,6,156,23,35,94,35,22,124,86,162,137,109,143,123,101,100,68,124,77,154,20,5,18,141,27,102,4,98,98,173,40,50,10,35,14,156,51,158,70,149,57,1,166,171,152,104,28,114,147,147,63,3,33,99,51,146,130,106,93,154,78,82,24,171,61,58,114,3,108,69,120,160,129,75,118,103,134
Channel,Distributor,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Distributor,Wholesale,Distributor,Wholesale,Wholesale,Distributor,Wholesale,Export,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Export,Distributor,Distributor,Distributor,Distributor,Distributor,Wholesale,Wholesale,Distributor,Wholesale,Export,Distributor,Wholesale,Distributor,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Export,Wholesale,Distributor,Distributor,Distributor,Distributor,Distributor,Distributor,Distributor,Export,Wholesale,Distributor,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Export,Wholesale,Wholesale,Distributor,Distributor,Distributor,Distributor,Wholesale,Wholesale,Distributor,Distributor,Wholesale,Wholesale,Wholesale,Distributor,Export,Distributor,Distributor,Distributor,Wholesale,Distributor,Wholesale,Wholesale,Wholesale,Wholesale,Distributor,Distributor,Export,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Distributor,Wholesale,Export,Wholesale,Distributor,Wholesale,Wholesale,Distributor,Wholesale,Export,Export
Currency Code,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
Warehouse Code,NXH382,AXW291,AXW291,GUT930,AXW291,AXW291,AXW291,NXH382,AXW291,AXW291,GUT930,AXW291,NXH382,AXW291,AXW291,NXH382,GUT930,NXH382,AXW291,AXW291,FLR025,GUT930,FLR025,GUT930,FLR025,AXW291,AXW291,AXW291,AXW291,FLR025,FLR025,FLR025,AXW291,FLR025,GUT930,AXW291,NXH382,AXW291,AXW291,AXW291,AXW291,FLR025,GUT930,AXW291,AXW291,GUT930,NXH382,FLR025,GUT930,NXH382,NXH382,AXW291,GUT930,AXW291,NXH382,AXW291,AXW291,AXW291,FLR025,NXH382,FLR025,GUT930,AXW291,AXW291,NXH382,AXW291,NXH382,NXH382,NXH382,NXH382,NXH382,FLR025,GUT930,AXW291,AXW291,AXW291,AXW291,AXW291,FLR025,GUT930,GUT930,NXH382,AXW291,AXW291,GUT930,AXW291,AXW291,FLR025,AXW291,AXW291,GUT930,FLR025,AXW291,FLR025,NXH382,FLR025,FLR025,GUT930,AXW291,FLR025
Delivery Region Index,80,36,21,29,41,7,84,40,45,16,39,22,70,74,65,16,20,65,21,29,1,66,77,10,2,49,14,83,5,61,7,25,41,4,52,9,8,21,44,8,31,15,8,64,59,75,22,69,76,24,80,37,24,59,37,61,9,50,84,85,26,23,35,71,19,30,77,49,61,60,75,69,50,69,51,20,73,60,4,19,26,62,3,11,4,76,13,45,13,30,39,50,79,13,41,48,65,70,55,14
Product Description Index,28,7,19,20,13,16,25,13,2,4,26,6,4,13,6,25,25,3,5,5,26,20,25,4,26,15,2,30,29,17,15,17,15,25,25,23,4,28,17,4,9,14,26,30,14,13,14,18,26,4,26,26,2,26,10,25,11,23,26,15,26,4,18,15,2,5,23,3,5,4,3,20,13,27,26,1,5,13,4,13,12,25,5,26,26,25,25,16,26,19,13,25,25,1,24,14,25,1,26,25
Order Quantity,6,7,9,11,8,5,10,6,8,7,10,9,8,9,9,12,8,11,10,11,5,10,11,11,10,7,7,5,7,5,5,11,10,7,5,7,10,6,9,5,9,11,10,11,11,8,12,12,12,8,9,11,6,5,12,7,11,8,6,11,11,9,11,10,10,5,5,11,7,10,5,12,11,11,11,12,12,10,6,11,8,6,10,5,6,6,11,7,9,9,6,6,12,9,11,11,7,6,9,8
Unit Price,1835.8,5165.7,1976.5,6123.8,5326.5,2331.6,3886.0,2680.0,3999.9,1715.2,3872.6,1768.8,3966.4,716.9,3115.5,261.3,3517.5,2720.2000000000003,1058.6,1072.0,6009.9000000000015,1949.7,830.8,5427.0,5648.1,6217.6,1172.5,1199.3,1139.0,241.2,2003.3,1051.9,167.5,201.0,1125.6,730.3,777.2,1688.4,3946.3,1045.2,1219.4,2586.2000000000003,1721.9,5808.9000000000015,777.2,1279.7,1755.4,3932.9,1018.4,2405.3,2351.7000000000003,3959.7,1065.3,5212.6,3993.2,1031.8,3993.2,1929.6,1118.9,6150.6,3363.4,5587.8,6103.7,2613.0,167.5,3584.5,3953.0,227.8,810.7,710.2,5902.7,2814.0,1005.0,3008.3,1159.1,1058.6,3055.2000000000003,3966.4,3564.4,924.6,3819.0,1943.0,5266.2,1132.3,2619.7000000000003,1072.0,227.8,5540.9000000000015,3946.3,234.5,710.2,194.3,6478.9000000000015,2291.4,2412.0,3102.1,1018.4,5775.4000000000015,737.0,897.8
Revenue,11014.8,36159.9,17788.5,67361.8,42612.0,11658.0,38860.0,16080.0,31999.2,12006.4,38726.0,15919.2,31731.2,6452.1,28039.5,3135.6000000000004,28140.0,29922.200000000004,10586.000000000002,11792.0,30049.500000000004,19497.0,9138.8,59697.0,56481.0,43523.2,8207.5,5996.5,7973.0,1206.0,10016.5,11570.9,1675.0,1407.0,5628.000000000001,5112.1,7772.0,10130.4,35516.700000000004,5226.0,10974.6,28448.200000000004,17219.0,63897.90000000001,8549.2,10237.6,21064.800000000003,47194.8,12220.8,19242.4,21165.300000000003,43556.7,6391.799999999999,26063.0,47918.4,7222.5999999999985,43925.2,15436.8,6713.4000000000015,67656.6,36997.4,50290.2,67140.7,26130.0,1675.0,17922.5,19765.0,2505.8,5674.9000000000015,7102.0,29513.5,33768.0,11055.0,33091.3,12750.100000000002,12703.2,36662.4,39664.0,21386.4,10170.6,30552.0,11658.0,52662.0,5661.5,15718.2,6432.0,2505.8,38786.3,35516.700000000004,2110.5,4261.200000000001,1165.8000000000002,77746.8,20622.6,26532.0,34123.1,7128.8,34652.4,6633.0,7182.4000000000015
