Index,Product Name,Total Sales
1,"Product 1",9325381.5999999922
2,"Product 2",9566849.6
3,"Product 3",8627469.39999999
4,"Product 4",9450256.200000003
5,"Product 5",11800730.09999999
6,"Product 6",6691524.4999999944
7,"Product 7",2843044.4999999995
8,"Product 8",3308446.6000000029
9,"Product 9",2433104.9999999995
10,"Product 10",2946043.5999999982
11,"Product 11",3720737.8
12,"Product 12",4028864.1000000015
13,"Product 13",13046896.6
14,"Product 14",12565066.100000003
15,"Product 15",11221937.199999994
16,"Product 16",6241090.2
17,"Product 17",6765740.3999999957
18,"Product 18",7704825.8000000007
19,"Product 19",5741029.0000000037
20,"Product 20",6607526.6000000006
21,"Product 21",3207812.6000000006
22,"Product 22",2606367.0000000005
23,"Product 23",3142809.1999999983
24,"Product 24",2425842.2000000011
25,"Product 25",18245661.100000005
26,"Product 26",19548636.900000013
27,"Product 27",3062965.299999998
28,"Product 28",3470573.2000000007
29,"Product 29",2551835.700000002
30,"Product 30",3098361.399999999
