Facility_ID,Facility_Name,Location_City,Location_State,Location_Zip_Code,Location_County,State_ID
"450002","THE HOSPITALS OF PROVIDENCE - MEMORIAL CAMPUS","EL PASO","TX","79902","EL PASO",48
"450007","PETERSON REGIONAL MEDICAL CENTER","KERRVILLE","TX","78028","KERR",48
"450010","UNITED REGIONAL HEALTH CARE SYSTEM","WICHITA FALLS","TX","76301","WICHITA",48
"450011","ST JOSEPH REGIONAL HEALTH CENTER","BRYAN","TX","77802","BRAZOS",48
"450015","PARKLAND HEALTH & HOSPITAL SYSTEM","DALLAS","TX","75235","DALLAS",48
"450018","UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON","GALVESTON","TX","77555","GALVESTON",48
"450021","BAYLOR UNIVERSITY MEDICAL CENTER","DALLAS","TX","75246","DALLAS",48
"450023","CITIZENS MEDICAL CENTER","VICTORIA","TX","77901","VICTORIA",48
"450024","UNIVERSITY MEDICAL CENTER OF EL PASO","EL PASO","TX","79905","EL PASO",48
"450028","VALLEY BAPTIST MEDICAL CENTER- BROWNSVILLE","BROWNSVILLE","TX","78520","CAMERON",48
"450029","LAREDO MEDICAL CENTER","LAREDO","TX","78044","WEBB",48
"450032","CHRISTUS GOOD SHEPHERD MEDICAL CENTER","LONGVIEW","TX","75601","GREGG",48
"450033","VHS HARLINGEN HOSPITAL COMPANY LLC","HARLINGEN","TX","78550","CAMERON",48
"450034","CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH","BEAUMONT","TX","77702","JEFFERSON",48
"450035","ST JOSEPH MEDICAL CENTER","HOUSTON","TX","77002","HARRIS",48
"450039","JPS HEALTH NETWORK","FORT WORTH","TX","76104","TARRANT",48
"450040","COVENANT MEDICAL CENTER","LUBBOCK","TX","79410","LUBBOCK",48
"450042","PROVIDENCE HEALTH CENTER","WACO","TX","76712","MC LENNAN",48
"450044","UT SOUTHWESTERN UNIVERSITY HOSPITAL - WILLIAM P. CLEMENTS JR.","DALLAS","TX","75390","DALLAS",48
"450046","CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI","CORPUS CHRISTI","TX","78404","NUECES",48
"450051","METHODIST DALLAS MEDICAL CENTER","DALLAS","TX","75203","DALLAS",48
"450054","BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE","TEMPLE","TX","76508","BELL",48
"450055","ROLLING PLAINS MEMORIAL HOSPITAL","SWEETWATER","TX","79556","NOLAN",48
"450056","ASCENSION SETON MEDICAL CENTER AUSTIN","AUSTIN","TX","78705","TRAVIS",48
"450058","BAPTIST MEDICAL CENTER","SAN ANTONIO","TX","78205","BEXAR",48
