DowntimeID,LineID,TeamID,ShiftID,Date,DowntimeName,DowntimeType,Downtime (sec)
305,3,2,"NULL",2018-06-18 00:00:00.000,"NULL","NULL",255
49,2,2,"NULL",2018-06-18 00:00:00.000,"NULL","NULL",232
279,3,2,"NULL",2018-06-18 00:00:00.000,"NULL","NULL",343
282,2,1,"NULL",2018-06-18 00:00:00.000,"NULL","NULL",146
283,1,1,"NULL",2018-06-18 00:00:00.000,"NULL","NULL",98
192,1,3,"NULL",2018-06-18 00:00:00.000,"NULL","NULL",85
193,1,3,"NULL",2018-06-18 00:00:00.000,"NULL","NULL",99
194,1,3,"NULL",2018-06-18 00:00:00.000,"NULL","NULL",65
352,2,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",113
353,3,1,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",146
315,3,1,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",29
1884,1,3,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",30
1885,1,3,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",150
201,2,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",268
1887,1,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",177
1886,2,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",92
316,3,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",403
1888,1,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",1773
1889,2,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",56
202,2,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",286
203,1,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",95
204,3,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",243
483,3,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",117
484,3,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",378
485,2,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",59
1890,3,2,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",70
1891,1,1,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",143
128,1,1,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",187
213,2,1,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",94
1858,2,1,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",144
495,3,3,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",334
1859,2,1,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",179
365,2,3,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",101
366,1,3,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",120
214,1,3,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",73
215,3,1,"NULL",2018-06-19 00:00:00.000,"NULL","NULL",144
216,2,3,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",22
367,2,3,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",116
134,1,3,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",166
231,3,2,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",164
135,2,2,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",118
53,1,2,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",171
54,2,2,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",162
320,2,2,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",54
321,1,2,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",203
56,3,3,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",476
57,3,3,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",108
234,1,1,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",159
370,2,1,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",139
9,1,1,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",124
373,1,1,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",317
167,2,1,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",210
168,1,1,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",42
169,1,1,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",16
375,2,3,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",63
177,1,3,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",105
13,1,3,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",25
178,1,3,"NULL",2018-06-20 00:00:00.000,"NULL","NULL",158
179,1,3,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",133
180,1,3,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",76
481,1,3,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",137
17,3,1,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",116
18,1,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",74
286,1,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",454
336,1,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",88
536,1,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",106
21,3,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",710
337,1,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",78
338,1,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",220
339,2,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",248
537,1,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",72
23,1,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",124
341,1,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",124
538,3,2,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",277
584,3,3,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",261
585,3,3,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",139
586,2,1,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",93
31,1,1,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",97
540,3,3,"NULL",2018-06-21 00:00:00.000,"NULL","NULL",126
541,1,3,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",142
64,1,3,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",106
272,1,3,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",107
72,2,3,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",93
273,2,3,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",75
73,2,3,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",83
74,2,3,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",22
274,1,2,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",86
589,3,2,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",140
38,1,2,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",114
590,1,2,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",177
39,1,2,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",88
275,1,2,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",85
276,3,2,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",143
277,1,2,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",149
591,2,2,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",93
40,2,2,"NULL",2018-06-22 00:00:00.000,"NULL","NULL",44
1924,2,2,"NULL",2018-06-18 00:00:00.000,"Performance","P",139
50,3,2,"NULL",2018-06-18 00:00:00.000,"Performance","P",100
278,2,2,"NULL",2018-06-18 00:00:00.000,"Performance","P",76
118,3,2,"NULL",2018-06-18 00:00:00.000,"Availability","A",152
119,3,2,"NULL",2018-06-18 00:00:00.000,"Performance","P",32
412,2,2,"NULL",2018-06-18 00:00:00.000,"Performance","P",140
400,2,1,"NULL",2018-06-18 00:00:00.000,"Performance","P",67
413,2,1,"NULL",2018-06-18 00:00:00.000,"Performance","P",74
280,3,3,"NULL",2018-06-18 00:00:00.000,"Performance","P",200
1113,3,3,"NULL",2018-06-18 00:00:00.000,"Performance","P",138
416,3,3,"NULL",2018-06-18 00:00:00.000,"Performance","P",205
1817,1,1,"NULL",2018-06-18 00:00:00.000,"Availability","A",90
200,1,3,"NULL",2018-06-19 00:00:00.000,"Availability","A",106
205,3,2,"NULL",2018-06-19 00:00:00.000,"Performance","P",222
110,3,2,"NULL",2018-06-19 00:00:00.000,"Availability","A",149
486,2,1,"NULL",2018-06-19 00:00:00.000,"Performance","P",133
417,2,1,"NULL",2018-06-19 00:00:00.000,"Availability","A",73
206,2,1,"NULL",2018-06-19 00:00:00.000,"Performance","P",101
488,1,1,"NULL",2018-06-19 00:00:00.000,"Performance","P",48
487,1,1,"NULL",2018-06-19 00:00:00.000,"Performance","P",106
489,2,1,"NULL",2018-06-19 00:00:00.000,"Performance","P",215
1857,1,1,"NULL",2018-06-19 00:00:00.000,"Performance","P",147
490,3,3,"NULL",2018-06-19 00:00:00.000,"Performance","P",140
491,3,3,"NULL",2018-06-19 00:00:00.000,"Performance","P",96
113,3,3,"NULL",2018-06-19 00:00:00.000,"Availability","A",112
114,3,3,"NULL",2018-06-19 00:00:00.000,"Availability","A",109
1860,2,1,"NULL",2018-06-19 00:00:00.000,"Performance","P",56
1850,3,3,"NULL",2018-06-19 00:00:00.000,"Availability","A",272
1861,1,3,"NULL",2018-06-19 00:00:00.000,"Availability","A",121
1862,2,3,"NULL",2018-06-19 00:00:00.000,"Availability","A",300
115,1,3,"NULL",2018-06-19 00:00:00.000,"Availability","A",875
116,2,3,"NULL",2018-06-20 00:00:00.000,"Availability","A",81
1851,2,3,"NULL",2018-06-20 00:00:00.000,"Performance","P",64
1852,2,3,"NULL",2018-06-20 00:00:00.000,"Performance","P",528
429,3,1,"NULL",2018-06-20 00:00:00.000,"Availability","A",134
437,1,3,"NULL",2018-06-20 00:00:00.000,"Performance","P",232
136,3,2,"NULL",2018-06-20 00:00:00.000,"Performance","P",33
386,3,2,"NULL",2018-06-20 00:00:00.000,"Performance","P",97
391,1,2,"NULL",2018-06-20 00:00:00.000,"Performance","P",125
392,2,2,"NULL",2018-06-20 00:00:00.000,"Performance","P",171
232,2,2,"NULL",2018-06-20 00:00:00.000,"Performance","P",117
318,1,2,"NULL",2018-06-20 00:00:00.000,"Performance","P",147
233,1,2,"NULL",2018-06-20 00:00:00.000,"Availability","A",97
319,1,2,"NULL",2018-06-20 00:00:00.000,"Performance","P",152
387,3,3,"NULL",2018-06-20 00:00:00.000,"Availability","A",218
388,1,1,"NULL",2018-06-20 00:00:00.000,"Availability","A",114
394,2,1,"NULL",2018-06-20 00:00:00.000,"Availability","A",166
1119,1,1,"NULL",2018-06-20 00:00:00.000,"Performance","P",849
58,3,3,"NULL",2018-06-20 00:00:00.000,"Availability","A",97
389,1,1,"NULL",2018-06-20 00:00:00.000,"Availability","A",170
269,3,3,"NULL",2018-06-20 00:00:00.000,"Availability","A",526
371,3,3,"NULL",2018-06-20 00:00:00.000,"Availability","A",219
10,1,1,"NULL",2018-06-20 00:00:00.000,"Availability","A",159
270,1,1,"NULL",2018-06-20 00:00:00.000,"Performance","P",49
166,1,1,"NULL",2018-06-20 00:00:00.000,"Availability","A",156
372,2,1,"NULL",2018-06-20 00:00:00.000,"Performance","P",106
63,1,1,"NULL",2018-06-20 00:00:00.000,"Availability","A",73
456,1,1,"NULL",2018-06-20 00:00:00.000,"Availability","A",209
374,2,1,"NULL",2018-06-20 00:00:00.000,"Performance","P",3
176,2,3,"NULL",2018-06-20 00:00:00.000,"Performance","P",75
918,3,1,"NULL",2018-06-21 00:00:00.000,"Performance","P",151
446,3,1,"NULL",2018-06-21 00:00:00.000,"Performance","P",113
447,1,3,"NULL",2018-06-21 00:00:00.000,"Performance","P",72
448,1,3,"NULL",2018-06-21 00:00:00.000,"Performance","P",172
914,1,3,"NULL",2018-06-21 00:00:00.000,"Availability","A",128
915,2,3,"NULL",2018-06-21 00:00:00.000,"Performance","P",481
534,3,2,"NULL",2018-06-21 00:00:00.000,"Availability","A",104
919,1,2,"NULL",2018-06-21 00:00:00.000,"Performance","P",58
287,3,2,"NULL",2018-06-21 00:00:00.000,"Availability","A",89
535,1,2,"NULL",2018-06-21 00:00:00.000,"Availability","A",32
91,1,2,"NULL",2018-06-21 00:00:00.000,"Performance","P",73
20,1,2,"NULL",2018-06-21 00:00:00.000,"Availability","A",146
390,1,2,"NULL",2018-06-21 00:00:00.000,"Performance","P",176
771,1,2,"NULL",2018-06-21 00:00:00.000,"Performance","P",35
461,1,2,"NULL",2018-06-21 00:00:00.000,"Performance","P",105
340,1,2,"NULL",2018-06-21 00:00:00.000,"Performance","P",62
22,2,2,"NULL",2018-06-21 00:00:00.000,"Availability","A",45
