date,Country,cases_total,cases_recovered,cases_fatal,cases_active,day,Population,GDP_per_Capita,health_exp_percgdp,Hosp_beds,PP,Haz,CF,OF,Column1
2020-03-16 00:00:00.000,"Russia",90,8,0,82,1,145934000,11585,5.32,7.1,0.561897844230954,-1.43408801239005E-08,0,0,"65659"
2020-03-17 00:00:00.000,"Russia",114,8,0,106,2,145934000,11585,5.32,7.1,0.726355749859526,1.644579056287E-13,0,0,"65660"
2020-03-18 00:00:00.000,"Russia",147,8,0,139,3,145934000,11585,5.32,7.1,0.952485370098812,2.26129620239514E-13,0,0,"65661"
2020-03-19 00:00:00.000,"Russia",199,9,1,189,4,145934000,11585,5.32,7.1,1.295106006825,3.56325462195725E-13,0.0050251256281407,0.1,"65662"
2020-03-20 00:00:00.000,"Russia",253,9,1,243,5,145934000,11585,5.32,7.1,1.66513629448929,3.70030287664928E-13,0.00395256916996047,0.1,"65663"
2020-03-21 00:00:00.000,"Russia",306,12,1,293,6,145934000,11585,5.32,7.1,2.00775693121548,3.63177874930524E-13,0.00326797385620915,0.0769230769230769,"65664"
2020-03-22 00:00:00.000,"Russia",367,16,1,350,7,145934000,11585,5.32,7.1,2.39834445708334,4.17997176807005E-13,0.00272479564032698,0.0588235294117647,"65665"
2020-03-23 00:00:00.000,"Russia",438,16,1,421,8,145934000,11585,5.32,7.1,2.88486576123453,4.86521304152652E-13,0.00228310502283105,0.0588235294117647,"65666"
2020-03-24 00:00:00.000,"Russia",495,22,1,472,9,145934000,11585,5.32,7.1,3.23433881069525,3.90587525869183E-13,0.00202020202020202,0.0434782608695652,"65667"
2020-03-25 00:00:00.000,"Russia",658,29,3,626,10,145934000,11585,5.32,7.1,4.28961037181192,1.11694327573242E-12,0.00455927051671732,0.09375,"65668"
2020-03-26 00:00:00.000,"Russia",840,38,3,799,11,145934000,11585,5.32,7.1,5.47507777488454,1.24713911769051E-12,0.00357142857142857,0.0731707317073171,"65669"
2020-03-27 00:00:00.000,"Russia",1036,45,4,987,12,145934000,11585,5.32,7.1,6.76333136897502,1.3430728959762E-12,0.00386100386100386,0.0816326530612245,"65670"
2020-03-28 00:00:00.000,"Russia",1264,49,4,1211,13,145934000,11585,5.32,7.1,8.29827182150835,1.56235010348496E-12,0.00316455696202532,0.0754716981132075,"65671"
2020-03-29 00:00:00.000,"Russia",1534,64,8,1462,14,145934000,11585,5.32,7.1,10.0182274178738,1.85015143834088E-12,0.00521512385919166,0.111111111111111,"65672"
2020-03-30 00:00:00.000,"Russia",1836,66,9,1761,15,145934000,11585,5.32,7.1,12.0670988254965,2.06942864585223E-12,0.00490196078431373,0.12,"65673"
2020-03-31 00:00:00.000,"Russia",2337,121,17,2199,16,145934000,11585,5.32,7.1,15.0684556032179,3.43305878005141E-12,0.00727428326914848,0.123188405797101,"65674"
2020-04-01 00:00:00.000,"Russia",2777,190,24,2563,17,145934000,11585,5.32,7.1,17.5627338385846,3.01506160324786E-12,0.00864241987756572,0.11214953271028,"65675"
2020-04-02 00:00:00.000,"Russia",3548,235,30,3283,18,145934000,11585,5.32,7.1,22.4964710074417,5.28321021844632E-12,0.0084554678692221,0.113207547169811,"65676"
2020-04-03 00:00:00.000,"Russia",4149,281,34,3834,19,145934000,11585,5.32,7.1,26.2721504241643,4.11830005356591E-12,0.00819474572186069,0.107936507936508,"65677"
2020-04-04 00:00:00.000,"Russia",4731,333,43,4355,20,145934000,11585,5.32,7.1,29.8422574588513,3.98810421162216E-12,0.00908898752906362,0.11436170212766,"65678"
2020-04-05 00:00:00.000,"Russia",5389,355,45,4989,21,145934000,11585,5.32,7.1,34.1866871325394,4.50888757948318E-12,0.00835034329189089,0.1125,"65679"
2020-04-06 00:00:00.000,"Russia",6343,406,47,5890,22,145934000,11585,5.32,7.1,40.3607110063453,6.53720174901987E-12,0.00740974302380577,0.103752759381898,"65680"
2020-04-07 00:00:00.000,"Russia",7497,494,58,6945,23,145934000,11585,5.32,7.1,47.590006441268,7.90768429604673E-12,0.00773642790449513,0.105072463768116,"65681"
2020-04-08 00:00:00.000,"Russia",8672,580,63,8029,24,145934000,11585,5.32,7.1,55.0180218454918,8.05158496354395E-12,0.00726476014760148,0.0979782270606532,"65682"
2020-04-09 00:00:00.000,"Russia",10131,698,76,9357,25,145934000,11585,5.32,7.1,64.1180259569394,9.99767018036432E-12,0.00750172737143421,0.0981912144702842,"65683"
2020-04-10 00:00:00.000,"Russia",11917,795,94,11028,26,145934000,11585,5.32,7.1,75.5684076363288,1.22384091448589E-11,0.00788789124779726,0.105736782902137,"65684"
