date,Country,cases_total,cases_recovered,cases_fatal,cases_active,day,infected,removed,N,GDP_per_Capita,health_exp_percgdp,Hosp_beds,PP,susceptible
2020-03-16 00:00:00.000,"Russia",90,8,0,82,1,82,8,"145934000","11585","5.32","7.1","0.561897844230954","145933910"
2020-03-17 00:00:00.000,"Russia",114,8,0,106,2,106,8,"145934000","11585","5.32","7.1","0.726355749859526","145933886"
2020-03-18 00:00:00.000,"Russia",147,8,0,139,3,139,8,"145934000","11585","5.32","7.1","0.952485370098812","145933853"
2020-03-19 00:00:00.000,"Russia",199,9,1,189,4,189,10,"145934000","11585","5.32","7.1","1.295106006825","145933801"
2020-03-20 00:00:00.000,"Russia",253,9,1,243,5,243,10,"145934000","11585","5.32","7.1","1.66513629448929","145933747"
2020-03-21 00:00:00.000,"Russia",306,12,1,293,6,293,13,"145934000","11585","5.32","7.1","2.00775693121548","145933694"
2020-03-22 00:00:00.000,"Russia",367,16,1,350,7,350,17,"145934000","11585","5.32","7.1","2.39834445708334","145933633"
2020-03-23 00:00:00.000,"Russia",438,16,1,421,8,421,17,"145934000","11585","5.32","7.1","2.88486576123453","145933562"
2020-03-24 00:00:00.000,"Russia",495,22,1,472,9,472,23,"145934000","11585","5.32","7.1","3.23433881069525","145933505"
2020-03-25 00:00:00.000,"Russia",658,29,3,626,10,626,32,"145934000","11585","5.32","7.1","4.28961037181192","145933342"
2020-03-26 00:00:00.000,"Russia",840,38,3,799,11,799,41,"145934000","11585","5.32","7.1","5.47507777488454","145933160"
2020-03-27 00:00:00.000,"Russia",1036,45,4,987,12,987,49,"145934000","11585","5.32","7.1","6.76333136897502","145932964"
2020-03-28 00:00:00.000,"Russia",1264,49,4,1211,13,1211,53,"145934000","11585","5.32","7.1","8.29827182150835","145932736"
2020-03-29 00:00:00.000,"Russia",1534,64,8,1462,14,1462,72,"145934000","11585","5.32","7.1","10.0182274178738","145932466"
2020-03-30 00:00:00.000,"Russia",1836,66,9,1761,15,1761,75,"145934000","11585","5.32","7.1","12.0670988254965","145932164"
2020-03-31 00:00:00.000,"Russia",2337,121,17,2199,16,2199,138,"145934000","11585","5.32","7.1","15.0684556032179","145931663"
2020-04-01 00:00:00.000,"Russia",2777,190,24,2563,17,2563,214,"145934000","11585","5.32","7.1","17.5627338385846","145931223"
2020-04-02 00:00:00.000,"Russia",3548,235,30,3283,18,3283,265,"145934000","11585","5.32","7.1","22.4964710074417","145930452"
2020-04-03 00:00:00.000,"Russia",4149,281,34,3834,19,3834,315,"145934000","11585","5.32","7.1","26.2721504241643","145929851"
2020-04-04 00:00:00.000,"Russia",4731,333,43,4355,20,4355,376,"145934000","11585","5.32","7.1","29.8422574588513","145929269"
2020-04-05 00:00:00.000,"Russia",5389,355,45,4989,21,4989,400,"145934000","11585","5.32","7.1","34.1866871325394","145928611"
2020-04-06 00:00:00.000,"Russia",6343,406,47,5890,22,5890,453,"145934000","11585","5.32","7.1","40.3607110063453","145927657"
2020-04-07 00:00:00.000,"Russia",7497,494,58,6945,23,6945,552,"145934000","11585","5.32","7.1","47.590006441268","145926503"
2020-04-08 00:00:00.000,"Russia",8672,580,63,8029,24,8029,643,"145934000","11585","5.32","7.1","55.0180218454918","145925328"
2020-04-09 00:00:00.000,"Russia",10131,698,76,9357,25,9357,774,"145934000","11585","5.32","7.1","64.1180259569394","145923869"
2020-04-10 00:00:00.000,"Russia",11917,795,94,11028,26,11028,889,"145934000","11585","5.32","7.1","75.5684076363288","145922083"
2020-04-11 00:00:00.000,"Russia",13584,1045,106,12433,27,12433,1151,"145934000","11585","5.32","7.1","85.1960475283347","145920416"
2020-04-12 00:00:00.000,"Russia",15770,1291,130,14349,28,14349,1421,"145934000","11585","5.32","7.1","98.3252703276824","145918230"
