%player_id,%opponent_team_id,points,is_home,kickoff_time,team_h_score,team_a_score,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,player_price,transfers_balance,selected,transfers_in,transfers_out,%team_id,%team_code,%fixture_id,%fixture_code,event_name,difficulty,%event_id,goal involvement,played_game
292,2,1.0,False,2021-08-21 14:00:00.000,2.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.8,72.8,1.0,9.2,5.0,2072.0,24799.0,4593.0,2521.0,14,4.0,11,,,,2.0,0.0,1
385,7,,False,2022-05-07 14:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,18,,356,2210626.0,Gameweek 36,2.0,36.0,,0
144,5,5.0,False,2021-11-20 15:00:00.000,3.0,3.0,80.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,32.6,40.8,23.0,9.6,5.9,858326.0,1862397.0,870287.0,11961.0,7,31.0,112,,,,12.0,1.0,1
656,3,0.0,True,2022-01-16 14:00:00.000,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,43.0,475.0,87.0,44.0,11,14.0,214,,,,22.0,0.0,0
640,2,0.0,True,2022-01-02 14:00:00.000,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2158.0,27014.0,7611.0,5453.0,3,94.0,202,,,,21.0,0.0,0
121,16,,False,2022-04-09 14:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,6,,319,2210589.0,Gameweek 32,2.0,32.0,,0
676,13,,False,2022-02-26 15:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,18,,268,2210538.0,Gameweek 27,4.0,27.0,,0
571,5,,False,,,,,,,,,,,,,,,,,,,,,,,,,,8,,183,2210453.0,,2.0,,,0
340,2,,True,2022-04-23 14:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,9,,337,2210607.0,Gameweek 34,3.0,34.0,,0
355,2,0.0,True,2021-10-03 13:00:00.000,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-50.0,1791.0,0.0,50.0,17,6.0,68,,,,7.0,0.0,0
