Disease,Country,Year,cfr,Cases,Death
MERS-CoV,United Arab Emirates,2018,35.65926597,2207,787
Crimean-Congo haemorrhagic fever,Congo,2006,8.26446281,242,20
Avian,Pakistan,2008,14.28571429,7,1
Ebola,Philippines,1996,inf,0,2
Cholera,Zimbabwe,2009,65.09433962,79613,3731
Dengue,Malaysia,1996,1.600985222,812,13
Avian,Egypt,2011,34.66666667,156,54
Avian,Viet Nam,2008,49.05660377,106,52
Meningococcal disease,Angola,2001,3.626943005,193,7
Cholera,Djibouti,1997,3.506650544,827,29
Cholera,Guinea,2008,0.801204819,166,133
MERS-CoV,Oman,2015,37.57575758,1155,434
MERS-CoV,Thailand,2016,35.94611145,1633,587
Lassa fever,Liberia,2018,50.0,30,15
Dengue,Afghanistan,2019,7.142857143,14,1
Avian,Hong Kong,2004,0.736842105,19,14
SARS,China,2004,9.675,8000,774
Cholera,Iraq,2007,0.52,6749,14
West Nile,Canada,2002,2.380952381,84,2
Dengue,Brazil,2008,11.75438596,570,67
Measles,Brazil,2018,0.00201005,995,2
Avian,Thailand,2005,61.9047619,21,13
Legionellosis,Netherlands,1999,0.065,200,13
Cholera,Nigeria,1996,92.76190476,525,487
Rift Valley fever,Niger,2016,12.03007519,266,32
Avian,China,2008,66.66666667,30,20
Meningococcal disease,Philippines,2005,32.65306122,98,32
Acute respiratory syndrome,Congo,2002,12.5,4000,500
Cholera,Somalia,1997,inf,1535,247
Cholera,Sierra Leone,2012,38.04347826,18508,280
Yellow fever,Uganda,2016,23.33333333,30,7
Ebola,Guinea,2014,67.96116505,103,70
MERS-CoV,Oman,2016,36.03936039,1842,652
Avian,China,2005,17.5,80,14
Crimean-Congo haemorrhagic fever,Congo,1999,9.230769231,65,6
Meningococcal disease,Congo,2002,11.64613662,893,104
Avian,Thailand,2004,70.58823529,22,12
Ebola,Gabon,2002,81.66666667,60,49
Avian,China,2014,50.0,11,5
Avian,Indonesia,2007,81.03448276,116,94
Cholera,Sri Lanka,1998,0.083526682,431,36
Crimean-Congo haemorrhagic fever,Congo,2001,8.695652174,69,6
Plague,Zambia,2001,2.52293578,436,11
Ebola,Congo,2002,89.51048951,60,50
Acute haemorrhagic fever syndrome,Gabon,2002,6.451612903,31,2
MERS-CoV,Saudi Arabia,2016,36.23773803,1806,643
Yellow fever,Mali,2019,4.47761194,67,3
Yellow fever,Liberia,2004,20.51282051,39,8
MERS-CoV,Germany,2015,0.367915466,1041,383
Encephalitis,United States,1999,6.25,80,5
Yellow fever,Brazil,2019,35.10174419,1376,483
Ebola,Uganda,2000,11.0,426,165
Acute haemorrhagic fever syndrome,Congo,2002,5.0,40,2
Cholera,Zimbabwe,2008,5.728950447,26497,1518
Cholera,Chad,2001,3.176834411,3557,113
SARS,"Taiwan, China",2003,12.03438395,698,84
Yellow fever,Paraguay,2008,27.27272727,22,6
Avian,Indonesia,2008,81.75182482,139,113
Viral haemorrhagic fever,Congo,1999,67.74193548,93,63
Cholera,Comoros,1999,9.708737864,103,10
MERS-CoV,Thailand,2015,35.74561404,1368,489
Encephalitis,Mexico,1996,5.0,2,10
Avian,China,2017,20.0,304,36
Seoul virus,Canada,2017,0.181818182,11,2
Meningococcal disease,France,2000,2.010050251,199,4
Cholera,Haiti,2010,53.34190231,778,415
Ebola,Sudan,2004,23.33333333,30,7
Influenza,Mexico,2009,0.069086651,854,59
Ebola,Congo,2019,65.64685315,3351,2217
Monkeypox,Nigeria,2018,8.860759494,79,7
Yellow fever,Congo,2010,18.18181818,11,2
Influenza,China,2013,1.4,1000,14
Yellow fever,Mali,2005,8.695652174,23,2
Cholera,Liberia,2003,1.171875,1280,15
Avian,Cambodia,2011,84.62,53,11
Avian,Viet Nam,2012,49.59349593,123,61
Diphtheria,Afghanistan,2003,0.040540541,74,3
Acute neurological syndrome,Bangladesh,2001,32.14285714,28,9
Rift Valley fever,Yemen,2000,12.25114855,653,80
Cholera,Zimbabwe,1998,1.299907149,5385,70
Typhoid fever,Congo,2004,19.25287356,615,134
Yellow fever,Guinea,2009,14.28571429,21,3
Cholera,Mali,2003,8.717105263,1216,106
Rift Valley fever,Mauritania,2012,50.0,34,17
Plague,Zambia,1997,9.737827715,267,26
SARS,Philippines,2003,14.28571429,14,2
Avian,Viet Nam,2004,71.11111111,45,32
MERS-CoV,Iran,2015,0.379496403,1112,422
Meningococcal disease,Guinea,1999,3.87275242,2169,84
Yellow fever,Cameroon,2012,30.43478261,23,7
MERS-CoV,Oman,2018,34.98134328,2144,750
Microcephaly,Brazil,2015,1.197227473,1761,19
Avian,Cambodia,2012,90.0,20,18
Measles,Tunisia,2019,0.003649635,274,1
Avian,China,2007,64.0,27,17
SARS,Viet Nam,2003,7.936507937,63,5
Rift Valley fever,South Africa,1999,33.33333333,3,1
Influenza,Hong Kong,1998,33.33333333,18,6
Meningococcal disease,India,2005,0.603293657,6133,37
Yellow fever,Sierra Leone,2003,11.11111111,90,10
