Year,Country,Disease,CFR,Cases,Death,iso_alpha
1996-01-01 00:00:00.000,"Benin","Yellow fever",47.6744186,86,41,"BEN"
1996-01-01 00:00:00.000,"Gabon","Ebola",66.66666667,201,42,"GAB"
1996-01-01 00:00:00.000,"India","Dengue",38.06451613,930,354,"IND"
1996-01-01 00:00:00.000,"Nigeria","Cholera",92.76190476,525,487,"NGA"
1996-01-01 00:00:00.000,"Sierra Leone","Lassa fever",5.691056911,246,14,"SLE"
1997-01-01 00:00:00.000,"Bolivia","Yellow fever",33.33333333,30,10,"BTN"
1997-01-01 00:00:00.000,"Gabon","Ebola",22.3880597,61,45,"GAB"
1997-01-01 00:00:00.000,"Malaysia","Myocarditis",23.00884956,113,26,"MYS"
1997-01-01 00:00:00.000,"Nepal","Encephalitis",90.28340081,247,223,"NPL"
1997-01-01 00:00:00.000,"Zambia","Plague",9.737827715,267,26,"ZMB"
1998-01-01 00:00:00.000,"China","Enterovirus",20.29520295,271,55,"CIV"
1998-01-01 00:00:00.000,"France","Legionellosis",15.78947368,19,3,"FRA"
1998-01-01 00:00:00.000,"Kenya","Rift Valley fever",100,300,300,"KEN"
1998-01-01 00:00:00.000,"Malaysia","Dengue",0.255832992,19544,50,"MYS"
1998-01-01 00:00:00.000,"Zimbabwe","Cholera",1.299907149,5385,70,"ZWE"
1999-01-01 00:00:00.000,"Comoros","Cholera",9.708737864,103,10,"COM"
1999-01-01 00:00:00.000,"Congo","Acute haemorrhagic fever syndrome",92,50,46,"COG"
1999-01-01 00:00:00.000,"Congo","Viral haemorrhagic fever",67.74193548,93,63,"COG"
1999-01-01 00:00:00.000,"Malaysia","Encephalitis",34.39490446,157,54,"MYS"
1999-01-01 00:00:00.000,"South Africa","Rift Valley fever",33.33333333,3,1,"ZAF"
2000-01-01 00:00:00.000,"Afghanistan","Acute haemorrhagic fever syndrome",75,27,16,"AFG"
2000-01-01 00:00:00.000,"Saudi Arabia","Rift Valley fever",17.15575621,443,76,"SAU"
2000-01-01 00:00:00.000,"Sudan","Meningococcal disease",35.88342441,549,197,"SDN"
2000-01-01 00:00:00.000,"Uganda","Ebola",11,426,165,"UGA"
2001-01-01 00:00:00.000,"Bangladesh","Acute neurological syndrome",32.14285714,28,9,"BGD"
2001-01-01 00:00:00.000,"Brazil","Yellow fever",12.5,48,6,"BRA"
2001-01-01 00:00:00.000,"Congo","Ebola",83.33333333,29,20,"COG"
2001-01-01 00:00:00.000,"Gabon","Ebola",81.66666667,27,18,"GAB"
2001-01-01 00:00:00.000,"United States","Anthrax",21.73913043,23,5,"GBR"
2002-01-01 00:00:00.000,"Burkina Faso","Meningococcal disease",76.14991482,587,447,"BFA"
2002-01-01 00:00:00.000,"Congo","Ebola",89.51048951,60,50,"COG"
2002-01-01 00:00:00.000,"Gabon","Ebola",81.66666667,60,49,"GAB"
2002-01-01 00:00:00.000,"Madagascar","Influenza",83.04455446,808,671,"MDG"
2002-01-01 00:00:00.000,"United States","West Nile",21.91069574,963,211,"GBR"
2003-01-01 00:00:00.000,"Burkina Faso","Meningococcal disease",55.30612245,980,542,"BFA"
2003-01-01 00:00:00.000,"Canada","SARS",15.07936508,252,38,"CAN"
2003-01-01 00:00:00.000,"Congo","Acute haemorrhagic fever syndrome",72.13114754,61,44,"COG"
2003-01-01 00:00:00.000,"Congo","Ebola",89.51048951,143,128,"COG"
2003-01-01 00:00:00.000,"Hong Kong SAR, China","SARS",16.98005698,1755,298,"HKG"
2003-01-01 00:00:00.000,"Niger","Meningococcal disease",9.484435798,2056,195,"NER"
2003-01-01 00:00:00.000,"Philippines","SARS",14.28571429,14,2,"PHL"
2003-01-01 00:00:00.000,"Singapore","SARS",15.53398058,206,32,"SGP"
2003-01-01 00:00:00.000,"Taiwan","SARS",8.940518185,8221,735,"SYR"
2003-01-01 00:00:00.000,"Thailand","SARS",22.22222222,9,2,"THA"
2004-01-01 00:00:00.000,"China","Avian",66.66666667,21,14,"CHN"
2004-01-01 00:00:00.000,"China","SARS",9.675,8000,774,"CHN"
2004-01-01 00:00:00.000,"Congo","Ebola",61.70212766,35,25,"COG"
2004-01-01 00:00:00.000,"Congo","Typhoid fever",19.25287356,615,134,"COG"
2004-01-01 00:00:00.000,"Liberia","Yellow fever",20.51282051,39,8,"LBR"
2004-01-01 00:00:00.000,"Sudan","Ebola",23.33333333,30,7,"SDN"
2004-01-01 00:00:00.000,"Thailand","Avian",70.58823529,22,12,"THA"
2005-01-01 00:00:00.000,"Angola","Marburg haemorrhagic fever",84.39716312,423,357,"AGO"
2005-01-01 00:00:00.000,"Congo","Ebola",91.66666667,12,11,"COG"
2005-01-01 00:00:00.000,"Congo","Typhoid fever",19.25287356,696,0,"COG"
2005-01-01 00:00:00.000,"Mali","Yellow fever",8.695652174,23,2,"MLI"
2005-01-01 00:00:00.000,"Philippines","Meningococcal disease",32.65306122,98,32,"PHL"
2005-01-01 00:00:00.000,"Sudan","Yellow fever",25.30973451,565,143,"SDN"
2006-01-01 00:00:00.000,"Angola","Cholera",6.183849471,30612,1893,"AGO"
2006-01-01 00:00:00.000,"Azerbaijan","Avian",83.33333333,8,5,"AZE"
2006-01-01 00:00:00.000,"China","Avian",68.75,21,14,"CHN"
2006-01-01 00:00:00.000,"Egypt","Avian",46.66666667,15,7,"EGY"
2006-01-01 00:00:00.000,"Indonesia","Avian",77.77777778,74,57,"IDN"
2006-01-01 00:00:00.000,"Sudan","Cholera",3.820645905,13872,530,"SDN"
2006-01-01 00:00:00.000,"Uganda","Meningococcal disease",7.364341085,258,19,"UGA"
2007-01-01 00:00:00.000,"Egypt","Avian",44.18604651,41,16,"EGY"
2007-01-01 00:00:00.000,"Indonesia","Avian",81.03448276,116,94,"IDN"
2007-01-01 00:00:00.000,"Kenya","Rift Valley fever",29.44038929,411,121,"KEN"
2007-01-01 00:00:00.000,"Sudan","Rift Valley fever",36.9266055,601,211,"SDN"
2007-01-01 00:00:00.000,"Uganda","Ebola",17.20430108,93,16,"UGA"
2007-01-01 00:00:00.000,"Viet Nam","Avian",80,101,47,"VNM"
2008-01-01 00:00:00.000,"Brazil","Dengue",11.75438596,570,67,"BRA"
2008-01-01 00:00:00.000,"China","Avian",66.66666667,30,20,"CHN"
2008-01-01 00:00:00.000,"Egypt","Avian",45.09803922,51,23,"EGY"
2008-01-01 00:00:00.000,"Indonesia","Avian",81.75182482,139,113,"IDN"
2008-01-01 00:00:00.000,"Sudan","Rift Valley fever",31.80515759,698,222,"SDN"
2008-01-01 00:00:00.000,"Zimbabwe","Cholera",5.728950447,26497,1518,"ZWE"
2009-01-01 00:00:00.000,"Cambodia","Avian",77.78,9,7,"KHM"
2009-01-01 00:00:00.000,"China","Avian",65.78947368,38,25,"CHN"
2009-01-01 00:00:00.000,"Congo","Ebola",46.875,32,15,"COG"
2009-01-01 00:00:00.000,"Egypt","Avian",41.81818182,90,27,"EGY"
2009-01-01 00:00:00.000,"Indonesia","Avian",81.56028369,141,115,"IDN"
2009-01-01 00:00:00.000,"Viet Nam","Avian",50.89285714,112,57,"VNM"
2009-01-01 00:00:00.000,"Zimbabwe","Cholera",65.09433962,79613,3731,"ZWE"
2010-01-01 00:00:00.000,"Cambodia","Avian",80,10,8,"KHM"
2010-01-01 00:00:00.000,"China","Avian",66.66666667,39,26,"CHN"
2010-01-01 00:00:00.000,"Egypt","Avian",32.78688525,115,38,"EGY"
2010-01-01 00:00:00.000,"Haiti","Cholera",53.34190231,778,415,"HTI"
2010-01-01 00:00:00.000,"Indonesia","Avian",82.94117647,171,141,"IDN"
2010-01-01 00:00:00.000,"Viet Nam","Avian",50.42735043,119,59,"VNM"
2011-01-01 00:00:00.000,"Cambodia","Avian",84.62,53,11,"KHM"
2011-01-01 00:00:00.000,"Congo","Cholera",29.57589286,896,265,"COG"
2011-01-01 00:00:00.000,"Egypt","Avian",34.66666667,156,54,"EGY"
2011-01-01 00:00:00.000,"Indonesia","Avian",82.48587571,182,150,"IDN"
2011-01-01 00:00:00.000,"Senegal","Yellow fever",100,10,10,"SEN"
2012-01-01 00:00:00.000,"China","Avian",65.85365854,41,27,"CHN"
2012-01-01 00:00:00.000,"Congo","Ebola",48.07692308,52,25,"COG"
2012-01-01 00:00:00.000,"Ghana","Yellow fever",66.66666667,3,2,"GHA"
2012-01-01 00:00:00.000,"Indonesia","Avian",83.06878307,189,157,"IDN"
2012-01-01 00:00:00.000,"Sierra Leone","Cholera",38.04347826,18508,280,"SLE"
2012-01-01 00:00:00.000,"Uganda","Ebola",39.53488372,43,17,"UGA"
2013-01-01 00:00:00.000,"Cambodia","Avian",80,5,4,"KHM"
2013-01-01 00:00:00.000,"China","Avian",2.2,1000,22,"CHN"
2013-01-01 00:00:00.000,"China","Influenza",1.4,1000,14,"CHN"
2014-01-01 00:00:00.000,"Congo","Ebola",43.75,80,35,"COG"
2014-01-01 00:00:00.000,"Guinea","Ebola",67.96116505,103,70,"GIN"
2014-01-01 00:00:00.000,"Madagascar","Plague",33.61344538,119,40,"MDG"
2014-01-01 00:00:00.000,"Qatar","MERS-CoV",36.04519774,885,319,"QAT"
2014-01-01 00:00:00.000,"Saudi Arabia","MERS-CoV",36.02714374,941,347,"SAU"
2015-01-01 00:00:00.000,"China","Avian",60,83,19,"CHN"
2015-01-01 00:00:00.000,"Jordan","MERS-CoV",36.82539683,1594,568,"JOR"
2015-01-01 00:00:00.000,"Korea","MERS-CoV",35.8974359,3000,574,"KIR"
2015-01-01 00:00:00.000,"Oman","MERS-CoV",37.57575758,1155,434,"OMN"
2015-01-01 00:00:00.000,"Qatar","MERS-CoV",37.16981132,1150,427,"QAT"
2015-01-01 00:00:00.000,"Saudi Arabia","MERS-CoV",36.02714374,1621,584,"SAU"
2015-01-01 00:00:00.000,"Thailand","MERS-CoV",35.74561404,1368,489,"THA"
2015-01-01 00:00:00.000,"United Arab Emirates","MERS-CoV",36.74513818,1350,480,"ARE"
2016-01-01 00:00:00.000,"Angola","Yellow fever",10.99776857,3137,345,"AGO"
2016-01-01 00:00:00.000,"Benin","Lassa fever",51.85185185,71,28,"BEN"
2016-01-01 00:00:00.000,"China","Avian",57.14285714,806,11,"CHN"
2016-01-01 00:00:00.000,"Liberia","Lassa fever",23.68421053,38,9,"LBR"
2016-01-01 00:00:00.000,"Nigeria","Lassa fever",54.57875458,273,149,"NGA"
2016-01-01 00:00:00.000,"Saudi Arabia","MERS-CoV",36.23773803,1806,643,"SAU"
2016-01-01 00:00:00.000,"Thailand","MERS-CoV",35.94611145,1633,587,"THA"
2016-01-01 00:00:00.000,"United Arab Emirates","MERS-CoV",35.96813725,1762,629,"ARE"
2017-01-01 00:00:00.000,"Brazil","Yellow fever",20.79207921,1336,215,"BRA"
2017-01-01 00:00:00.000,"Kenya","Cholera",22.78056951,3967,136,"KEN"
2017-01-01 00:00:00.000,"Madagascar","Plague",41.93548387,1791,202,"MDG"
2017-01-01 00:00:00.000,"Nigeria","Lassa fever",56.73076923,104,59,"NGA"
2017-01-01 00:00:00.000,"Saudi Arabia","MERS-CoV",34.72823473,2079,722,"SAU"
2018-01-01 00:00:00.000,"Brazil","Yellow fever",32.78008299,723,237,"BRA"
2018-01-01 00:00:00.000,"Congo","Ebola",65.64685315,706,357,"COG"
2018-01-01 00:00:00.000,"India","Nipah virus",42.5,753,17,"IND"
2018-01-01 00:00:00.000,"Korea","MERS-CoV",35.48243664,2249,798,"KOR"
2018-01-01 00:00:00.000,"Liberia","Lassa fever",50,30,15,"LBR"
2018-01-01 00:00:00.000,"Somalia","Cholera",71.85368878,1613,1159,"SOM"
2019-01-01 00:00:00.000,"Afghanistan","Dengue",7.142857143,14,1,"AFG"
2019-01-01 00:00:00.000,"Brazil","Yellow fever",35.10174419,1376,483,"BRA"
2019-01-01 00:00:00.000,"Congo","Ebola",65.64685315,3351,2217,"COG"
2019-01-01 00:00:00.000,"Jamaica","Dengue",49.1862955,4670,2297,"JAM"
2019-01-01 00:00:00.000,"Nigeria","Lassa fever",22.01834862,327,72,"NGA"
2019-01-01 00:00:00.000,"Nigeria","Yellow fever",21.31147541,407708,26,"NGA"
2019-01-01 00:00:00.000,"Pakistan","Dengue",6.525891341,47120,3075,"PAK"
2019-01-01 00:00:00.000,"Sudan","Rift Valley fever",30.78982597,747,230,"SDN"
