date_Id,document_date,year,month,quarter,sem
20200701,2020-07-01 00:00:00.000,2020,7,"Quarter3",27
20200702,2020-07-02 00:00:00.000,2020,7,"Quarter3",27
20200703,2020-07-03 00:00:00.000,2020,7,"Quarter3",27
20200704,2020-07-04 00:00:00.000,2020,7,"Quarter3",27
20200705,2020-07-05 00:00:00.000,2020,7,"Quarter3",27
20200706,2020-07-06 00:00:00.000,2020,7,"Quarter3",28
20200707,2020-07-07 00:00:00.000,2020,7,"Quarter3",28
20200708,2020-07-08 00:00:00.000,2020,7,"Quarter3",28
20200709,2020-07-09 00:00:00.000,2020,7,"Quarter3",28
20200710,2020-07-10 00:00:00.000,2020,7,"Quarter3",28
20200711,2020-07-11 00:00:00.000,2020,7,"Quarter3",28
20200712,2020-07-12 00:00:00.000,2020,7,"Quarter3",28
20200713,2020-07-13 00:00:00.000,2020,7,"Quarter3",29
20200714,2020-07-14 00:00:00.000,2020,7,"Quarter3",29
20200715,2020-07-15 00:00:00.000,2020,7,"Quarter3",29
20200716,2020-07-16 00:00:00.000,2020,7,"Quarter3",29
20200717,2020-07-17 00:00:00.000,2020,7,"Quarter3",29
20200718,2020-07-18 00:00:00.000,2020,7,"Quarter3",29
20200719,2020-07-19 00:00:00.000,2020,7,"Quarter3",29
20200720,2020-07-20 00:00:00.000,2020,7,"Quarter3",30
20200721,2020-07-21 00:00:00.000,2020,7,"Quarter3",30
20200722,2020-07-22 00:00:00.000,2020,7,"Quarter3",30
20200723,2020-07-23 00:00:00.000,2020,7,"Quarter3",30
20200724,2020-07-24 00:00:00.000,2020,7,"Quarter3",30
20200725,2020-07-25 00:00:00.000,2020,7,"Quarter3",30
20200726,2020-07-26 00:00:00.000,2020,7,"Quarter3",30
20200727,2020-07-27 00:00:00.000,2020,7,"Quarter3",31
20200728,2020-07-28 00:00:00.000,2020,7,"Quarter3",31
20200729,2020-07-29 00:00:00.000,2020,7,"Quarter3",31
20200730,2020-07-30 00:00:00.000,2020,7,"Quarter3",31
20200731,2020-07-31 00:00:00.000,2020,7,"Quarter3",31
20200801,2020-08-01 00:00:00.000,2020,8,"Quarter3",31
20200802,2020-08-02 00:00:00.000,2020,8,"Quarter3",31
20200803,2020-08-03 00:00:00.000,2020,8,"Quarter3",32
20200804,2020-08-04 00:00:00.000,2020,8,"Quarter3",32
20200805,2020-08-05 00:00:00.000,2020,8,"Quarter3",32
20200806,2020-08-06 00:00:00.000,2020,8,"Quarter3",32
20200807,2020-08-07 00:00:00.000,2020,8,"Quarter3",32
20200808,2020-08-08 00:00:00.000,2020,8,"Quarter3",32
20200809,2020-08-09 00:00:00.000,2020,8,"Quarter3",32
20200810,2020-08-10 00:00:00.000,2020,8,"Quarter3",33
20200811,2020-08-11 00:00:00.000,2020,8,"Quarter3",33
20200812,2020-08-12 00:00:00.000,2020,8,"Quarter3",33
20200813,2020-08-13 00:00:00.000,2020,8,"Quarter3",33
20200814,2020-08-14 00:00:00.000,2020,8,"Quarter3",33
20200815,2020-08-15 00:00:00.000,2020,8,"Quarter3",33
20200816,2020-08-16 00:00:00.000,2020,8,"Quarter3",33
20200817,2020-08-17 00:00:00.000,2020,8,"Quarter3",34
20200818,2020-08-18 00:00:00.000,2020,8,"Quarter3",34
20200819,2020-08-19 00:00:00.000,2020,8,"Quarter3",34
20200820,2020-08-20 00:00:00.000,2020,8,"Quarter3",34
20200821,2020-08-21 00:00:00.000,2020,8,"Quarter3",34
20200822,2020-08-22 00:00:00.000,2020,8,"Quarter3",34
20200823,2020-08-23 00:00:00.000,2020,8,"Quarter3",34
20200824,2020-08-24 00:00:00.000,2020,8,"Quarter3",35
20200825,2020-08-25 00:00:00.000,2020,8,"Quarter3",35
20200826,2020-08-26 00:00:00.000,2020,8,"Quarter3",35
20200827,2020-08-27 00:00:00.000,2020,8,"Quarter3",35
20200828,2020-08-28 00:00:00.000,2020,8,"Quarter3",35
20200829,2020-08-29 00:00:00.000,2020,8,"Quarter3",35
20200830,2020-08-30 00:00:00.000,2020,8,"Quarter3",35
20200831,2020-08-31 00:00:00.000,2020,8,"Quarter3",36
20200901,2020-09-01 00:00:00.000,2020,9,"Quarter3",36
20200902,2020-09-02 00:00:00.000,2020,9,"Quarter3",36
20200903,2020-09-03 00:00:00.000,2020,9,"Quarter3",36
20200904,2020-09-04 00:00:00.000,2020,9,"Quarter3",36
20200905,2020-09-05 00:00:00.000,2020,9,"Quarter3",36
20200906,2020-09-06 00:00:00.000,2020,9,"Quarter3",36
20200907,2020-09-07 00:00:00.000,2020,9,"Quarter3",37
20200908,2020-09-08 00:00:00.000,2020,9,"Quarter3",37
20200909,2020-09-09 00:00:00.000,2020,9,"Quarter3",37
20200910,2020-09-10 00:00:00.000,2020,9,"Quarter3",37
20200911,2020-09-11 00:00:00.000,2020,9,"Quarter3",37
20200912,2020-09-12 00:00:00.000,2020,9,"Quarter3",37
20200913,2020-09-13 00:00:00.000,2020,9,"Quarter3",37
20200914,2020-09-14 00:00:00.000,2020,9,"Quarter3",38
20200915,2020-09-15 00:00:00.000,2020,9,"Quarter3",38
