Customer,Assesment Date,Distribution Date
C,2018-11-21 00:00:00.000,2018-03-14 00:00:00.000
B,2019-05-29 00:00:00.000,2019-11-01 00:00:00.000
B,2019-02-27 00:00:00.000,2018-08-02 00:00:00.000
A,2018-02-03 00:00:00.000,2018-02-16 00:00:00.000
A,2018-03-03 00:00:00.000,2018-03-31 00:00:00.000
A,2018-01-04 00:00:00.000,2019-07-21 00:00:00.000
B,2019-02-16 00:00:00.000,2018-02-04 00:00:00.000
A,2019-09-04 00:00:00.000,2018-01-13 00:00:00.000
A,2019-11-21 00:00:00.000,2018-12-23 00:00:00.000
A,2019-08-19 00:00:00.000,2019-06-23 00:00:00.000
B,2018-05-20 00:00:00.000,2018-03-02 00:00:00.000
C,2019-03-13 00:00:00.000,2019-01-10 00:00:00.000
A,2018-07-18 00:00:00.000,2019-03-17 00:00:00.000
A,2018-05-17 00:00:00.000,2019-12-02 00:00:00.000
C,2019-05-28 00:00:00.000,2019-03-20 00:00:00.000
A,2018-05-06 00:00:00.000,2018-08-20 00:00:00.000
C,2019-01-17 00:00:00.000,2019-01-24 00:00:00.000
C,2019-03-30 00:00:00.000,2018-05-02 00:00:00.000
A,2019-03-12 00:00:00.000,2018-03-06 00:00:00.000
B,2019-05-12 00:00:00.000,2019-04-13 00:00:00.000
A,2018-06-16 00:00:00.000,2019-02-12 00:00:00.000
A,2018-11-11 00:00:00.000,2018-10-09 00:00:00.000
B,2018-08-05 00:00:00.000,2018-07-04 00:00:00.000
C,2018-04-03 00:00:00.000,2018-12-25 00:00:00.000
A,2019-11-12 00:00:00.000,2019-11-08 00:00:00.000
C,2018-01-29 00:00:00.000,2019-10-07 00:00:00.000
A,2018-02-01 00:00:00.000,2018-04-18 00:00:00.000
A,2018-02-17 00:00:00.000,2019-02-21 00:00:00.000
C,2018-09-03 00:00:00.000,2018-07-28 00:00:00.000
A,2019-06-13 00:00:00.000,2018-02-23 00:00:00.000
A,2019-04-05 00:00:00.000,2018-07-06 00:00:00.000
A,2019-08-23 00:00:00.000,2019-04-10 00:00:00.000
B,2019-11-20 00:00:00.000,2018-07-23 00:00:00.000
C,2018-07-24 00:00:00.000,2019-05-23 00:00:00.000
C,2019-06-14 00:00:00.000,2018-08-03 00:00:00.000
C,2018-08-30 00:00:00.000,2018-02-14 00:00:00.000
A,2019-05-22 00:00:00.000,2019-04-04 00:00:00.000
B,2018-11-21 00:00:00.000,2018-10-08 00:00:00.000
A,2018-06-10 00:00:00.000,2018-03-18 00:00:00.000
C,2019-10-09 00:00:00.000,2019-06-04 00:00:00.000
C,2019-08-17 00:00:00.000,2019-10-06 00:00:00.000
B,2018-06-10 00:00:00.000,2019-08-23 00:00:00.000
B,2019-01-03 00:00:00.000,2019-06-24 00:00:00.000
C,2018-07-04 00:00:00.000,2018-07-14 00:00:00.000
A,2019-08-12 00:00:00.000,2019-06-19 00:00:00.000
A,2018-01-14 00:00:00.000,2018-09-02 00:00:00.000
B,2019-01-29 00:00:00.000,2019-09-02 00:00:00.000
B,2019-01-21 00:00:00.000,2019-05-19 00:00:00.000
B,2019-03-10 00:00:00.000,2019-08-18 00:00:00.000
B,2019-11-26 00:00:00.000,2018-03-13 00:00:00.000
A,2019-03-23 00:00:00.000,2019-09-13 00:00:00.000
B,2019-08-16 00:00:00.000,2018-11-17 00:00:00.000
C,2019-05-04 00:00:00.000,2019-07-21 00:00:00.000
A,2018-09-04 00:00:00.000,2019-08-14 00:00:00.000
A,2018-08-22 00:00:00.000,2018-03-01 00:00:00.000
B,2019-10-09 00:00:00.000,2019-09-30 00:00:00.000
A,2019-06-09 00:00:00.000,2019-05-02 00:00:00.000
B,2018-01-16 00:00:00.000,2018-05-06 00:00:00.000
C,2019-05-18 00:00:00.000,2019-06-29 00:00:00.000
A,2018-01-30 00:00:00.000,2018-08-25 00:00:00.000
C,2019-06-23 00:00:00.000,2019-08-20 00:00:00.000
A,2019-05-13 00:00:00.000,2018-02-21 00:00:00.000
B,2019-04-24 00:00:00.000,2018-03-01 00:00:00.000
C,2019-10-09 00:00:00.000,2019-08-20 00:00:00.000
A,2018-02-28 00:00:00.000,2018-09-18 00:00:00.000
C,2018-03-19 00:00:00.000,2018-04-24 00:00:00.000
A,2018-11-19 00:00:00.000,2019-05-18 00:00:00.000
A,2019-05-22 00:00:00.000,2018-10-26 00:00:00.000
C,2018-03-22 00:00:00.000,2018-04-07 00:00:00.000
A,2018-09-09 00:00:00.000,2018-07-08 00:00:00.000
B,2018-12-30 00:00:00.000,2019-07-29 00:00:00.000
B,2019-11-14 00:00:00.000,2018-04-18 00:00:00.000
B,2018-04-20 00:00:00.000,2018-07-27 00:00:00.000
A,2018-01-16 00:00:00.000,2018-10-16 00:00:00.000
C,2019-05-27 00:00:00.000,2018-01-06 00:00:00.000
B,2019-07-24 00:00:00.000,2019-01-28 00:00:00.000
A,2018-05-03 00:00:00.000,2019-07-20 00:00:00.000
A,2018-09-14 00:00:00.000,2018-02-11 00:00:00.000
A,2019-11-01 00:00:00.000,2018-02-05 00:00:00.000
C,2019-03-04 00:00:00.000,2019-10-12 00:00:00.000
C,2019-08-12 00:00:00.000,2018-07-09 00:00:00.000
A,2018-03-22 00:00:00.000,2019-08-11 00:00:00.000
B,2019-07-09 00:00:00.000,2019-11-07 00:00:00.000
B,2019-03-24 00:00:00.000,2019-06-04 00:00:00.000
A,2018-08-10 00:00:00.000,2018-08-01 00:00:00.000
C,2018-10-20 00:00:00.000,2019-07-01 00:00:00.000
C,2018-05-28 00:00:00.000,2018-02-11 00:00:00.000
A,2019-10-29 00:00:00.000,2019-04-06 00:00:00.000
A,2019-09-18 00:00:00.000,2019-02-15 00:00:00.000
A,2019-03-14 00:00:00.000,2019-11-07 00:00:00.000
