Rate Name,Shift,Normal/Overtime,Rate Premium,Shift Sort,Normal/Overtime Sort,Rate Sort
"Annual Leave@1.0","Leave","Normal",1,"5","1","51"
"Day NT@1.0","Day","Normal",1,"1","1","11"
"Day OT@1.2","Day","Overtime",1.2,"1","2","12"
"Day OT@1.33","Day","Overtime",1.33,"1","2","12"
"Day OT@1.5","Day","Overtime",1.5,"1","2","12"
"Day OT@2.0","Day","Overtime",2,"1","2","12"
"Night NT@1.15","Night","Normal",1.15,"2","1","21"
"Night OT@1.2","Night","Overtime",1.2,"2","2","22"
"Night OT@1.33","Night","Overtime",1.33,"2","2","22"
"Night OT@1.5","Night","Overtime",1.5,"2","2","22"
"Night OT@2.0","Night","Overtime",2,"2","2","22"
"PH NT@1.0","Public Holiday","Normal",1,"4","1","41"
"PH OT@1.33","Public Holiday","Overtime",1.33,"4","2","42"
"PPH NT@1.0","(mp still classify)","Normal",1,"6","1","61"
