Region,Station Name,OS Grid Easting,OS Grid Northing,Estimated Passengers,Latitude,Longitude
"South East","Addlestone",505587,164866,429944,51.3836839243562,-0.50429651909183
"South East","Adisham",623391,153976,25584,51.2075171435922,1.2131813232537199
"South East","Aldermaston",460100,167345,83162,51.4296015416192,-1.1727969571113501
"South East","Aldershot",486656,150424,1394786,51.264579986230196,-0.79570487237185006
"South East","Aldrington",527984,105666,193956,50.840510474849296,-0.23233957970255004
"South East","Alton",472352,139697,710322,51.175748875373294,-1.0147042137547402
"South East","Amberley",502632,111812,53704,50.9100102539283,-0.59574322958268011
"South East","Amersham",496379,198188,1940370,51.6873293084831,-0.60977956079469031
"South East","Andover",435565,145938,1198540,51.2488051135337,-1.5502111122619802
"South East","Angmering",506513,102979,801010,50.8287331379276,-0.54713494390376027
"South East","Appledore",597566,129760,39668,51.0104136109522,0.8065082086082298
"South East","Appleford",452542,193698,6562,51.669470260648694,-1.2639971648413697
"South East","Arundel",502444,106417,302718,50.8617735998574,-0.60327884840744028
"South East","Ascot",492200,168300,1212682,51.4218196421252,-0.69847527067464021
"South East","Ascott-Under-Wychwood",430114,218841,3312,51.905054561509395,-1.5789872174316297
"South East","Ash",489934,150834,261276,51.2665221251717,-0.74718058388128
"South East","Ash Vale",489273,153342,466782,51.289347964555496,-0.75471172749891036
"South East","Ashford (Middlesex)",506580,171947,1032946,51.4465551482137,-0.4830894020609402
"South East","Ashford International",601282,142204,3900898,51.1189578089465,0.87548502519305993
"South East","Ashtead",518040,159000,1264880,51.3240031296601,-0.32654956782849
"South East","Ashurst",550726,138801,25700,51.1231634821066,0.13260712174419975
"South East","Ashurst New Forest",433392,110147,144608,50.928677961272996,-1.6070131554459204
"South East","Aylesbury",481779,213470,1178490,51.832131120235694,-0.81307836315754
"South East","Aylesbury Vale Parkway",478641,215341,185748,51.8505433036491,-0.85817720324538
"South East","Aylesford",572017,158687,144792,51.2870288572079,0.46606813581410966
"South East","Aylesham",624182,152457,109050,51.1933353359305,1.22282482882964
"South East","Bagshot",491391,163627,157480,51.380381775412296,-0.71452982814069
"South East","Balcombe",530670,130115,132118,51.0578465477654,-0.16943176087008016
"South East","Banbury",446160,240427,2618642,52.0914378971503,-1.3228522976458805
"South East","Banstead",524588,160432,126378,51.3329628639016,-0.22886878110353015
"South East","Barming",572970,156891,142338,51.2703131379116,0.47803910007682004
"South East","Barnham",495897,104367,954750,50.846941303340095,-0.70038116934747
"South East","Basingstoke",463774,152529,5794624,51.2949971869173,-1.1303957351683902
"South East","Bat & Ball",553100,156800,128908,51.2827200397212,0.18635690301684971
"South East","Battle",575470,115569,539474,50.8989768519493,0.46859441016568981
"South East","Beaconsfield",494004,191144,1625912,51.625523439415296,-0.6513812375776
"South East","Bearsted",579882,156119,386364,51.258642011728796,0.5785356172561098
"South East","Beaulieu Road",434957,106287,9034,50.893387606214695,-1.5868385792581403
"South East","Bedhampton",470781,106529,118606,50.879176527115,-1.0643712213557706
"South East","Bekesbourne",618942,156029,31576,51.229283756079596,1.1506678264633399
"South East","Beltring",568000,147800,15074,51.1923585594498,0.39509607477046993
"South East","Bentley",479211,143053,145672,51.202373765761294,-0.91129464124567017
"South East","Berwick (Sussex)",552603,106774,78494,50.8353132061949,0.12670024540302993
"South East","Betchworth",521052,151317,14972,51.2534304966555,-0.28968154195547013
"South East","Bexhill",574495,107536,1327854,50.827775614885894,0.44558407200986982
"South East","Bicester North",458550,223112,791874,51.9303127964182,-1.1512548538485206
"South East","Bicester Village",458675,221950,1978978,51.9198351003715,-1.1503283089445002
"South East","Billingshurst",508803,125123,458618,51.0258461459511,-0.49367950165310992
"South East","Birchington-On-Sea",629849,169444,414440,51.340631264273696,1.3276134584554098
"South East","Bishopstone",546930,99908,33686,50.777429886222194,0.037271927506919766
"South East","Bitterne",443890,113380,95832,50.953138600320194,-1.4514628143885497
"South East","Blackwater",485320,159875,507390,51.349979287407095,-0.80721300790737027
"South East","Bletchley",486859,233741,1066282,52.0110579138508,-0.71928749684831006
"South East","Bognor Regis",493415,99389,1038020,50.803649897667995,-0.74078687790597009
"South East","Bookham",512784,155640,321088,51.2969522278275,-0.40701414552016013
"South East","Borough Green & Wrotham",560898,157424,431936,51.2832000335766,0.3014919741693598
"South East","Bosham",481246,105435,77102,50.864149151724696,-0.91279680420300036
"South East","Botley",452170,113260,162070,50.948339936401794,-1.33065094700354
"South East","Bourne End",489456,187260,243296,51.593184821368695,-0.72220738812101
"South East","Bow Brickhill",489604,234787,38846,52.0189397269383,-0.67730522898572021
"South East","Boxhill & Westhumble",516744,151865,98210,51.2608552195533,-0.35241014930151016
"South East","Bracknell",486910,168969,2311474,51.430638139448995,-0.77590380100597
"South East","Brading",460950,86877,45848,50.7076801011077,-1.2226492886572897
"South East","Bramley (Hampshire)",465518,159440,282618,51.3561082193421,-1.09920548405635
"South East","Brighton",531000,104920,16928828,50.8320366939925,-0.18920156850227032
"South East","Broadstairs",639131,167997,764050,51.3203074023019,1.4618338519832699
"South East","Brockenhurst",430140,102008,1085808,50.8570256204072,-1.6599957011516704
"South East","Brookwood",495200,156954,1016392,51.318535170545,-0.66436805769779994
"South East","Burgess Hill",531625,118805,1819774,50.955998221417,-0.16657627782958029
"South East","Burnham",494008,181378,1260118,51.5380211228228,-0.66011366694143
"South East","Bursledon",448985,109585,54012,50.9168268949353,-1.379850182367
"South East","Buxted",549688,123341,116338,50.985450926752996,0.10137950073013968
"South East","Byfleet & New Haw",505854,162285,447024,51.360412799178995,-0.50275113338712
"South East","Camberley",487573,160441,414680,51.353865024517894,-0.77355028995762032
"South East","Canterbury East",614645,157285,1109018,51.243782356842495,1.08932532498438
"South East","Canterbury West",614552,158395,2580756,51.2537709754398,1.0893440442465898
