transaction_date,stock_date,product_id,customer_id,store_id,quantity
1998-01-18 00:00:00.000,1998-01-14 00:00:00.000,713,6353,24,4
1998-09-22 00:00:00.000,1998-09-20 00:00:00.000,1492,2458,6,3
1997-08-30 00:00:00.000,1997-08-26 00:00:00.000,12,2129,7,3
1998-08-16 00:00:00.000,1998-08-09 00:00:00.000,246,3753,8,4
1998-04-19 00:00:00.000,1998-04-12 00:00:00.000,1297,7724,15,2
1998-03-09 00:00:00.000,1998-03-06 00:00:00.000,200,7425,7,4
1998-03-27 00:00:00.000,1998-03-22 00:00:00.000,1446,5124,4,3
1997-10-22 00:00:00.000,1997-10-17 00:00:00.000,445,5597,3,2
1998-08-26 00:00:00.000,1998-08-21 00:00:00.000,767,2635,15,2
1998-09-10 00:00:00.000,1998-09-04 00:00:00.000,1530,7610,21,2
1997-08-23 00:00:00.000,1997-08-22 00:00:00.000,1068,6954,24,3
1998-01-06 00:00:00.000,1998-01-01 00:00:00.000,259,7831,17,4
1998-02-20 00:00:00.000,1998-02-17 00:00:00.000,1386,8980,20,2
1997-04-09 00:00:00.000,1997-04-04 00:00:00.000,1288,8092,15,4
1998-02-22 00:00:00.000,1998-02-20 00:00:00.000,265,2324,19,3
1998-11-16 00:00:00.000,1998-11-14 00:00:00.000,1338,6585,19,3
1998-02-27 00:00:00.000,1998-02-25 00:00:00.000,219,625,13,3
1998-08-03 00:00:00.000,1998-07-29 00:00:00.000,1241,4630,15,4
1997-05-18 00:00:00.000,1997-05-15 00:00:00.000,201,1167,6,3
1997-02-12 00:00:00.000,1997-02-05 00:00:00.000,1063,4614,11,3
1997-06-11 00:00:00.000,1997-06-06 00:00:00.000,480,3586,11,5
1998-04-16 00:00:00.000,1998-04-09 00:00:00.000,771,3501,8,3
1998-03-21 00:00:00.000,1998-03-17 00:00:00.000,210,2220,24,4
1998-10-15 00:00:00.000,1998-10-09 00:00:00.000,1254,2575,19,3
1998-05-07 00:00:00.000,1998-05-04 00:00:00.000,1295,1062,10,3
1997-07-27 00:00:00.000,1997-07-22 00:00:00.000,822,8351,16,4
1997-07-12 00:00:00.000,1997-07-05 00:00:00.000,41,4557,22,2
1998-12-17 00:00:00.000,1998-12-13 00:00:00.000,650,5757,12,2
1998-04-17 00:00:00.000,1998-04-11 00:00:00.000,1344,774,15,3
1998-02-07 00:00:00.000,1998-02-01 00:00:00.000,897,1284,12,4
1997-11-11 00:00:00.000,1997-11-10 00:00:00.000,31,5467,2,2
1998-10-28 00:00:00.000,1998-10-22 00:00:00.000,272,10114,1,4
1998-04-11 00:00:00.000,1998-04-07 00:00:00.000,685,4342,13,3
1998-01-02 00:00:00.000,1997-12-30 00:00:00.000,1395,5230,13,3
1998-01-30 00:00:00.000,1998-01-29 00:00:00.000,1258,7287,24,4
1998-07-26 00:00:00.000,1998-07-24 00:00:00.000,1456,8563,6,4
1997-09-23 00:00:00.000,1997-09-18 00:00:00.000,85,6347,17,2
1998-01-05 00:00:00.000,1997-12-30 00:00:00.000,1451,436,7,2
1997-08-15 00:00:00.000,1997-08-11 00:00:00.000,710,1168,17,3
1998-10-29 00:00:00.000,1998-10-24 00:00:00.000,1335,3328,17,3
1997-09-08 00:00:00.000,1997-09-04 00:00:00.000,568,9473,15,2
1997-03-21 00:00:00.000,1997-03-20 00:00:00.000,1370,750,13,3
1998-12-16 00:00:00.000,1998-12-12 00:00:00.000,1548,6212,1,3
1998-02-07 00:00:00.000,1998-02-04 00:00:00.000,776,6111,4,4
1997-05-05 00:00:00.000,1997-04-28 00:00:00.000,1287,1548,13,3
1998-09-05 00:00:00.000,1998-09-02 00:00:00.000,309,5958,13,3
1997-07-27 00:00:00.000,1997-07-24 00:00:00.000,1526,4775,17,4
1998-10-04 00:00:00.000,1998-09-27 00:00:00.000,1287,10143,7,5
1998-12-21 00:00:00.000,1998-12-15 00:00:00.000,53,3162,9,3
1998-12-12 00:00:00.000,1998-12-08 00:00:00.000,1012,7486,3,2
