PK_dim_StatusExt,Status Externo
1,"Solicitação recebida"
2,"Atendimento iniciado"
3,""
4,"Conclusão"
5,"Homologação Fornecedor"
6,"Publicação do Edital"
7,"Validação do Edital"
8,"Preparação do Edital"
9,"Análise"
10,"Vistoria"
11,"Pagamento"
12,"Solicitação Fornecedor"
13,"Empenho"
14,"Encerramento do Edital"
15,"Processo em andamento"
16,"Aguardando agendamento"
17,"Análise de resultado"
18,"Atualização Ação"
19,"Avaliação de ações"
20,"Concluído"
21,"Material ativado"
22,"Material pago"
23,"Material recebido"
24,"Fiscalização definida"
25,"Compra realizada"
26,"Material em análise"
27,"Processo de compras cancelado e arquivado"
