PK_dim_Acoes,Ação
1,""
2,"Encerrar e arquivar processo"
3,"Homologar Fornecedor"
4,"Publicar Edital"
5,"Validar Edital"
6,"Preparar Edital"
7,"Analisar e Consolidar compra de materiais"
8,"Conclusão Atendimento / Arquivamento"
9,"Conclusão de Vistoria de Poda"
10,"Abertura de Processo Administrativo"
11,"Apoio"
12,"Solicitação de Apoio"
13,"Solicitação de Agendamento"
14,"Pagar Fornecedor"
15,"Solicitar ao fornecedor"
16,"Empenhar"
17,"Encerrar Edital"
18,"Abertura de Processo"
19,"Inserir Solicitação aos Itens"
20,"Concluir processo e arquivar"
21,"Informar ações executadas"
22,"Definir ações ao Município"
23,"Verificar resultado"
24,"Oficio de ativação patrimonial"
25,"Oficio de liquidação e pagamento"
26,"Atestado de recebimento"
27,"Oficio de recebimento"
28,"Oficio de fiscalização"
29,"Oficio de nomeação do  fiscal"
30,"Formalização de  compra e empenho"
31,"Oficio de resolução de inconformidade"
32,"Cancelamento e arquivamento"
