PK_dim_GruposUsuarios,Grupo
1,"Ouvidoria"
2,"Postos de Atendimento ao Cidadão - PAC"
3,"BACS - DAE - Seção de Análise de Demanda"
4,""
5,"Gerencia de Recursos Naturais"
6,"BACS - DAE - Seção de Processamento de Despesas"
7,"BACS - Div de Licitações"
8,"CJU"
9,"Gerência de Parque e Jardim"
10,"Compras"
11,"Cargo Comissão"
12,"Secretaria do Verde e Meio Ambiente"
13,"Equipe da Gestão"
14,"Município São José de Ribamar"
15,"Comitê"
16,"SALC (Compras)"
17,"Inventário"
18,"Pagamento"
19,"Fiscal"
20,"Recebimento"
21,"Gestor Fiscalização"
22,"AMAN"
