Symbol,PayDate,DividendPerShare,DivPerShare1,DivPerShare2,DivPerShare3,DivPerShare4,DivPerShare5
"BND",2007-05-01 00:00:00.000,0.127,0.127,,,,
"BND",2007-06-01 00:00:00.000,0.258,0.258,,,,
"BND",2007-07-02 00:00:00.000,0.233,0.233,,,,
"BND",2007-08-01 00:00:00.000,0.304,0.304,,,,
"BND",2007-09-04 00:00:00.000,0.294,0.294,,,,
"BND",2007-10-01 00:00:00.000,0.283,0.283,,,,
"BND",2007-11-01 00:00:00.000,0.285,0.285,,,,
"BND",2007-12-03 00:00:00.000,0.307,0.307,,,,
"BND",2007-12-24 00:00:00.000,0.261,0.261,,,,
"BND",2008-02-01 00:00:00.000,0.3,0.3,,,,
"BND",2008-03-03 00:00:00.000,0.291,0.291,,,,
"BND",2008-04-01 00:00:00.000,0.301,0.301,,,,
"BND",2008-05-01 00:00:00.000,0.302,0.302,,,,
"BND",2008-06-02 00:00:00.000,0.282,0.282,,,,
"BND",2008-07-01 00:00:00.000,0.296,0.296,,,,
"BND",2008-08-01 00:00:00.000,0.304,0.304,,,,
"BND",2008-09-02 00:00:00.000,0.288,0.288,,,,
"BND",2008-10-01 00:00:00.000,0.269,0.269,,,,
"BND",2008-11-03 00:00:00.000,0.3,0.3,,,,
"BND",2008-12-01 00:00:00.000,0.296,0.296,,,,
"BND",2008-12-24 00:00:00.000,0.294,0.294,,,,
"BND",2009-02-02 00:00:00.000,0.289,0.289,,,,
"BND",2009-03-02 00:00:00.000,0.275,0.275,,,,
"BND",2009-04-01 00:00:00.000,0.278,0.278,,,,
"BND",2009-05-01 00:00:00.000,0.268,0.268,,,,
"BND",2009-06-01 00:00:00.000,0.268,0.268,,,,
"BND",2009-07-01 00:00:00.000,0.264,0.264,,,,
"BND",2009-08-03 00:00:00.000,0.26,0.26,,,,
"BND",2009-09-01 00:00:00.000,0.261,0.261,,,,
"BND",2009-10-01 00:00:00.000,0.248,0.248,,,,
"BND",2009-11-02 00:00:00.000,0.253,0.253,,,,
"BND",2009-12-01 00:00:00.000,0.245,0.245,,,,
"BND",2009-12-28 00:00:00.000,0.255,0.255,,,,
"BND",2010-02-01 00:00:00.000,0.248,0.248,,,,
"BND",2010-03-01 00:00:00.000,0.234,0.234,,,,
"BND",2010-04-01 00:00:00.000,0.245,0.245,,,,
"BND",2010-05-03 00:00:00.000,0.237,0.237,,,,
"BND",2010-06-01 00:00:00.000,0.244,0.244,,,,
"BND",2010-07-01 00:00:00.000,0.229,0.229,,,,
"BND",2010-08-02 00:00:00.000,0.232,0.232,,,,
"BND",2010-09-01 00:00:00.000,0.226,0.226,,,,
"BND",2010-10-01 00:00:00.000,0.223,0.223,,,,
"BND",2010-11-01 00:00:00.000,0.228,0.228,,,,
"BND",2010-12-01 00:00:00.000,0.22,0.22,,,,
"BND",2010-12-27 00:00:00.000,0.583,0.583,,,,
"BND",2011-02-01 00:00:00.000,0.225,0.225,,,,
"BND",2011-03-01 00:00:00.000,0.212,0.212,,,,
"BND",2011-04-01 00:00:00.000,0.228,0.228,,,,
"BND",2011-05-02 00:00:00.000,0.223,0.223,,,,
"BND",2011-06-01 00:00:00.000,0.224,0.224,,,,
"BND",2011-07-01 00:00:00.000,0.217,0.217,,,,
"BND",2011-08-01 00:00:00.000,0.221,0.221,,,,
