DATEKEY,YEAR,UNIQUE_CARRIER,GENERAL_MANAGE,PILOTS_COPILOTS,OTHER_FLT_PERS,PASS_GEN_SVC_ADMIN,MAINTENANCE,ARCFT_TRAF_HANDLING_GRP1,GEN_ARCFT_TRAF_HANDLING,AIRCRAFT_CONTROL,PASSENGER_HANDLING,CARGO_HANDLING,TRAINEES_INTRUCTOR,STATISTICAL,TRAFFIC_SOLICITERS,OTHER,TRANSPORT_RELATED,TOTAL
2020-12-31 00:00:00.000,2020,WI,13,66,18,0,28,0,82,14,0,68,0,2,0,67,0,358
2020-12-31 00:00:00.000,2020,OO,6,5175,0,4076,2145,0,183,176,1407,10,57,85,0,212,0,13532
2019-12-31 00:00:00.000,2019,27Q,0,339,0,65,100,14,0,0,0,0,0,0,0,0,215,733
2020-12-31 00:00:00.000,2020,GFQ,2,25,4,0,4,6,0,0,0,0,0,5,0,0,0,46
2019-12-31 00:00:00.000,2019,FX,765,2811,144,0,1219,0,288,54,0,12817,49,8,2,3665,73304,95126
2020-12-31 00:00:00.000,2020,FX,2783,670,48,0,814,0,944,995,0,428,99,53,146,10488,39618,57086
2019-12-31 00:00:00.000,2019,AS,1,159,6,322,52,0,171,14,62,28,8,24,15,109,0,971
2020-12-31 00:00:00.000,2020,SY,12,50,0,88,24,0,5,3,2,0,0,7,21,6,0,218
2019-12-31 00:00:00.000,2019,X9,19,236,0,277,161,0,8,40,14,0,17,55,2,12,0,841
2019-12-31 00:00:00.000,2019,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31 00:00:00.000,2020,B6,39,2840,19,3888,726,0,107,257,4905,62,368,215,157,1214,0,14797
2019-12-31 00:00:00.000,2019,UA,68,1196,0,2369,834,0,1485,122,2477,55,64,268,87,111,0,9136
2020-12-31 00:00:00.000,2020,1BQ,14,50,0,41,18,21,0,0,0,0,1,13,0,3,0,161
2019-12-31 00:00:00.000,2019,DL,41,1203,0,1952,872,0,407,73,1943,140,68,81,147,1109,0,8036
2020-12-31 00:00:00.000,2020,UA,68,1248,0,2491,816,0,1482,110,2761,55,72,304,85,115,0,9607
2019-12-31 00:00:00.000,2019,CP,0,7,0,6,2,0,0,2,0,0,1,0,0,2,0,20
2020-12-31 00:00:00.000,2020,NK,1239,2126,0,3592,395,0,0,66,264,0,27,19,0,314,0,8042
2019-12-31 00:00:00.000,2019,KD,7,206,0,0,124,0,12,13,0,55,13,12,0,35,0,477
2020-12-31 00:00:00.000,2020,PO,3,0,0,1,3,0,0,0,0,42,0,0,81,0,0,130
2020-12-31 00:00:00.000,2020,UA,67,1214,0,2421,793,0,1441,107,2684,54,70,295,83,112,0,9341
2019-12-31 00:00:00.000,2019,OH,7,1591,50,1095,398,0,97,51,0,0,148,154,0,495,0,4086
2019-12-31 00:00:00.000,2019,PFQ,8,20,0,0,19,4,0,0,0,0,1,5,0,0,0,57
2020-12-31 00:00:00.000,2020,CP,0,532,0,424,136,0,4,72,0,0,66,6,0,189,0,1429
2019-12-31 00:00:00.000,2019,X9,2,31,0,37,22,0,0,4,2,0,2,7,0,2,0,109
2020-12-31 00:00:00.000,2020,FX,2594,916,42,0,885,0,1125,438,0,25,93,48,123,10436,16669,33394
2019-12-31 00:00:00.000,2019,GFQ,3,36,9,0,8,8,0,0,0,0,0,8,0,0,0,72
2019-12-31 00:00:00.000,2019,EV,0,34,0,64,25,0,0,0,0,0,0,0,0,0,0,123
2019-12-31 00:00:00.000,2019,QX,16,854,20,628,275,0,53,66,1902,69,125,25,4,15,0,4052
2019-12-31 00:00:00.000,2019,GFQ,1,20,5,0,4,5,0,0,0,0,0,5,0,0,0,40
2019-12-31 00:00:00.000,2019,9E,4,1663,38,1311,926,0,0,78,0,0,268,99,0,67,0,4454
2020-12-31 00:00:00.000,2020,QX,18,824,22,685,261,0,58,73,2097,76,138,28,4,17,0,4301
2019-12-31 00:00:00.000,2019,5Y,21,108,8,16,14,0,0,2,0,17,2,3,2,1,0,194
2019-12-31 00:00:00.000,2019,YV,95,1283,0,1236,323,0,59,46,0,0,20,95,0,88,0,3245
2020-12-31 00:00:00.000,2020,B6,10,708,5,969,181,0,47,64,1222,0,0,53,39,302,0,3600
2020-12-31 00:00:00.000,2020,YV,93,1312,0,1205,34,0,55,57,0,0,4,93,0,109,0,2962
2019-12-31 00:00:00.000,2019,NK,114,200,0,322,38,0,0,5,24,0,2,2,0,26,0,733
2020-12-31 00:00:00.000,2020,CP,0,4,0,3,1,0,0,0,0,0,0,0,0,1,0,9
2020-12-31 00:00:00.000,2020,2HQ,9,32,0,24,32,19,0,0,0,0,0,7,0,0,0,123
2019-12-31 00:00:00.000,2019,AA,10,2039,0,3785,2186,0,0,63,2085,2515,66,2496,165,0,0,15410
2020-12-31 00:00:00.000,2020,KAQ,8,447,5,0,550,0,87,92,0,55,94,76,0,65,0,1479
2020-12-31 00:00:00.000,2020,5X,0,356,0,0,262,0,15,17,0,0,20,77,2,12,0,761
2019-12-31 00:00:00.000,2019,2HQ,11,47,0,32,31,37,0,0,0,0,4,11,0,0,0,173
2019-12-31 00:00:00.000,2019,HA,85,536,0,1415,391,0,308,127,904,705,22,248,105,65,0,4911
2019-12-31 00:00:00.000,2019,ABX,4,29,0,0,18,0,1,0,0,0,2,1,0,2,1,58
2020-12-31 00:00:00.000,2020,AA,39,8586,0,15502,9677,0,0,312,8586,10523,305,10447,677,0,0,64654
2019-12-31 00:00:00.000,2019,MQ,1012,2017,0,1406,1530,0,3549,0,4405,0,294,0,0,250,0,14463
2020-12-31 00:00:00.000,2020,8C,3,38,0,4,27,0,0,1,0,0,0,2,0,5,0,80
2019-12-31 00:00:00.000,2019,KLQ,1,14,0,0,5,3,0,0,0,0,1,2,0,1,0,27
2020-12-31 00:00:00.000,2020,WN,45,236,0,407,65,0,36,12,254,281,5,25,0,127,0,1493
2020-12-31 00:00:00.000,2020,HA,89,586,0,1466,419,0,298,132,893,684,23,316,102,76,0,5084
2019-12-31 00:00:00.000,2019,NK,1187,2087,0,3358,395,0,0,56,250,0,22,17,0,276,0,7648
2020-12-31 00:00:00.000,2020,KH,16,34,3,0,141,0,0,0,0,161,6,21,4,22,0,408
2019-12-31 00:00:00.000,2019,WL,10,15,0,27,15,12,0,0,0,0,0,15,1,2,0,97
2020-12-31 00:00:00.000,2020,DL,69,1872,0,3185,1233,0,658,114,3089,210,138,136,231,1927,0,12862
2019-12-31 00:00:00.000,2019,KAQ,3,103,1,0,153,0,23,23,0,16,30,26,0,1,0,379
2020-12-31 00:00:00.000,2020,SY,76,303,0,534,149,0,31,17,10,2,0,42,130,38,0,1332
2019-12-31 00:00:00.000,2019,G4,44,870,82,1370,409,0,270,95,195,0,76,118,34,341,0,3904
2020-12-31 00:00:00.000,2020,KD,10,179,0,0,146,0,8,25,0,46,12,12,1,2,0,441
2019-12-31 00:00:00.000,2019,M6,2,20,0,0,24,0,14,7,0,61,0,16,13,5,1,163
2019-12-31 00:00:00.000,2019,8C,6,191,0,0,100,0,0,17,0,9,6,24,2,62,0,417
2020-12-31 00:00:00.000,2020,KLQ,1,11,0,0,4,0,3,0,0,0,1,2,0,1,0,23
2020-12-31 00:00:00.000,2020,ABX,3,19,0,0,12,0,2,0,0,0,2,0,0,1,1,40
2019-12-31 00:00:00.000,2019,5X,0,146,0,0,105,0,6,7,0,0,9,33,1,6,0,313
2019-12-31 00:00:00.000,2019,L2,4,50,26,0,35,20,0,0,0,0,0,31,0,1,0,167
2019-12-31 00:00:00.000,2019,YX,27,2382,18,1968,708,0,0,167,19,0,63,284,0,281,0,5917
2019-12-31 00:00:00.000,2019,5X,0,358,0,0,258,0,15,17,0,0,22,81,2,14,0,767
2019-12-31 00:00:00.000,2019,PO,16,0,0,2,1,0,0,19,0,22,0,4,23,1,0,88
2020-12-31 00:00:00.000,2020,KLQ,4,62,2,3,26,0,14,0,0,0,7,9,0,2,0,129
2020-12-31 00:00:00.000,2020,AA,11,2337,0,4218,2633,0,0,85,2337,2864,83,2843,184,0,0,17595
2020-12-31 00:00:00.000,2020,MQ,27,49,0,35,36,0,88,0,114,0,5,0,0,6,0,360
2019-12-31 00:00:00.000,2019,8C,1,44,0,37,31,0,0,4,0,2,1,3,0,9,0,132
2019-12-31 00:00:00.000,2019,WN,46,243,0,411,68,0,38,12,269,286,5,31,0,120,0,1529
2020-12-31 00:00:00.000,2020,AA,9,1961,0,3539,2209,0,0,71,1961,2403,70,2385,155,0,0,14763
2019-12-31 00:00:00.000,2019,0WQ,4,51,5,18,28,20,0,0,0,3,1,17,0,7,0,154
2019-12-31 00:00:00.000,2019,FX,2522,905,50,0,823,0,1195,472,0,31,92,46,160,9900,16872,33068
2020-12-31 00:00:00.000,2020,ABX,28,214,0,0,133,0,17,0,0,0,21,6,2,13,8,442
2020-12-31 00:00:00.000,2020,KAQ,3,191,2,0,235,0,37,40,0,24,40,33,0,1,0,606
2020-12-31 00:00:00.000,2020,5V,14,54,11,0,104,90,0,0,0,0,4,45,5,20,0,347
2019-12-31 00:00:00.000,2019,F9,24,1293,0,160,205,0,77,16,2101,0,21,233,0,8,0,4138
2019-12-31 00:00:00.000,2019,L2,1,14,9,0,12,7,0,0,0,0,0,11,0,0,0,54
2020-12-31 00:00:00.000,2020,0WQ,4,53,6,19,29,21,0,0,0,3,1,18,0,7,0,161
2020-12-31 00:00:00.000,2020,AS,1,155,5,306,48,0,156,13,57,25,7,22,14,100,0,909
2019-12-31 00:00:00.000,2019,KLQ,4,58,2,2,23,12,0,0,0,0,4,8,0,2,0,115
2019-12-31 00:00:00.000,2019,KAQ,10,374,4,0,554,0,83,84,0,56,108,95,0,24,0,1392
2020-12-31 00:00:00.000,2020,DL,41,1111,0,1891,732,0,391,68,1834,124,82,81,137,1144,0,7636
2019-12-31 00:00:00.000,2019,AA,42,8367,0,15529,8970,0,0,256,8557,10320,271,10243,679,0,0,63234
2020-12-31 00:00:00.000,2020,YV,8,110,0,101,3,0,5,5,0,0,0,8,0,9,0,249
2019-12-31 00:00:00.000,2019,AS,21,2712,98,5495,887,0,2910,233,1059,475,130,409,259,1861,0,16549
2019-12-31 00:00:00.000,2019,YV,7,101,0,98,25,0,5,4,0,0,2,7,0,7,0,256
2019-12-31 00:00:00.000,2019,HA,41,259,0,686,189,0,149,62,438,343,10,120,51,32,0,2380
2019-12-31 00:00:00.000,2019,B6,36,2688,21,3603,712,0,103,241,4907,58,291,211,160,1171,0,14202
2019-12-31 00:00:00.000,2019,M6,8,67,0,0,80,0,44,23,0,200,0,52,42,15,4,535
2020-12-31 00:00:00.000,2020,FX,1057,90,6,0,204,0,325,88,0,8355,45,24,54,3714,12938,26900
2020-12-31 00:00:00.000,2020,UA,418,7637,0,15237,4991,0,9066,677,16888,338,438,1859,523,707,0,58779
2020-12-31 00:00:00.000,2020,5X,0,143,0,0,105,0,6,7,0,0,8,31,1,5,0,306
2019-12-31 00:00:00.000,2019,F9,1,30,0,4,5,0,2,0,49,0,0,5,0,0,0,96
2020-12-31 00:00:00.000,2020,OO,0,64,0,50,27,0,2,2,18,0,1,1,0,3,0,168
2020-12-31 00:00:00.000,2020,GFQ,2,38,6,0,7,9,0,0,0,0,0,7,0,0,0,69
2020-12-31 00:00:00.000,2020,PFQ,8,25,0,0,22,3,0,0,0,0,1,4,0,0,0,63
2019-12-31 00:00:00.000,2019,PO,2,0,0,1,3,0,0,0,0,37,0,0,73,0,0,116
