DATEKEY,YEAR,QUARTER,UNIQUE_CARRIER,CASH,SHORT_TERM_INV,NOTES_RECEIVABLE,ACCTS_RECEIVABLE,ACCTS_NOT_COLLECT,NOTES_ACC_REC_NET,PARTS_SUPPLIES_NET,PREPAID_ITEMS,CURR_ASSETS_OTH,CURR_ASSETS,INVEST_ASSOC_COMP,INVEST_REC_OTH,SPECIAL_FUNDS,INVEST_SPEC_FUNDS,FLIGHT_EQUIP,PROP_EQUIP_GROUND,DEPR_PR_EQ_GROUND,PROP_EQUIP_NET,LAND,EQUIP_DEP_ADV_PAY,CONSTRUCTION,LEASED_PROP_CAP,LEASED_PROP_ACC,PROP_EQUIP,PROP_EQUIP_NON_OP,DEPR_PR_EQ_NON_OP,PROP_EQUIP_NO_TOT,PRE_PAY_LONG_TERM,NON_AMORT_DEV,ASSETS_OTH_DEF,ASSETS_OTHER,ASSETS,LONG_DEBT_CUR_MAT,NOTES_PAY_BANKS,NOTES_PAY_OTHER,ACCTS_PAY_TRADE,ACCTS_PAY_OTHER,CURR_OB_CAP_LEASE,ACCR_SALARIES,ACCR_VACATION,ACCR_INTEREST,ACCR_TAXES,DIVIDENDS,LIAB_AIR_TRAFFIC,CURR_LIAB_OTH,CURR_LIABILITIES,LONG_TERM_DEBT,ADV_ASSOC_COMP,PENSION_LIAB,NON_REC_OB_CAP_LS,NON_REC_LIAB_OTH,NON_REC_LIAB,DEF_TAXES,DEF_TAX_CREDITS,DEF_CREDITS_OTH,DEF_CREDITS,PF_SHARES,PF_SHARES_NUM,COM_SHARES,UNISSUED_STOCK,CAPITAL_STOCK,ADD_CAPITAL_INV,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK_NUM,SH_HLD_EQUIT_NET,LIAB_SH_HLD_EQUITY
2019-03-31 00:00:00.000,2019,1,"U7",-4075,0,0,84655.94,0,84655.94,0,2696.6,12992.86,96270.4,0,0,0,0,19874.66,5100.78,19967.25,5008.19,0,0,10895.63,0,0,15903.82,2255.3,1196.38,1058.92,0,0,51837.89,51837.89,165071,0,0,0,54654.12,0,0,1178.55,0,0,2654.76,0,0,4892.16,63379.59,0,0,0,0,776.98,776.98,0,0,0,0,0,0,0,0,0,69141.71,69141.71,31772.76,100914.5,0,100914.5,165071
2019-09-30 00:00:00.000,2019,3,"U7",-2846.75,0,0,51794.82,0,51794.82,0,1898.07,13738.51,64584.65,0,0,0,0,20826.17,5186.66,22755.02,3257.8,0,0,4322.77,0,0,7579.57,2344.91,1380.28,964.63,0,0,20639.05,20639.05,93767.91,0,0,0,37310.98,0,0,1101.78,0,0,946.72,0,0,1873.14,41232.62,0,0,0,0,1057.49,1057.49,0,0,0,0,0,0,0,0,0,22115.35,22115.35,29362.45,51477.79,0,51477.79,93767.91
2019-12-31 00:00:00.000,2019,4,"U7",-2638.52,0,0,69475.75,0,69475.75,0,2026.67,13345.49,82209.4,0,0,0,0,21611.48,5195.38,24247.03,2559.82,0,0,3956.49,0,0,6516.31,2926.93,1457.99,1468.93,0,0,22386.4,22386.4,112581,0,0,0,50826.35,0,0,1898.51,0,0,1552.47,0,0,1898.88,56176.21,0,0,0,0,2269.39,2269.39,0,0,0,0,0,0,0,0,0,21818.5,21818.5,32316.95,54135.45,0,54135.45,112581
2019-12-31 00:00:00.000,2019,4,"9E",-463.38,0,0,69572.98,0,69572.98,38909.2,1129,0,109147.8,0,0,0,0,68574.89,28522.21,30294.1,66803,0,0,0,17849.91,1558.85,83094.06,0,0,0,0,0,33026.3,33026.3,225268.2,5625,0,0,17899.16,31573.36,2625.9,22373.43,15362.1,50.25,7428.74,0,0,37098.74,140036.7,0,12656.25,0,13962.21,27435.92,54054.38,0,0,0,0,0,0,0,0,0,307231.6,307231.6,-276054.5,31177.1,0,31177.1,225268.2
2019-06-30 00:00:00.000,2019,2,"U7",-457.64,0,0,52327.29,0,52327.29,0,2594.69,13294.24,67758.59,0,0,0,0,20569.99,5123.48,21352.63,4340.84,0,0,3630.69,0,0,7971.54,2255.3,1288.41,966.9,0,0,21400.36,21400.36,98097.38,0,0,0,38049.17,0,0,1689.08,0,0,1264.66,0,0,1893.47,42896.38,0,0,0,0,1073.36,1073.36,0,0,0,0,0,0,0,0,0,24967.67,24967.67,29159.97,54127.64,0,54127.64,98097.38
2019-06-30 00:00:00.000,2019,2,"GL",-351.59,0,0,-2594.38,0,-2594.38,1301.56,1383.1,7875.22,7613.9,0,0,0,0,12174.79,6491.65,12524.93,6141.5,0,0,0,0,0,6141.5,0,0,0,2666.67,0,0,2666.67,16422.07,0,0,0,-997.07,10270.09,0,0,0,0,0,0,0,7875.22,17148.24,0,0,0,0,1679.88,1679.88,0,0,0,0,1,0,1003.75,0,1004.75,0,1004.75,-3410.8,-2406.06,0,-2406.06,16422.07
2019-09-30 00:00:00.000,2019,3,"8C",-272.39,0,0,39248.38,189.04,39059.35,0,1261.19,294.82,40342.97,0,0,0,0,76051.03,6825.78,45895.05,36981.76,0,0,0,0,0,36981.76,0,0,0,0,0,35096.08,35096.08,112420.8,0,0,0,20065.74,0,0,2962.63,3290.21,0,867.56,0,0,9868.65,37054.79,0,89230.03,0,0,565.9,89795.92,7033.06,0,0,7033.06,0,0,0,0,0,39449.52,39449.52,-60912.49,-21462.97,0,-21462.97,112420.8
2019-12-31 00:00:00.000,2019,4,"8C",-7.22,0,0,50652,239.31,50412.69,360.38,2689.27,297.82,53752.95,0,0,0,0,80407.05,6911.5,48497.8,38820.76,0,0,0,0,0,38820.76,0,0,0,0,0,31226.26,31226.26,123800,0,0,0,23322.4,0,0,6908.28,3576.63,0,1133.18,0,0,11990.57,46931.05,0,85359.56,0,0,537.19,85896.76,6720.92,0,0,6720.92,0,0,0,0,0,39449.52,39449.52,-55198.3,-15748.78,0,-15748.78,123800
2019-03-31 00:00:00.000,2019,1,"27Q",0,-22.75,0,66516.94,2062.67,64454.27,0,-17.97,353.92,64767.47,39599.51,0,0,39599.51,0,2293.95,1547.52,746.43,0,0,0,0,0,746.43,0,0,0,0,0,846.97,846.97,105960.4,0,0,0,9030.08,0,0,6017.14,0,0,915.81,0,0,33212.68,49175.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56784.67,56784.67,0,56784.67,105960.4
2019-03-31 00:00:00.000,2019,1,"CP",0,16130.61,0,15253.39,26.75,15226.64,12331.25,834.43,1390.27,45913.2,0,0,0,0,3991.72,13182.44,11267.36,5906.79,0,0,0,0,0,5906.79,0,0,0,0,0,3022.78,3022.78,54842.77,0,0,0,16136.63,354.05,0,4239.95,2927.29,0,0,0,0,6817.84,30475.77,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,14093.53,14093.54,10273.47,24367.01,0,24367.01,54842.77
