Productid,CustID,OrderNo,List Price,Quantity,Sales Amount,OrderDate,LocationKey
P006,C005,219,174.0,5.0,870.0,2021-03-10 00:00:00.000,HYD
P003,C002,235,33.6442,2.0,300.0,2021-03-18 00:00:00.000,BLR
P001,C001,210,50.0,2.0,100.0,2021-03-02 00:00:00.000,BLR
P007,C001,210,50.0,2.0,100.0,2021-04-15 00:00:00.000,CHN
P008,C005,223,165.0,3.0,495.0,2021-03-13 00:00:00.000,HYD
P006,C002,221,174.0,5.0,870.0,2021-03-11 00:00:00.000,BLR
P010,C001,225,30.0,2.0,60.0,2021-03-15 00:00:00.000,HYD
P002,C001,211,50.0,4.0,200.0,2021-03-03 00:00:00.000,BLR
P006,C001,210,50.0,2.0,100.0,2021-03-03 00:00:00.000,HYD
P003,C002,215,33.6442,6.0,201.8652,2021-03-07 00:00:00.000,CHN
P003,C003,212,33.6442,4.0,134.5768,2021-03-04 00:00:00.000,HYD
P009,C003,224,33.6442,6.0,201.8652,2021-03-14 00:00:00.000,HYD
P012,C005,227,150.0,2.0,300.0,2021-03-17 00:00:00.000,BLR
P004,C004,213,180.0,8.0,1440.0,2021-03-05 00:00:00.000,CHN
P005,C006,214,85.0,5.0,425.0,2021-03-06 00:00:00.000,CHN
P004,C004,213,180.0,4.0,720.0,2021-03-03 00:00:00.000,HYD
P003,C002,228,150.0,1.0,150.0,2021-03-19 00:00:00.000,BLR
P005,C001,210,50.0,2.0,100.0,2021-03-04 00:00:00.000,HYD
P003,C006,230,,,0.0,2021-04-15 00:00:00.000,BLR
P011,C001,210,50.0,2.0,100.0,2021-04-15 00:00:00.000,CHN
P001,C003,217,50.0,2.0,100.0,2021-03-09 00:00:00.000,HYD
P007,C004,222,142.0,2.0,284.0,2021-03-12 00:00:00.000,CHN
P011,C006,226,48.0673,3.0,144.20190000000002,2021-03-16 00:00:00.000,BLR
P003,C005,213,180.0,4.0,720.0,2021-03-04 00:00:00.000,HYD
P004,C002,216,180.0,4.0,720.0,2021-03-08 00:00:00.000,HYD
