Customer,Age,Gender,Own Home,Married,Close,Salary,Children,PrevCust,PrevSpent,Catalogs,AmountSpent
3,51,1,1,1,1,97300,1,"0",0,12,3048
5,57,1,0,0,1,11200,0,"0",0,6,106
7,33,0,0,0,1,34700,0,"0",0,18,1615
9,62,1,1,0,1,60300,0,"0",0,24,2091
14,45,1,0,0,0,52600,1,"0",0,18,1773
15,53,0,1,1,1,82200,1,"0",0,12,1517
19,43,0,0,0,1,12400,1,"0",0,12,229
22,69,1,1,0,0,53900,0,"0",0,12,1186
24,71,0,0,0,1,15900,0,"0",0,18,406
26,43,1,0,0,0,17800,1,"0",0,18,589
29,76,0,1,1,1,88200,0,"0",0,24,2749
33,38,0,0,0,0,13700,2,"0",0,24,414
34,29,0,1,0,1,41300,1,"0",0,18,932
36,47,0,1,0,0,29600,3,"0",0,12,774
39,36,0,1,0,1,39900,0,"0",0,6,619
47,74,0,0,1,1,60100,0,"0",0,18,1594
50,59,0,0,0,1,47000,0,"0",0,6,963
57,60,1,1,0,1,57600,1,"0",0,6,1006
61,75,0,0,0,1,11000,2,"0",0,18,393
67,30,0,1,0,1,12800,0,"0",0,12,230
70,27,1,1,1,0,75500,0,"0",0,18,2450
73,50,0,0,1,1,36500,1,"0",0,18,747
78,53,0,0,1,1,79400,0,"0",0,6,1175
82,74,0,0,0,1,13300,1,"0",0,6,236
91,29,0,1,0,1,25900,2,"0",0,12,449
93,23,0,0,0,1,46600,0,"0",0,12,546
99,25,1,0,0,1,54200,0,"0",0,18,1405
101,46,0,1,1,1,48900,3,"0",0,18,915
104,74,0,0,0,1,13700,1,"0",0,6,163
105,23,1,0,1,0,60300,1,"0",0,6,1252
106,27,1,0,0,1,43100,1,"0",0,12,1224
108,74,0,0,1,1,118300,1,"0",0,18,2681
111,31,1,1,1,1,101700,1,"0",0,6,941
114,24,0,0,0,0,16100,0,"0",0,6,202
116,39,0,0,1,1,95900,0,"0",0,24,3168
124,59,0,1,1,1,130700,3,"0",0,6,2070
126,71,0,1,1,1,93400,2,"0",0,24,3079
128,44,1,1,0,1,55900,1,"0",0,24,2555
135,40,1,0,1,1,76200,1,"0",0,24,2437
136,55,1,0,0,1,14200,1,"0",0,24,400
140,55,1,0,0,1,55100,2,"0",0,6,826
143,64,1,1,1,1,58900,0,"0",0,18,1215
145,35,1,1,0,0,71500,0,"0",0,6,964
146,32,1,1,1,1,73300,0,"0",0,12,1694
147,67,1,1,1,1,69900,1,"0",0,18,2101
150,25,1,0,0,1,39500,1,"0",0,6,412
153,34,1,0,0,0,19500,0,"0",0,24,571
154,26,1,1,1,1,70400,2,"0",0,12,1127
155,49,0,0,0,1,10200,3,"0",0,6,199
157,32,0,1,1,1,72600,1,"0",0,18,1999
158,51,1,0,0,0,40500,1,"0",0,18,1073
159,42,1,1,1,1,63300,2,"0",0,6,633
160,44,1,0,0,1,14800,3,"0",0,12,436
168,51,1,0,0,1,15200,0,"0",0,12,324
170,44,0,1,1,1,84800,1,"0",0,12,1826
171,53,0,0,0,1,10600,2,"0",0,24,517
176,27,0,1,0,1,46600,2,"0",0,18,1153
179,33,0,1,0,1,35200,0,"0",0,12,827
181,72,1,0,0,1,25800,0,"0",0,6,451
