Column1,Game,Average Players,Monthly Peak,Achievements,Categories,Cluster,Release Date,Genres,Positive Ratings,Negative Ratings,Average Playtime,Indie,Years Released,Cluster - Copy
1161,"Argo",150.3468,402.5,0,"Multi-player",1,"6/22/2017","Action",4438,4973,182,0,4,"Crowd"
1347,"Arma 2: Operation Arrowhead",2804.5740776699,5514.06796116505,0,"Multi-player",1,"6/29/2010","Action",17683,1519,8488,0,11,"Crowd"
1545,"Assassin's Creed Revelations",172.388349514563,422.864077669903,0,"Multi-player",1,"11/30/2011","Action",5912,1055,1153,0,9,"Crowd"
1648,"Assassin's Creed Unity",485.3168,1355.25333333333,0,"Multi-player",1,"12/19/2014","Action",12350,7354,1686,0,6,"Crowd"
2081,"BATTALION 1944",220.868039215686,904.450980392157,0,"Multi-player",1,"2/1/2018","Action",3869,3623,639,0,3,"Crowd"
2229,"Battlefield: Bad Company 2",443.303689320388,1168.15533980583,0,"Multi-player",1,"3/2/2010","Action",23093,3877,1200,0,11,"Crowd"
2332,"Battlerite",2142.39056603774,5321.01886792453,0,"Multi-player",1,"11/8/2017","Action",41080,8013,1614,0,3,"Crowd"
2737,"Blackwake",214.5538,879.92,0,"Multi-player",1,"2/24/2017","Action",9352,1367,396,1,4,"Crowd"
3744,"Call of Duty 4: Modern Warfare",249.180582524272,521.106796116505,0,"Multi-player",1,"11/12/2007","Action",8725,821,1417,0,13,"Crowd"
4302,"Call of Duty: World at War",981.388640776699,1895.94174757282,0,"Multi-player",1,"11/18/2008","Action",19595,1483,2331,0,12,"Crowd"
5393,"Counter-Strike",15330.7557281553,28079.6310679612,0,"Multi-player",1,"11/1/2000","Action",124534,3339,17612,0,20,"Crowd"
5496,"Counter-Strike: Condition Zero",730.04213592233,1392.19417475728,0,"Multi-player",1,"3/1/2004","Action",12120,1439,427,0,17,"Crowd"
5892,"Creativerse",888.850256410256,1825.24358974359,0,"Multi-player",1,"5/8/2017","Action",19114,4911,3292,1,4,"Crowd"
6426,"Darwin Project",344.829189189189,1180.97297297297,0,"Multi-player",1,"3/9/2018","Action",9663,2267,160,1,3,"Crowd"
6463,"Day of Defeat",165.315145631068,304.650485436893,0,"Multi-player",1,"5/1/2003","Action",3416,398,187,0,18,"Crowd"
6669,"DayZ",8097.25643564356,16341.8118811881,0,"Multi-player",1,"12/13/2018","Action",118435,77169,7235,0,2,"Crowd"
7019,"Dead Frontier 2",491.322333333333,1075.86666666667,0,"Multi-player",1,"9/5/2018","Action",4814,2179,0,1,3,"Crowd"
7106,"Dead Space 2",104.932718446602,262.679611650485,0,"Multi-player",1,"1/27/2011","Action",8943,493,292,0,10,"Crowd"
7262,"Deep Rock Galactic",2019.1086,5499.48,0,"Multi-player",1,"2/28/2018","Action",10254,838,3350,1,3,"Crowd"
7312,"Defiance",517.938585858586,1208.85858585859,0,"Multi-player",1,"6/4/2014","Action",9150,2808,953,0,7,"Crowd"
7488,"Destiny 2",69393.380625,129516,0,"Multi-player",1,"44145","Action",1504,1489,280,0,,"Crowd"
7504,"Deus Ex: Game of the Year Edition",63.9303883495146,152.611650485437,0,"Multi-player",1,"3/29/2007","Action",6242,347,324,0,14,"Crowd"
7607,"Digimon Masters Online",819.178076923077,1349.75,0,"Multi-player",1,"11/3/2016","Action",2836,1350,447,0,4,"Crowd"
9239,"Elite Dangerous",4881.32642857143,9902.64285714286,0,"Multi-player",1,"4/2/2015","Action",26143,11006,4545,0,6,"Crowd"
9309,"Elsword",461.835934065934,955.582417582418,0,"Multi-player",1,"7/2/2014","Action",4755,1511,796,0,7,"Crowd"
9643,"F.E.A.R. 2: Project Origin",53.5294174757282,133.145631067961,0,"Multi-player",1,"2/12/2009","Action",3274,509,301,0,12,"Crowd"
10364,"Far Cry 4",1160.63337662338,2922.31168831169,0,"Multi-player",1,"12/1/2014","Action",17082,4740,1062,0,6,"Crowd"
