Type,Component,Date,variable,value
Expense,EMIs,2018-02-01 00:00:00.000,Value,2500
Savings,Emergency Fund,2020-03-01 00:00:00.000,Value,0
Income,Source 2,2020-12-01 00:00:00.000,Value,6000
Expense,EMIs,2020-09-01 00:00:00.000,Value,10000
Income,Source 2,2021-01-01 00:00:00.000,Value,6000
Expense,Groceries & Food,2020-12-01 00:00:00.000,Value,10000
Expense,Shopping,2018-12-01 00:00:00.000,Value,1000
Savings,Liquid Cash,2020-12-01 00:00:00.000,Value,500
Savings,Emergency Fund,2020-06-01 00:00:00.000,Value,0
Expense,Shopping,2019-07-01 00:00:00.000,Value,0
Expense,Shopping,2020-01-01 00:00:00.000,Value,2000
Savings,Mutual funds,2018-05-01 00:00:00.000,Value,5000
Expense,Shopping,2018-11-01 00:00:00.000,Value,1000
Expense,Leisure,2018-12-01 00:00:00.000,Value,1500
Expense,Health,2020-12-01 00:00:00.000,Value,4000
Expense,Shopping,2018-09-01 00:00:00.000,Value,2000
Expense,EMIs,2019-12-01 00:00:00.000,Value,7000
Savings,Emergency Fund,2018-06-01 00:00:00.000,Value,2000
Savings,Mutual funds,2018-03-01 00:00:00.000,Value,5000
Expense,EMIs,2020-08-01 00:00:00.000,Value,10000
Income,Salary,2018-10-01 00:00:00.000,Value,35000
Expense,House Rent,2018-10-01 00:00:00.000,Value,12000
Income,Source 2,2019-07-01 00:00:00.000,Value,4000
Expense,Leisure,2020-08-01 00:00:00.000,Value,3000
Income,Salary,2020-07-01 00:00:00.000,Value,43000
Expense,Groceries & Food,2019-04-01 00:00:00.000,Value,7000
Expense,Shopping,2019-04-01 00:00:00.000,Value,0
Savings,Liquid Cash,2020-02-01 00:00:00.000,Value,-1500
Expense,Shopping,2020-08-01 00:00:00.000,Value,2000
Savings,Emergency Fund,2019-02-01 00:00:00.000,Value,2000
Expense,Shopping,2018-03-01 00:00:00.000,Value,1000
Savings,Mutual funds,2018-06-01 00:00:00.000,Value,5000
Income,Source 2,2018-03-01 00:00:00.000,Value,1000
Savings,Emergency Fund,2018-07-01 00:00:00.000,Value,2000
Expense,Health,2019-05-01 00:00:00.000,Value,1500
Expense,Groceries & Food,2020-05-01 00:00:00.000,Value,8000
Savings,Mutual funds,2018-02-01 00:00:00.000,Value,5000
