id_area,id_city,type_area
1,"351","Rural"
25,"352","Rural"
481,"281","Rural"
505,"282","Rural"
529,"283","Rural"
553,"284","Rural"
577,"285","Rural"
601,"286","Rural"
625,"287","Rural"
649,"288","Rural"
673,"289","Rural"
697,"2810","Rural"
721,"2811","Rural"
745,"2812","Rural"
769,"2813","Rural"
793,"2814","Rural"
817,"2815","Rural"
841,"2816","Rural"
865,"2817","Rural"
889,"2818","Rural"
913,"2819","Rural"
937,"2820","Rural"
961,"2821","Rural"
985,"2822","Rural"
1009,"2823","Rural"
6001,"121","Rural"
6025,"122","Rural"
6049,"123","Rural"
6073,"124","Rural"
6097,"125","Rural"
6121,"126","Rural"
6145,"127","Rural"
6169,"128","Rural"
6193,"129","Rural"
6217,"1210","Rural"
6241,"1211","Rural"
6265,"1212","Rural"
6289,"1213","Rural"
9121,"181","Rural"
9145,"182","Rural"
9169,"183","Rural"
9193,"184","Rural"
9217,"185","Rural"
9241,"186","Rural"
9265,"187","Rural"
9289,"188","Rural"
9313,"189","Rural"
9337,"1810","Rural"
9361,"1811","Rural"
9385,"1812","Rural"
9409,"1813","Rural"
9433,"1814","Rural"
9457,"1815","Rural"
9481,"1816","Rural"
9505,"1817","Rural"
9529,"1818","Rural"
9553,"1819","Rural"
9577,"1820","Rural"
9601,"1821","Rural"
9625,"1822","Rural"
9649,"1823","Rural"
14641,"101","Rural"
14665,"102","Rural"
14689,"103","Rural"
14713,"104","Rural"
14737,"105","Rural"
14761,"106","Rural"
14785,"107","Rural"
14809,"108","Rural"
14833,"109","Rural"
14857,"1010","Rural"
14881,"1011","Rural"
14905,"1012","Rural"
14929,"1013","Rural"
14953,"1014","Rural"
14977,"1015","Rural"
15001,"1016","Rural"
15025,"1017","Rural"
15049,"1018","Rural"
15073,"1019","Rural"
15097,"1020","Rural"
15121,"1021","Rural"
15145,"1022","Rural"
15169,"1023","Rural"
15193,"1024","Rural"
15217,"1025","Rural"
15241,"1026","Rural"
15265,"1027","Rural"
15289,"1028","Rural"
15313,"1029","Rural"
15337,"1030","Rural"
15361,"1031","Rural"
15385,"1032","Rural"
15409,"1033","Rural"
15433,"1034","Rural"
15457,"1035","Rural"
15481,"1036","Rural"
15505,"1037","Rural"
23521,"221","Rural"
23545,"222","Rural"
23569,"223","Rural"
23593,"224","Rural"
23617,"225","Rural"
23641,"226","Rural"
23665,"227","Rural"
23689,"228","Rural"
23713,"229","Rural"
23737,"2210","Rural"
23761,"2211","Rural"
23785,"2212","Rural"
23809,"2213","Rural"
23833,"2214","Rural"
23857,"2215","Rural"
23881,"2216","Rural"
27361,"261","Rural"
27601,"251","Rural"
27625,"252","Rural"
28081,"71","Rural"
28105,"72","Rural"
28129,"73","Rural"
28153,"74","Rural"
28177,"75","Rural"
28201,"76","Rural"
28225,"77","Rural"
28249,"78","Rural"
28273,"79","Rural"
30241,"301","Rural"
30265,"302","Rural"
30721,"241","Rural"
