nadb_customertype_risk,_ownerid_value,nadb_riskratingindicatorid,_nadb_indicatormethodology_value,_owningbusinessunit_value,_modifiedby_value,modifiedon,_createdby_value,timezoneruleversionnumber,versionnumber,_nadb_projecttype_risk_value,nadb_domain,_createdonbehalfby_value,_owninguser_value,nadb_numberid,_owningteam_value,statuscode,utcconversiontimezonecode,importsequencenumber,_modifiedonbehalfby_value,statecode,nadb_indicatorname,nadb_factortype,createdon,overriddencreatedon
,"c7205e36-d6ee-42c5-8733-e670621cd834","bb9930ab-c154-ea11-a813-000d3a4ed0f6","04c0009c-c154-ea11-a813-000d3a4e6589","b5152e2f-ebcb-e911-a9aa-000d3a14431b","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:49:19.000,"c7205e36-d6ee-42c5-8733-e670621cd834",,12005493,"",,"","c7205e36-d6ee-42c5-8733-e670621cd834","Project complexity and sacle","",1,,103,"",0,"6.1",,2020-02-21 15:49:19.000,
,"c7205e36-d6ee-42c5-8733-e670621cd834","bd9930ab-c154-ea11-a813-000d3a4ed0f6","04c0009c-c154-ea11-a813-000d3a4e6589","b5152e2f-ebcb-e911-a9aa-000d3a14431b","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:49:19.000,"c7205e36-d6ee-42c5-8733-e670621cd834",,12005494,"",,"","c7205e36-d6ee-42c5-8733-e670621cd834","Exposure to elements of demand or price risk","",1,,103,"",0,"6.10",,2020-02-21 15:49:19.000,
,"c7205e36-d6ee-42c5-8733-e670621cd834","bf9930ab-c154-ea11-a813-000d3a4ed0f6","04c0009c-c154-ea11-a813-000d3a4e6589","b5152e2f-ebcb-e911-a9aa-000d3a14431b","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:49:19.000,"c7205e36-d6ee-42c5-8733-e670621cd834",,12005495,"",,"","c7205e36-d6ee-42c5-8733-e670621cd834","Grantor's rating (payment obligation)","",1,,103,"",0,"6.11",,2020-02-21 15:49:19.000,
,"c7205e36-d6ee-42c5-8733-e670621cd834","c19930ab-c154-ea11-a813-000d3a4ed0f6","04c0009c-c154-ea11-a813-000d3a4e6589","b5152e2f-ebcb-e911-a9aa-000d3a14431b","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:49:19.000,"c7205e36-d6ee-42c5-8733-e670621cd834",,12005496,"",,"","c7205e36-d6ee-42c5-8733-e670621cd834","Amortization","",1,,103,"",0,"6.12",,2020-02-21 15:49:19.000,
,"c7205e36-d6ee-42c5-8733-e670621cd834","c39930ab-c154-ea11-a813-000d3a4ed0f6","04c0009c-c154-ea11-a813-000d3a4e6589","b5152e2f-ebcb-e911-a9aa-000d3a14431b","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:49:19.000,"c7205e36-d6ee-42c5-8733-e670621cd834",,12005497,"",,"","c7205e36-d6ee-42c5-8733-e670621cd834","Reserving provisions","",1,,103,"",0,"6.13",,2020-02-21 15:49:19.000,
,"c7205e36-d6ee-42c5-8733-e670621cd834","c59930ab-c154-ea11-a813-000d3a4ed0f6","04c0009c-c154-ea11-a813-000d3a4e6589","b5152e2f-ebcb-e911-a9aa-000d3a14431b","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:49:19.000,"c7205e36-d6ee-42c5-8733-e670621cd834",,12005498,"",,"","c7205e36-d6ee-42c5-8733-e670621cd834","Interest rate risk","",1,,103,"",0,"6.14",,2020-02-21 15:49:19.000,
,"c7205e36-d6ee-42c5-8733-e670621cd834","c79930ab-c154-ea11-a813-000d3a4ed0f6","04c0009c-c154-ea11-a813-000d3a4e6589","b5152e2f-ebcb-e911-a9aa-000d3a14431b","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:49:19.000,"c7205e36-d6ee-42c5-8733-e670621cd834",,12005499,"",,"","c7205e36-d6ee-42c5-8733-e670621cd834","Guaranty Type","",1,,103,"",0,"6.15",,2020-02-21 15:49:19.000,
,"c7205e36-d6ee-42c5-8733-e670621cd834","c99930ab-c154-ea11-a813-000d3a4ed0f6","04c0009c-c154-ea11-a813-000d3a4e6589","b5152e2f-ebcb-e911-a9aa-000d3a14431b","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:49:19.000,"c7205e36-d6ee-42c5-8733-e670621cd834",,12005500,"",,"","c7205e36-d6ee-42c5-8733-e670621cd834","Debt Service Reserve Fund","",1,,103,"",0,"6.16",,2020-02-21 15:49:19.000,
,"c7205e36-d6ee-42c5-8733-e670621cd834","cb9930ab-c154-ea11-a813-000d3a4ed0f6","04c0009c-c154-ea11-a813-000d3a4e6589","b5152e2f-ebcb-e911-a9aa-000d3a14431b","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:49:19.000,"c7205e36-d6ee-42c5-8733-e670621cd834",,12005501,"",,"","c7205e36-d6ee-42c5-8733-e670621cd834","DSCR","",1,,103,"",0,"6.17",,2020-02-21 15:49:19.000,
,"c7205e36-d6ee-42c5-8733-e670621cd834","cd9930ab-c154-ea11-a813-000d3a4ed0f6","04c0009c-c154-ea11-a813-000d3a4e6589","b5152e2f-ebcb-e911-a9aa-000d3a14431b","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:49:19.000,"c7205e36-d6ee-42c5-8733-e670621cd834",,12005502,"",,"","c7205e36-d6ee-42c5-8733-e670621cd834","Full Compliance with Contractual Conditions and Covenants","",1,,103,"",0,"6.18",,2020-02-21 15:49:19.000,
