ProductCode,Product,Color,Model,Category,Subcategory
"AR-5381","Adjustable Race","NA","","",""
"BA-8327","Bearing Ball","NA","","",""
"BE-2349","BB Ball Bearing","NA","","",""
"BE-2908","Headset Ball Bearings","NA","","",""
"BL-2036","Blade","NA","","",""
"CR-9981","Crown Race","NA","","",""
"CS-2812","Chain Stays","NA","","",""
"DC-8732","Decal 1","NA","","",""
"DC-9824","Decal 2","NA","","",""
"DT-2377","Down Tube","NA","","",""
"EC-M092","Mountain End Caps","NA","","",""
"EC-R098","Road End Caps","NA","","",""
"EC-T209","Touring End Caps","NA","","",""
"FC-3654","Fork Crown","NA","","",""
"FE-3760","Fork End","NA","","",""
"FW-1000","Flat Washer 1","NA","","",""
"FW-1200","Flat Washer 6","NA","","",""
"FW-1400","Flat Washer 2","NA","","",""
"FW-3400","Flat Washer 9","NA","","",""
"FW-3800","Flat Washer 4","NA","","",""
"FW-5160","Flat Washer 3","NA","","",""
"FW-5800","Flat Washer 8","NA","","",""
"FW-7160","Flat Washer 5","NA","","",""
"FW-9160","Flat Washer 7","NA","","",""
"GP-0982","Guide Pulley","NA","","",""
"GT-0820","LL Grip Tape","NA","","",""
"GT-1209","ML Grip Tape","NA","","",""
"GT-2908","HL Grip Tape","NA","","",""
"HJ-1213","Thin-Jam Hex Nut 9","NA","","",""
"HJ-1220","Thin-Jam Hex Nut 10","NA","","",""
"HJ-1420","Thin-Jam Hex Nut 1","NA","","",""
"HJ-1428","Thin-Jam Hex Nut 2","NA","","",""
"HJ-3410","Thin-Jam Hex Nut 15","NA","","",""
"HJ-3416","Thin-Jam Hex Nut 16","NA","","",""
"HJ-3816","Thin-Jam Hex Nut 5","NA","","",""
"HJ-3824","Thin-Jam Hex Nut 6","NA","","",""
"HJ-5161","Thin-Jam Hex Nut 3","NA","","",""
"HJ-5162","Thin-Jam Hex Nut 4","NA","","",""
"HJ-5811","Thin-Jam Hex Nut 13","NA","","",""
"HJ-5818","Thin-Jam Hex Nut 14","NA","","",""
"HJ-7161","Thin-Jam Hex Nut 7","NA","","",""
"HJ-7162","Thin-Jam Hex Nut 8","NA","","",""
"HJ-9080","Thin-Jam Hex Nut 12","NA","","",""
"HJ-9161","Thin-Jam Hex Nut 11","NA","","",""
"HN-1024","Hex Nut 5","NA","","",""
"HN-1032","Hex Nut 6","NA","","",""
"HN-1213","Hex Nut 16","NA","","",""
"HN-1220","Hex Nut 17","NA","","",""
"HN-1224","Hex Nut 7","NA","","",""
"HN-1420","Hex Nut 8","NA","","",""
"HN-1428","Hex Nut 9","NA","","",""
"HN-3410","Hex Nut 22","NA","","",""
"HN-3416","Hex Nut 23","NA","","",""
"HN-3816","Hex Nut 12","NA","","",""
"HN-3824","Hex Nut 13","NA","","",""
"HN-4402","Hex Nut 1","NA","","",""
"HN-5161","Hex Nut 10","NA","","",""
"HN-5162","Hex Nut 11","NA","","",""
"HN-5400","Hex Nut 2","NA","","",""
"HN-5811","Hex Nut 20","NA","","",""
"HN-5818","Hex Nut 21","NA","","",""
"HN-6320","Hex Nut 3","NA","","",""
"HN-7161","Hex Nut 14","NA","","",""
"HN-7162","Hex Nut 15","NA","","",""
"HN-8320","Hex Nut 4","NA","","",""
"HN-9161","Hex Nut 18","NA","","",""
"HN-9168","Hex Nut 19","NA","","",""
"HT-2981","Handlebar Tube","NA","","",""
"HT-8019","Head Tube","NA","","",""
"HU-6280","LL Hub","NA","","",""
"HU-8998","HL Hub","NA","","",""
"KW-4091","Keyed Washer","NA","","",""
"LE-1000","External Lock Washer 3","NA","","",""
"LE-1200","External Lock Washer 4","NA","","",""
"LE-1201","External Lock Washer 9","NA","","",""
"LE-1400","External Lock Washer 5","NA","","",""
"LE-3800","External Lock Washer 7","NA","","",""
"LE-5160","External Lock Washer 6","NA","","",""
"LE-6000","External Lock Washer 1","NA","","",""
"LE-7160","External Lock Washer 8","NA","","",""
"LE-8000","External Lock Washer 2","NA","","",""
"LI-1000","Internal Lock Washer 3","NA","","",""
"LI-1200","Internal Lock Washer 4","NA","","",""
"LI-1201","Internal Lock Washer 9","NA","","",""
"LI-1400","Internal Lock Washer 5","NA","","",""
"LI-3800","Internal Lock Washer 7","NA","","",""
"LI-5160","Internal Lock Washer 6","NA","","",""
"LI-5800","Internal Lock Washer 10","NA","","",""
"LI-6000","Internal Lock Washer 1","NA","","",""
"LI-7160","Internal Lock Washer 8","NA","","",""
"LI-8000","Internal Lock Washer 2","NA","","",""
"LJ-1213","Thin-Jam Lock Nut 9","NA","","",""
"LJ-1220","Thin-Jam Lock Nut 10","NA","","",""
"LJ-1420","Thin-Jam Lock Nut 1","NA","","",""
"LJ-1428","Thin-Jam Lock Nut 2","NA","","",""
"LJ-3410","Thin-Jam Lock Nut 15","NA","","",""
"LJ-3416","Thin-Jam Lock Nut 16","NA","","",""
"LJ-3816","Thin-Jam Lock Nut 5","NA","","",""
"LJ-3824","Thin-Jam Lock Nut 6","NA","","",""
"LJ-5161","Thin-Jam Lock Nut 3","NA","","",""
"LJ-5162","Thin-Jam Lock Nut 4","NA","","",""
"LJ-5811","Thin-Jam Lock Nut 13","NA","","",""
"LJ-5818","Thin-Jam Lock Nut 14","NA","","",""
"LJ-7161","Thin-Jam Lock Nut 7","NA","","",""
"LJ-7162","Thin-Jam Lock Nut 8","NA","","",""
"LJ-9080","Thin-Jam Lock Nut 12","NA","","",""
"LJ-9161","Thin-Jam Lock Nut 11","NA","","",""
"LN-1024","Lock Nut 5","NA","","",""
"LN-1032","Lock Nut 6","NA","","",""
"LN-1213","Lock Nut 16","NA","","",""
"LN-1220","Lock Nut 17","NA","","",""
"LN-1224","Lock Nut 7","NA","","",""
"LN-1420","Lock Nut 8","NA","","",""
"LN-1428","Lock Nut 9","NA","","",""
"LN-3410","Lock Nut 22","NA","","",""
"LN-3416","Lock Nut 23","NA","","",""
"LN-3816","Lock Nut 12","NA","","",""
"LN-3824","Lock Nut 13","NA","","",""
"LN-4400","Lock Nut 1","NA","","",""
"LN-5161","Lock Nut 10","NA","","",""
"LN-5162","Lock Nut 11","NA","","",""
"LN-5400","Lock Nut 2","NA","","",""
"LN-5811","Lock Nut 20","NA","","",""
"LN-5818","Lock Nut 21","NA","","",""
"LN-6320","Lock Nut 3","NA","","",""
"LN-7161","Lock Nut 14","NA","","",""
"LN-7162","Lock Nut 15","NA","","",""
"LN-8320","Lock Nut 4","NA","","",""
"LN-9080","Lock Nut 19","NA","","",""
"LN-9161","Lock Nut 18","NA","","",""
"LR-8520","Lower Head Race","NA","","",""
"LW-1000","Lock Washer 4","NA","","",""
"LW-1200","Lock Washer 5","NA","","",""
"LW-1201","Lock Washer 10","NA","","",""
"LW-1400","Lock Washer 6","NA","","",""
"LW-3400","Lock Washer 13","NA","","",""
"LW-3800","Lock Washer 8","NA","","",""
"LW-4000","Lock Washer 1","NA","","",""
"LW-5160","Lock Washer 7","NA","","",""
"LW-5800","Lock Washer 12","NA","","",""
"LW-6000","Lock Washer 2","NA","","",""
"LW-7160","Lock Washer 9","NA","","",""
"LW-8000","Lock Washer 3","NA","","",""
"LW-9160","Lock Washer 11","NA","","",""
"MA-7075","Metal Angle","NA","","",""
"MB-2024","Metal Bar 1","NA","","",""
"MB-6061","Metal Bar 2","NA","","",""
"MP-2066","Metal Plate 2","NA","","",""
"MP-2503","Metal Plate 1","NA","","",""
"MP-4960","Metal Plate 3","NA","","",""
"MS-0253","Metal Sheet 2","NA","","",""
"MS-1256","Metal Sheet 3","NA","","",""
"MS-1981","Metal Sheet 7","NA","","",""
"MS-2259","Metal Sheet 4","NA","","",""
"MS-2341","Metal Sheet 5","NA","","",""
"MS-2348","Metal Sheet 6","NA","","",""
"MS-6061","Metal Sheet 1","NA","","",""
"MT-1000","Metal Tread Plate","NA","","",""
"NI-4127","LL Nipple","NA","","",""
"NI-9522","HL Nipple","NA","","",""
"PA-187B","Paint - Black","NA","","",""
"PA-361R","Paint - Red","NA","","",""
"PA-529S","Paint - Silver","NA","","",""
"PA-632U","Paint - Blue","NA","","",""
"PA-823Y","Paint - Yellow","NA","","",""
"PB-6109","Pinch Bolt","NA","","",""
"RA-2345","Cup-Shaped Race","NA","","",""
"RA-7490","Cone-Shaped Race","NA","","",""
"RF-9198","Reflector","NA","","",""
"RM-M464","LL Mountain Rim","NA","","",""
"RM-M692","ML Mountain Rim","NA","","",""
"RM-M823","HL Mountain Rim","NA","","",""
"RM-R436","LL Road Rim","NA","","",""
"RM-R600","ML Road Rim","NA","","",""
"RM-R800","HL Road Rim","NA","","",""
"RM-T801","Touring Rim","NA","","",""
"SA-M198","LL Mountain Seat Assembly","NA","","",""
"SA-M237","ML Mountain Seat Assembly","NA","","",""
"SA-M687","HL Mountain Seat Assembly","NA","","",""
"SA-R127","LL Road Seat Assembly","NA","","",""
"SA-R430","ML Road Seat Assembly","NA","","",""
"SA-R522","HL Road Seat Assembly","NA","","",""
"SA-T467","LL Touring Seat Assembly","NA","","",""
"SA-T612","ML Touring Seat Assembly","NA","","",""
"SA-T872","HL Touring Seat Assembly","NA","","",""
"SD-2342","LL Spindle/Axle","NA","","",""
"SD-9872","HL Spindle/Axle","NA","","",""
"SH-4562","LL Shell","NA","","",""
"SH-9312","HL Shell","NA","","",""
"SK-9283","Spokes","NA","","",""
