ProductCode,OrderDateKey,variable,value
BK-T44U-50,20070716,CustomerKey,23688
TT-M928,20071110,CustomerKey,13324
TI-R628,20070912,CustomerKey,19421
LJ-0192-L,20080307,CustomerKey,20019
TI-M267,20080204,CustomerKey,19814
CA-1098,20071224,CustomerKey,14191
LJ-0192-L,20080128,CustomerKey,11729
BC-M005,20080117,CustomerKey,24565
TI-M823,20080619,CustomerKey,14950
HL-U509-B,20071223,CustomerKey,15486
WB-H098,20070818,CustomerKey,14830
WB-H098,20071128,CustomerKey,18154
PK-7098,20071206,CustomerKey,19690
HY-1023-70,20080303,CustomerKey,15992
TT-T092,20080419,CustomerKey,27203
TI-T723,20080602,CustomerKey,28558
TI-M823,20080526,CustomerKey,13357
WB-H098,20070805,CustomerKey,14446
TI-M823,20080531,CustomerKey,11222
TT-T092,20070918,CustomerKey,27631
TT-R982,20080508,CustomerKey,27462
HL-U509-B,20080215,CustomerKey,27990
BC-M005,20071209,CustomerKey,13410
BK-R19B-48,20080201,CustomerKey,23334
BK-R64Y-44,20080203,CustomerKey,20675
PK-7098,20080127,CustomerKey,26636
HL-U509-B,20080229,CustomerKey,20284
TT-T092,20080110,CustomerKey,13345
TT-M928,20080210,CustomerKey,18055
BK-M82S-48,20050712,CustomerKey,11007
TT-M928,20071114,CustomerKey,19919
WB-H098,20080617,CustomerKey,26561
BK-R64Y-40,20080313,CustomerKey,20782
HL-U509-B,20071227,CustomerKey,26950
LJ-0192-S,20071228,CustomerKey,15418
BK-M38S-38,20071102,CustomerKey,14306
BK-M68S-42,20070813,CustomerKey,12052
TI-M267,20070826,CustomerKey,26340
TT-R982,20080111,CustomerKey,25689
VE-C304-L,20071011,CustomerKey,11981
BK-T79Y-54,20080328,CustomerKey,12350
TT-T092,20071211,CustomerKey,28006
BK-R64Y-44,20080403,CustomerKey,21355
BK-R19B-58,20080213,CustomerKey,27141
BK-M18S-42,20080205,CustomerKey,15004
HL-U509,20080102,CustomerKey,16720
HL-U509,20071122,CustomerKey,20885
BK-M38S-42,20080319,CustomerKey,23619
RA-H123,20070825,CustomerKey,11203
PK-7098,20080229,CustomerKey,20593
HL-U509,20080111,CustomerKey,24826
FE-6654,20080514,CustomerKey,15666
TI-R982,20070815,CustomerKey,25156
BC-M005,20080124,CustomerKey,16950
BK-R19B-58,20080317,CustomerKey,22673
BK-R89B-48,20070817,CustomerKey,22893
WB-H098,20070824,CustomerKey,26743
TT-M928,20080105,CustomerKey,15490
HL-U509-B,20071201,CustomerKey,19909
BC-M005,20080203,CustomerKey,11999
BK-R64Y-44,20071011,CustomerKey,16519
PK-7098,20080514,CustomerKey,19661
CA-1098,20080626,CustomerKey,14069
WB-H098,20080528,CustomerKey,13141
HL-U509-B,20070714,CustomerKey,16388
TT-T092,20070828,CustomerKey,28175
TI-M602,20070912,CustomerKey,23089
LJ-0192-L,20080129,CustomerKey,19777
BK-M18S-44,20080217,CustomerKey,17943
WB-H098,20080516,CustomerKey,15172
TT-R982,20070813,CustomerKey,18885
CA-1098,20080222,CustomerKey,28944
BK-R93R-44,20051225,CustomerKey,28854
FE-6654,20071218,CustomerKey,14426
TT-M928,20080702,CustomerKey,11276
GL-H102-L,20080505,CustomerKey,13517
PK-7098,20080501,CustomerKey,14625
WB-H098,20070902,CustomerKey,21810
BK-R19B-48,20071113,CustomerKey,21912
TI-M823,20080516,CustomerKey,16916
HL-U509,20080619,CustomerKey,15670
WB-H098,20080110,CustomerKey,17696
WB-H098,20071122,CustomerKey,19794
BK-R19B-52,20080401,CustomerKey,24716
BK-T18U-62,20071024,CustomerKey,27883
BK-M68B-46,20070410,CustomerKey,15204
BK-R79Y-44,20080520,CustomerKey,22910
TT-M928,20080220,CustomerKey,15533
BK-M68S-38,20080628,CustomerKey,18783
BK-M68S-46,20070620,CustomerKey,16157
BK-R89B-48,20070309,CustomerKey,23651
BK-M82S-48,20060421,CustomerKey,11969
BK-T44U-46,20080210,CustomerKey,25895
HL-U509,20080127,CustomerKey,13983
BC-R205,20070920,CustomerKey,22478
BK-R79Y-48,20080116,CustomerKey,17025
TI-M602,20080321,CustomerKey,21536
TT-T092,20080605,CustomerKey,14079
BK-M38S-38,20080503,CustomerKey,15308
BK-R19B-52,20070727,CustomerKey,21466
BK-T44U-50,20070716,SalesOrderNumber,SO51434
TT-M928,20071110,SalesOrderNumber,SO57732
TI-R628,20070912,SalesOrderNumber,SO54247
LJ-0192-L,20080307,SalesOrderNumber,SO65700
TI-M267,20080204,SalesOrderNumber,SO63531
CA-1098,20071224,SalesOrderNumber,SO60631
LJ-0192-L,20080128,SalesOrderNumber,SO62918
BC-M005,20080117,SalesOrderNumber,SO62241
TI-M823,20080619,SalesOrderNumber,SO73270
HL-U509-B,20071223,SalesOrderNumber,SO60593
WB-H098,20070818,SalesOrderNumber,SO52774
WB-H098,20071128,SalesOrderNumber,SO58743
PK-7098,20071206,SalesOrderNumber,SO59451
HY-1023-70,20080303,SalesOrderNumber,SO65492
TT-T092,20080419,SalesOrderNumber,SO68560
TI-T723,20080602,SalesOrderNumber,SO72033
TI-M823,20080526,SalesOrderNumber,SO71412
WB-H098,20070805,SalesOrderNumber,SO52084
TI-M823,20080531,SalesOrderNumber,SO71732
TT-T092,20070918,SalesOrderNumber,SO54538
TT-R982,20080508,SalesOrderNumber,SO70106
HL-U509-B,20080215,SalesOrderNumber,SO64189
BC-M005,20071209,SalesOrderNumber,SO59684
BK-R19B-48,20080201,SalesOrderNumber,SO63354
BK-R64Y-44,20080203,SalesOrderNumber,SO63491
PK-7098,20080127,SalesOrderNumber,SO62833
HL-U509-B,20080229,SalesOrderNumber,SO65139
TT-T092,20080110,SalesOrderNumber,SO61845
TT-M928,20080210,SalesOrderNumber,SO63901
BK-M82S-48,20050712,SalesOrderNumber,SO43743
TT-M928,20071114,SalesOrderNumber,SO57924
WB-H098,20080617,SalesOrderNumber,SO73181
BK-R64Y-40,20080313,SalesOrderNumber,SO66148
HL-U509-B,20071227,SalesOrderNumber,SO60879
LJ-0192-S,20071228,SalesOrderNumber,SO60909
BK-M38S-38,20071102,SalesOrderNumber,SO57292
BK-M68S-42,20070813,SalesOrderNumber,SO52515
TI-M267,20070826,SalesOrderNumber,SO53145
TT-R982,20080111,SalesOrderNumber,SO61888
VE-C304-L,20071011,SalesOrderNumber,SO55927
BK-T79Y-54,20080328,SalesOrderNumber,SO67080
TT-T092,20071211,SalesOrderNumber,SO59770
BK-R64Y-44,20080403,SalesOrderNumber,SO67567
BK-R19B-58,20080213,SalesOrderNumber,SO64114
BK-M18S-42,20080205,SalesOrderNumber,SO63558
HL-U509,20080102,SalesOrderNumber,SO61338
HL-U509,20071122,SalesOrderNumber,SO58359
BK-M38S-42,20080319,SalesOrderNumber,SO66444
RA-H123,20070825,SalesOrderNumber,SO53069
PK-7098,20080229,SalesOrderNumber,SO65117
HL-U509,20080111,SalesOrderNumber,SO61868
FE-6654,20080514,SalesOrderNumber,SO70530
TI-R982,20070815,SalesOrderNumber,SO52589
BC-M005,20080124,SalesOrderNumber,SO62662
BK-R19B-58,20080317,SalesOrderNumber,SO66367
BK-R89B-48,20070817,SalesOrderNumber,SO52715
WB-H098,20070824,SalesOrderNumber,SO53060
TT-M928,20080105,SalesOrderNumber,SO61521
HL-U509-B,20071201,SalesOrderNumber,SO59104
BC-M005,20080203,SalesOrderNumber,SO63483
BK-R64Y-44,20071011,SalesOrderNumber,SO55922
PK-7098,20080514,SalesOrderNumber,SO70570
CA-1098,20080626,SalesOrderNumber,SO73792
WB-H098,20080528,SalesOrderNumber,SO71505
HL-U509-B,20070714,SalesOrderNumber,SO51392
TT-T092,20070828,SalesOrderNumber,SO53251
TI-M602,20070912,SalesOrderNumber,SO54216
LJ-0192-L,20080129,SalesOrderNumber,SO62964
BK-M18S-44,20080217,SalesOrderNumber,SO64306
WB-H098,20080516,SalesOrderNumber,SO70691
TT-R982,20070813,SalesOrderNumber,SO52475
CA-1098,20080222,SalesOrderNumber,SO64681
BK-R93R-44,20051225,SalesOrderNumber,SO44989
FE-6654,20071218,SalesOrderNumber,SO60249
TT-M928,20080702,SalesOrderNumber,SO74196
GL-H102-L,20080505,SalesOrderNumber,SO69917
PK-7098,20080501,SalesOrderNumber,SO69604
WB-H098,20070902,SalesOrderNumber,SO53715
BK-R19B-48,20071113,SalesOrderNumber,SO57898
TI-M823,20080516,SalesOrderNumber,SO70714
HL-U509,20080619,SalesOrderNumber,SO73292
WB-H098,20080110,SalesOrderNumber,SO61807
WB-H098,20071122,SalesOrderNumber,SO58399
BK-R19B-52,20080401,SalesOrderNumber,SO67411
BK-T18U-62,20071024,SalesOrderNumber,SO56638
