numero_boletim,data hora_boletim,data_inclusao,tipo_acidente,desc_tipo_acidente,cod_tempo,desc_tempo,cod_pavimento,pavimento,cod_regional,desc_regional,origem_boletim,local_sinalizado,velocidade_permitida,coordenada_x,coordenada_y,hora_informada,indicador_fatalidade,valor_ups,descricao_ups,data_alteracao_smsa,valor_ups_antiga,descricao_ups_antiga
2018-042506364-001,2018-09-23 03:01:00.000,2018-09-23 03:30:00.000, H08002,CHOQUE MECANICO COM VITIMA,1,BOM,1,ASFALTO,24,OESTE,POLICIA MILITAR,NÃO,0,60382898,779402279,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2018-018011470-001,2018-04-23 17:48:00.000,2018-04-23 18:28:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,25,PAMPULHA,POLICIA MILITAR,NÃO,0,60897723,780367096,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2018-012652309-001,2018-03-21 08:00:00.000,2018-03-21 08:51:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,25,PAMPULHA,POLICIA MILITAR,NÃO,0,60413221,780314022,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2018-039541130-001,2018-09-04 16:17:00.000,2018-09-04 16:45:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,24,OESTE,POLICIA MILITAR,NÃO,0,60899400,779688509,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2018-045690245-001,2018-10-11 17:38:00.000,2018-10-12 18:35:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,24,OESTE,POLICIA MILITAR,NÃO,0,60816906,779300026,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2018-020747726-001,2018-05-06 05:00:00.000,2018-05-10 19:38:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61865244,780679415,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2018-053786197-002,2018-12-03 10:59:00.000,2018-12-03 12:27:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,61200409,779320283,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2018-027008409-001,2018-06-19 17:30:00.000,2018-06-19 18:04:00.000, H08002,CHOQUE MECANICO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,20,LESTE,POLICIA MILITAR,NÃO,0,61358513,779682665,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2018-039587142-001,2018-09-04 20:23:00.000,2018-09-04 21:45:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,1,BOM,1,ASFALTO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60583552,779862387,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2018-022484589-001,2018-05-20 01:00:00.000,2018-05-21 14:16:00.000, H02002,CAPOTAMENTO/TOMBAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,20,LESTE,POLICIA MILITAR,NÃO,0,61340536,779693415,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
