responseID,responseID_primary key_cleaned,Interesting,Work situation,Personal DV,Professional DV,Independence,Industry salary,Promotion,Performance salary,Security,Fast career DV,International work,High status
9,8,5,4,5,5,4,3,4,2,4,2,2,3
19,17,5,5,5,5,4,3,4,2,2,4,1,3
25,20,5,5,5,5,4,3,4,2,3,4,2,4
30,24,5,3,5,5,3,5,4,3,5,4,2,3
44,37,5,5,5,5,5,4,4,5,3,4,3,3
52,43,5,5,5,5,3,4,4,4,5,3,2,3
68,57,5,3,5,5,5,3,4,2,3,2,1,2
94,78,5,5,5,5,4,4,4,5,3,4,5,3
116,94,5,5,5,5,4,4,4,4,4,3,2,3
121,98,5,5,5,5,4,3,4,2,3,2,3,2
123,100,5,5,5,5,4,3,4,4,4,3,1,2
128,105,5,5,5,5,4,4,4,3,3,4,2,4
136,111,5,5,5,5,3,4,4,2,5,4,3,2
147,119,5,5,5,5,3,3,4,1,4,4,4,3
155,126,5,4,5,5,4,4,4,4,3,5,3,3
167,133,5,5,5,5,5,5,4,4,4,4,1,4
170,136,5,4,5,5,4,4,4,3,3,5,4,4
201,152,5,4,5,5,5,5,4,5,5,4,3,3
206,154,5,5,5,5,4,3,4,2,4,4,1,2
221,165,5,4,5,5,5,3,4,2,3,4,4,3
223,167,5,4,5,5,3,3,4,4,5,4,2,2
244,178,5,5,5,5,3,3,4,3,4,3,2,2
247,179,5,3,5,5,5,4,4,2,2,3,1,1
256,187,5,5,5,5,4,4,4,2,4,2,1,2
258,188,5,4,5,5,3,3,4,3,3,3,1,1
261,191,5,4,5,5,4,3,4,2,5,3,2,3
276,202,5,5,5,5,5,3,4,5,5,4,1,2
279,205,5,5,5,5,4,3,4,1,4,2,1,2
281,207,5,4,5,5,3,3,4,2,3,4,2,3
288,212,5,3,5,5,4,4,4,1,3,3,1,1
305,222,5,5,5,5,4,3,4,2,4,4,2,4
313,227,5,4,5,5,5,5,4,3,4,3,2,3
321,231,5,3,5,5,3,4,4,2,4,4,1,1
323,232,5,5,5,5,5,5,4,4,5,5,3,5
353,255,5,5,5,5,4,5,4,5,4,5,4,5
359,260,5,4,5,5,5,4,4,4,4,5,4,3
360,261,5,3,5,5,3,3,4,4,1,3,1,1
371,271,5,3,5,5,3,4,4,3,3,4,4,3
390,284,5,4,5,5,3,4,4,5,5,4,3,1
391,285,5,4,5,5,3,4,4,4,5,4,2,2
407,297,5,4,5,5,5,4,4,5,4,4,1,5
413,303,5,5,5,5,4,4,4,4,4,4,3,4
435,319,5,4,5,5,4,4,4,3,4,2,1,3
461,338,5,5,5,5,4,3,4,2,4,2,1,1
462,339,5,4,5,5,3,4,4,3,4,3,2,3
464,340,5,4,5,5,5,3,4,2,4,3,4,4
482,353,5,5,5,5,4,3,4,3,5,4,3,3
493,361,5,3,5,5,4,4,4,3,5,4,3,3
498,364,5,4,5,5,4,4,4,2,5,4,2,3
501,366,5,5,5,5,4,3,4,3,5,4,2,3
504,369,5,4,5,5,4,4,4,2,4,3,2,2
509,373,5,2,5,5,5,3,4,3,2,5,3,5
511,374,5,3,5,5,3,2,4,4,2,3,5,5
514,376,5,3,5,5,4,3,4,1,3,3,2,3
520,382,5,4,5,5,2,3,4,4,5,4,3,3
